uid,time,text,keywords
民主進步黨_林岱樺,2013-05-02 09:04:54,"【2013-05-02 台灣新生報 焦點新聞 【中央社台北一日電】 】 

　　經濟部次長卓士昭今天對今年首季經濟成長率（GDP）一．五四%一事表示，經濟部研議加強出口拓銷的措施，今年還是有機會保三%。

　　立法院經濟委員會上午審查國民黨籍立委王惠美、民進黨籍立委林岱樺分別提出的「工廠管理輔導法部分條文修正草案」，卓士昭列席並備詢。

　　台灣團結聯盟籍立委許忠信詢問對於主計總處日前公布今年首季國內經濟成長率（GDP）為一．五四%，未達到原本預估的三%與再發消費券振興經濟一事的看法。

　　卓士昭表示，由於國際景氣復甦速度等大環境因素不如原先預期，導致第一季出口表現及內需不如原先預期，自然影響GDP表現，雖然出口仍有成長，但與預期成長的速度跟幅度不太一樣。

　　他進一步說，經濟部正在研議能加強出 口拓銷的措施。至於今年GDP是否有機會保三%？卓士昭表示，如果之後幾季經濟成長的速度跟幅度慢慢恢復到原先預估的情況，當然還是有機會。

　　針對外界希望央行讓新台幣貶值以挽救出口，卓士昭說，這不屬於經濟部的業務，且央行是獨立運作的機關，不便代為發言。

　　對於發放消費券振興景氣一事，卓士昭說，發放消費券必須是特別的時機，經常做，長期來看效果有限，政府負債增加，債留子孫。",['消費券']
民主進步黨_林岱樺,2013-05-02 09:05:08,"【2013-05-02 台灣時報 台北都綜合 孫麗菁 】 

　　〔記者孫麗菁台北報導〕經濟部次長卓士昭昨天在立法院經濟委員會備詢時對今年首季經濟成長率（ＧＤＰ）百分之一點五四表示，經濟部研議加強出口拓銷的措施，今年還是有機會保百分之三。

　　經濟委員會審查國民黨立委王惠美、民進黨立委林岱樺分別提出的「工廠管理輔導法部分條文修正草案」。

　　台聯立委許忠信詢問對於主計總處日前公布今年首季ＧＤＰ成長率百分之一點五四未達到原本預估的百分之三與再發消費券振興經濟。

　　卓士昭說，由於國際景氣復甦速度等大環境因素不如原先預期，導致第一季出口表現及內需不如原先預期，自然影響ＧＤＰ表現，雖然出口仍有成長，但與預期成長的速度跟幅度不太一樣。經濟部正在研議能加強出口拓銷的措施。

　　至於今年ＧＤＰ是否有機會保百分之三？卓士昭表示，如果之後幾季經濟成長的速度跟幅度慢慢恢復到原先預估的情況，當然還是有機會。

　　對外界希望央行讓新台幣貶值以挽救出口，卓士昭說，這不屬於經濟部的業務，且央行是獨立運作的機關，不便代為發言。

　　卓士昭說，發放消費券必須是特別的時機，經常做，長期來看效果有限，政府負債增加，債留子孫。",['消費券']
民主進步黨_林岱樺,2013-06-14 23:01:00,"林岱樺：12年國教是義務教育非基本教育

（新聞稿） 民進黨立委林岱樺14日針對「12年國教」質詢閣揆江宜樺，林岱樺質詢時表示，12年國教是義務教育，不是基本教育，正本清源來講，才有可能完成提升中小學教育品質、成就每一個孩子、厚實國家競爭力等三大願景。她強調，政府發放消費券900多億元，花錢非常豪邁。這次12年國教在今年編列288億多元的教育經費，她要求江宜樺必須承諾中央全額補助，不得排擠教育部其他經費、同時必須外加預算、不納入統籌各縣市統籌分配款以及專款專用。

林岱樺說，9年國民教育及高級中等教育合為12年，必須是義務教育，採取免試、免學費及強迫入學，如此才能讓社會底層的學生有翻轉機會。

她向閣揆提問，根據警政署提供101年警察機關查獲少年犯罪人（次）年齡區分表，12歲犯罪人數757人、13歲1535人、14歲2484人、15歲2958人、16歲3440人、17歲3904人，顯見15歲到18歲（高中、職、非義務教育）犯罪人數（見圖一）是逐年升高，犯罪率比12到14歲（國中、義務教育）足足多了2倍。如果12年國教改革並非義務教育，警察機關就算查到青少年流連不良場所，警察也無法要學校管教或是請家長領回。因此將12年國教定位為義務教育是相當重要的事，否則無法達成閣揆所提出的願景（見圖二）。

江宜樺答覆時表示，有一些青少年若是未進入高中職，可能被吸納入幫派，不過政府還是有所著力，來解救這些孩子。

江宜樺強調，目前12年國教經費，教育部會排擠到其他預算，但不能為此排擠到其他部會的公務預算，不過他強調，會外加預算給教育部。

林岱樺繼續追問，高雄市教育經費總預算約有400多億元，12年國教之後，八成用在人事費用，僅剩80幾億元才用在全國面積最大教育費用上，這樣辦教育，叫改革嗎？其他6都更無法想像。

她要求江宜樺如果籌不出錢來，可以叫金管會開徵金融營業稅，馬上就有約540億元進帳，不必讓部會及地方苦哈哈。

林岱樺進一步要求教育部長蔣偉寧提供12年國教之前，6都19個縣市基測、學測的五年成績分布，以及以後每年也要逐年提供，讓立院瞭解12年國教究竟成效如何？

林岱樺要求，江宜樺重新檢視12年國教推動的初衷與現今政策是否呼甕，12年國教勢在必行，也回不去了，可是當一個政策造成民眾恐慌、懷疑、不信任，執政者不能再獨斷獨行，必須廣納建議適度修正。

她說，12年國教本來是要讓本來是要讓家長安心、學生放心、現在卻變成家長憂心、學生傷心、獨裁馬政府又添專政政績新一章。她嚴正要求閣揆，「我們不要粗糙的排富條款，要排富的話，請端出可以讓人下嚥的好菜來。」

另外，12年國教公布之後，現在補習班可以說遍地開花，她要求教育部提供全
國各縣市補習班種數和項目，這波補習班熱，都是因應12年國教各項評比，搞得父母人心惶惶，對此閣揆及教育部長允諾提供相關資料。
",['消費券']
民主進步黨_楊曜,2014-08-29 21:20:31,"為振興澎湖觀光旅遊，
楊曜多次建議交通部觀光局應編列預算發行「觀光購物消費券」，
一方面將消費券當成吸引遊客的誘因，
另一方面可以增進澎湖在地店家的經濟收入。

今日接獲觀光局回應，
將提供9000名旅客每人500元的購物旅遊消費券，
可以自由抵用在住宿、特產、旅遊業者、餐廳...等，
相關的實施內容近期將於縣府與澎管處進行公告！",['消費券']
民主進步黨_林靜儀,2015-09-02 15:32:57,"第一個釋出的動畫版政見就是長照。
扁政府時期的長照十年，被馬政府延宕八年，再不加緊腳步，真的追不上台灣高齡化的速度。

這是一個可能不會立即感受的東西，不像消費券讓你手上有一些錢可以花(但是其實那是你子孫的負債)；甚至在你老的那一天，你也不會知道原來是這時候規劃出來的政策；但是一個負責任的政府、做事的政治人物，不能光做花錢給你覺得炫的事，而是幫未來的你我和每一個世代，做日常生活需要的事。",['消費券']
民主進步黨_林淑芬,2015-09-12 21:53:55,"我是有點不明白，
新北市政府怎麼從前幾天就開始發放重陽敬老金?
七月還沒結束，中秋還沒來，
怎麼發放重陽敬老金?有點怪……
莫非……他們把國曆9月9日當成重陽節?
不會吧！

不過憾古的事還真發生過
以前還曾把“老人健保補助費”拿出來發放現金給老人家花，
當時紅包還真大包，
老人家根本不知道這是什麼錢，
等到繳健保時才發現早就花光沒錢繳了！",['重陽+敬老金']
民主進步黨_陳亭妃,2015-09-23 15:07:13,"馬英九說重視文化，但讓我們來檢視一下馬的文化政策….

105年度總預算案中「文化部主管」預算占總預算的比例僅0.84%，比104年度（0.87%）還低，證明馬英九在文化預算3%的政見又再次跳票...

另外，文化部日前提出要比照「消費券」推出「圖書券」，預計動支近10億元預算...，但實際上依照審計部的報告，消費劵的成效不彰。

尤其，在105年施政報告和預算書上也看不到圖書劵相關資料、預算...，部長也坦承只是構想、政策也尚未成熟，難道，文化部在構想未成熟前，就要編列特別預算？還是行政院要動用第二預備金？是不是會被聯想與選舉有關？",['消費券']
中國國民黨_王鴻薇,2015-10-21 13:57:48,"明年領不到重陽敬老金的長者和子女，請認清是誰砍了重陽敬老金！
台北市明年起「取消」重陽敬老禮金！
1.8萬中低收入戶長輩可領「重陽救濟金」。
由於議會審查預算只能刪減支出，無權增加支出，柯文哲獨裁砍重陽敬老金，國民黨團今天在柯文哲報告預算時，提出強烈抗議！",['重陽+敬老金']
無黨籍_林昶佐,2015-10-30 21:00:01,"【馬政府不要拿人民的血汗錢幫自己擦脂抹粉！】

七年前，馬英九提出「六三三」這個口號作為他主要的競選經濟政策，事到如今，所有人都已經知道這不過是個笑話，而事實上GDP數字也不是重點，重點是馬英九執政這近八年來物價飛漲、實質薪資倒退，大家都過的越來越辛苦，馬政府所作的就只有用發消費券這種方式揮霍國庫，讓帳面數字稍微變好看一點來掩飾他經濟政策的失利。

現在選舉又快到了，沒想到馬政府居然為了選票還要再用這種放煙火式的政策來蒙騙選民，甚至動用到供緊急時使用的行政院第二預備金，這種為了政治利益而炒短線的政策不僅無助於改善台灣經濟體質，還會讓國家財政更加惡化，根本不是長久之道。

奉勸馬政府，不要再浪費人民的血汗錢來掩飾你執政的失敗了！",['消費券']
台灣民眾黨_柯文哲,2015-11-16 18:56:52,"臺北市議會第12屆第2次大會市政總質詢已結束，這段期間感謝全體議員對市政的指教。對我來說，議員對市政的建議，市府團隊都會用心的記錄下來，我們會面對問題、解決問題。希望在市府團隊及全體議員的共同努力下，讓臺北市民更幸福、更安心，讓臺北市成為安居樂業的城市！

我常說「面對問題是解決問題的第一步」，自我上任以來，許多問題都是幾十年的陳年舊案，我的態度就是面對它，所以不管是社子島開發、南機場都更案、大龍國宅甚至自來水鉛管問題等，我們都正面迎擊，提出解決方案。溝通的過程，也感謝許多議員協助與民眾溝通。我相信透過「市府、議員和民眾」的「黃金三角」，終究能找出共識並解決問題。

北市有許多政策涉及中央政府的管轄與法規，也有許多議題和整個首都生活圈息息相關，不管是公共住宅政策、松山機場遷建、2017年世大運、自來水鉛管汰換與飲用水安全、翡翠水庫專管取水、淡水河汙染與防洪整治等議題，都不是臺北市能獨立完成的；因此，跨域治理與府際關係是相當重要的課題。臺北市政府秉持「改變台灣從首都開始」的理念，會繼續扮演好火車頭的角色，積極推動。

再者，針對議員們所關心的各項議題，諸如：都市更新、聯開宅閒置與租金問題、房屋稅調整、違建拆除、大巨蛋公安、首長宿舍租金、路外停車格收費、公車票價及自來水費調整、重陽敬老金政策改革與長者照護措施、學童書包減重、機動派出所、世界設計之都、參與式預算與i-Voting執行情形、原住民族社會福利、土壤液化警戒區防範措施、災害防救與應變備援及文化資產保存等問題，市府相關局處會積極處理並以滾動修正的方式，持續精進本府在都市規劃、產業發展、環境衛生、公共安全、公共工程建設、勞工權益及社會福利等各項市政建設，逐步實踐臺北市成為最佳宜居城市的願景。

這個會期最重要的是市府明年度的總預算案，針對相關的總預算規劃，我與市府各局處也積極的向議會說明，希望能獲得各位議員的支持，可以順利通過相關預算，以利明年度台北市政的推動。我和所有市府同仁也會虛心檢討相關溝通過程，企盼未來府會溝通能夠更加融洽，臺北市政推動更加順暢。

最後，再次感謝各位議員女士、先生，感謝議長、副議長，敬祝各位健康快樂、事事順心！",['重陽+敬老金']
民主進步黨_周春米,2016-02-29 09:04:00,"昨 (28) 日自由時報報導，馬政府執政期間，經濟表現不佳，又大規模減稅，導致中央政府財政赤字擴大，因此大幅舉債彌補缺口，曾連續兩年舉債逾 4000 億元，創下歷史新高。近八年，中央政府一年以上非自償債務淨增加近 1.7 兆元，僅留下 9000 多億元的舉債空間，加上法定義務支出占七成，新政府施政恐怕受到侷限。

➸ 請參考《自由時報》：http://goo.gl/kLnDDC

這篇報導內容，正好是我在 26 日總質詢的重點議題。在此進一步向各位報告，根據審計部 2014 年總決算審核報告發現，我國目前的舉借債務餘額共 5 兆 4714 億餘元，另有潛藏負債 (已經發生，但可延後給付義務) 餘額共 18 兆 506 億餘元。兩者相加高達 24 兆元 720 億元，也就是平均每位國民 (包含剛出生的嬰兒) 需負擔 104 萬元的國債。我因此質詢張善政內閣，打算移交多少債務給新政府？因為這是個相當嚴肅的議題。

➸ 請參考《蘋果日報》：http://goo.gl/7R7dLF

張內閣顯然是心虛了。對於我的質詢，張善政只輕描淡寫表示，未來的經濟狀況確實會比較辛苦。甚至邀功地吹噓馬政府為經濟轉型、體質改造花了不少功夫。但成效如何，人民點滴在心，在今年也已經用選票對此表達看法。此外，財政部長張盛和也表示，目前財政健全，債務佔GDP的34%，新政府上台後，還有 9500 億元的融資餘額。但那是修改公債法舉債放寬上限，以及賣股變現的結果。

我們可以來看看馬政府是怎樣亂花錢的，因應金融海嘯救經濟，馬政府選擇最輕鬆但最討好人民的方法，舉債 857 億發放消費券，評估可增加經濟成長率 0.66%，甚至經建會主委陳添枝在 2009 年 1 月還大言不慚消費券可以提升經濟成長率至 1%。但根據 2010 年 7 月審計部決算報告指出消費券對經濟成長貢獻率僅約 0.28% 至 0.43%，直接打臉馬政府。大幅舉債想換來漂亮數字的結果不僅不如預期，而且還讓人民負債 857 億元 。甚至，經濟部統計也指出，在消費券發放後，2009 年 1 月及 2 月的零售業營業額較 2008 年同期相對減少 4.65%，也是 2000 年以來的經濟首度負成長。

對於目前的財政狀況，我們感到憂心，這也是未來新政府無可迴避的艱鉅任務。作為民喉舌的立法委員，將會盡全力督促行政機關，共同努力，逐步改善這個舉債居高不下的困境，讓年輕世代能夠減少負債，以維公平！",['消費券']
民主進步黨_邱志偉,2016-05-24 12:52:14,"2016.5.23【教育文化委員會】
　　我質詢新任文化部長鄭麗君，首先提出了我國整體文化預算不足的問題。
　　我國歷年文化支出預算約在160-170億元之譜，佔中央總預算約0.8%左右，連1%都不到。要推動全方位的文化施政與文化建設，沒有預算的支持，只是事倍功半。台灣要成為文化大國，首先要提升文化預算的比例，若要等待文化基本法立法，才來解決文化預算編列的問題，恐怕是遠水救不了近火。
　　因此我將提出比照教育預算經費管理法，制定「文化預算經費管理法」，保障文化預算編列能達到一定比例，中期目標為總預算的1.5%，長期目標則為2%。希望藉由專法來保障文化預算每年5%的成長。逐步的成長對整體財政也不會造成過量衝擊。
　　現在的年輕人每天都在看書，但看的是Facebook。國人閱讀率每況愈下，每年閱讀量約2.8本書，遠低於日本每年約30本的閱讀量，甚至比中國大陸一年4.6本書還要少。日本因為國民能維持一定的閱讀率，其出版產業能持續平穩的發展。反觀台灣出版產業近2年產值從300億元衰退到200億元，看不到前景在哪裡。閱讀能提升國民的知識力、學習力及競爭力，若長期低閱讀率，國民知識提升程度將受到限制。我要求文化部研議文化消費的租稅獎勵，以及試辦文化類別的消費券方案，設定門檻針對經濟弱勢家庭、學生，每年提供一定額度的補助，或是像巴西一樣以儲值卡的方式，讓接受補助的民眾能夠自由選擇藝文消費、參加藝文活動或是購買書籍來充實知識，藉此提振文化產業的發展。
　　最後提到了今年英國文學大獎曼布克獎得主是一名韓國人，歐洲的文學大獎很難得有亞洲作家獲獎。台灣也有很多優秀的文學作品，但卻沒有辦法像日本有許多作品能翻譯成數十種語言在世界各國發行。我和部長都同意，台灣的文學養成應該要向下扎根，從根本帶動文學閱讀及創作的風氣。要讓台灣文學提升世界能見度，甚至是得到國際文學大獎，像是諾貝爾獎、法國龔固爾獎等等，這些都需要有全盤的策略考量。我也期許新任部長能創造台灣文化新氣象及新願景。",['消費券']
中國國民黨_王鴻薇,2016-09-14 12:51:50,"民調低，腦就殘？

取消重陽敬老金變成年金改革的聖戰喔？發重陽敬老金＝年金改革崩盤，那從鄭文燦，林佳龍，賴清德到陳菊都該下跪請罪，他們都在發重陽敬老金，都在讓年金改革崩盤，只有柯文哲要改革，其他縣市首長都在破壞改革，這是什麼亂七八糟的邏輯。

柯P自己的政策自己負責，少拿反改革大帽子來栽別人。",['重陽+敬老金']
中國國民黨_游毓蘭,2016-10-09 11:11:55,"今天是九九重陽節，祝願天下的長輩們都能夠老有所終，能在台灣安享餘年。

這則新聞是去年11月20日的新聞，發生母子餓死家中兩個月的地點在台中市，不是在深山林內，人跡罕至之地。當時我很有感觸，尤其剛好台北市首度取消重陽敬老金，特別有感，可是那時我已經被柯粉們扣上逢柯必反的大帽子，只好按耐下來，今天再舊事重談。

台北市長柯文哲在施政上有很多想法，有他自己的邏輯，但是在缺乏對外說明之下，讓人只看到他繞著錢打轉。
他在上任之後，先刪除各單位訂閱報章雜誌的費用、台北市學童的牛奶沒了，在裁撤雙連派出所時，也是大談一年可以省下500萬元的營運成本；但是只在錢上面打轉，除了凸顯自己的庸俗膚淺外，還忽略了在評估政策時，有許多隱性成本，都不是用$$可以反映出來的。例如:裁撤派出所真的有省下每年五百萬嗎?還是錢沒省下，流失的民意和信任，反而要用更多的錢去透過宣傳廣告買回來。

刪除重陽敬老金可以為市府省下7億，根據台北市政府提供的資料: 2020 年，臺北市老人人口占全市 20%，所以到 109 年時，設定目標是車程 20 分鐘處，都有老人服務與據點，讓老人作伙吃飯、聊天運動、悠遊玩樂健康生活、減少老化臥床時間、減低父母育兒負擔，總計需增加 54 億元。因此規劃刪除非法定預算的一次性補助「重陽禮金」，將資源轉為更有效的重整與配置。

這樣的理由聽起來振振有詞，也是政府應該做的。但是在柯P的規劃中，車程不到20分鐘處就有老人服務據點的理想國要到109年才會實現，以目前台北市和台中市（去年的新聞就是發生在台中）的市長，對於前任市長的政策規劃好像都不尊重，也沒有延續的意思，柯文哲市長的老人福利規劃，說真的，如果我是台北市的銀髮市民，無法接受。

對於重陽敬老禮金，我也不贊成有些縣市長不斷加碼，宛如買票一般，只要重陽一到，戶頭裡自動匯入。個人認為應該做個反向思考。對於老人的敬老年金，未必要給很多，而且絕不應該以轉帳撥付，而是要由基層幹部（鄰里長）與志工藉由重陽敬老，登門親自探視，重點不是錢，而是關懷。
就像這個新聞中的老婦，如果台中有重陽敬老的訪視活動，或許她不會餓死多日，無人聞問…台灣號稱全世界人口最稠密的國家，但是當台中后里發生了這樣的悲劇時，究竟是國人冷漠成性，還是政策缺乏理性規劃與落實，值得深思！",['重陽+敬老金']
民主進步黨_邱志偉,2016-11-18 17:21:28,"2016.11.17 【交通委員會質詢】
　我就新南向政策中的觀光層面質詢交通部賀陳部長。印度國家的人口，超過新南向其他17個國家的總和，可見印度市場的重要性，但印度來台灣的觀光客卻相對地很少，印度貧富不均的情形雖然很嚴重，但有能力出國觀光的富人很多，如何增加誘因，吸引印度來台觀光，觀光局要積極去做，例如：增加直航航班、增加孟買、加爾各答等大城市的航點、給予簽證便利、在印度媒體刊登介紹台灣的廣告…，交通部在近期之內，應該要有很具體的做法，讓印度來台旅客倍數成長。部長表示：觀光局和民航局會合作拓展印度觀光，相關商務也可藉此拓展，除了印度，印尼也很重要，雙印是我國的潛力市場。我提醒部長，印度相對地被忽略。
　接著我質詢部長，南部的觀光發展需要政策的引導，像是小港機場的利用率偏低，交通部可以用差別費率的策略，降低機場起降費率。部長表示，目前開始在朝這個方向研議了。我也建議考慮採行觀光券，像是消費券，折抵現金，讓商家或旅館來給折扣，交通部表示，希望用類似coupon觀光護照，來增加誘因，這會有相關的配套。最後我勉勵觀光局，整個觀光局一年的預算才53億元，只夠買兩部戰鬥機，相對於觀光的拓展是很拮据的，應該跟行政院長爭取適度的擴增，因為觀光可以興國、可以強國，也是最好的國際宣傳。",['消費券']
