uid,time,text,keywords,sentiment_gpt
民主進步黨_柯建銘,2020-04-13 19:58:52,"【協商破局藍拒當橡皮圖章 追加1500億無共識】

聯合報/記者 林麗玉

立法院今天下午朝野協商紓困條例追加預算修正草案。國民黨團質疑，行政院追加預算1500億元無交代計算基礎，拒當橡皮圖章，並提案應發千億現金，由於朝野無共識協商破局，國民黨團退席抗議，修正草案第11條追加1500億元預算保留，明天上午10點繼續協商。

行政院副秘書長何佩珊表示，政院追加1500億非亂編，是根據舉債上限估算，非想編多少就編多少。對於國民黨團呼籲發千億現金紓困，何表示，政院追加1500億已針對快倒閉企業、弱勢等發現金。但未來振興酷碰券發放，委員認為應普發現金、加酷碰券，將債務上限打開，發現金的概念不錯，建議彈性處理，保留可能性。

民進黨立院黨團總召柯建銘表示，這次政院追加1500億元特別預算，是因目前並沒有排除財政紀律法，但若未來債務流量打開，不管是編列3000億元、或3300億元都沒有問題。若朝野同意打開流量限制，就先通過2100億元，未來若要再追加2100億元，以不超過前期規模追加預算。

蔣萬安提到，面對疫情嚴峻，紓困應編列千億發現金，黨團無法接受政院追加預算至2100億元，卻沒有交代計算基礎，就要立院空白授權。

何佩珊表示，這次行政院追加的1500億預算，已針對快要倒閉企業員工補貼四成薪資、預計照顧人數80萬人、預算419億元；另外針對自營工作者補助，一個月補助一萬元、人數110萬、預算336億元；弱勢補助中低收入每月1500元、照顧87萬人、預算40億元；減班休息補貼及擴大就業照顧失業者照顧超過25萬人、預算60億元及80億元加一加就有1035億元規模。

何提到，預算編列非僵硬地由上而下，而是由下而上讓錢用在刀口上。對於國民黨團提發千億現金概念，目前政院是採審核制，非煙火天女散花方式發。

另外，朝野協商第九條之一有共識，行政院提案修正紓困津貼、補償、補貼、獎勵，免納綜所稅。但對於國民黨團提出修正動議，除免納所得稅，當年度扣除額也從現行12萬提高至14萬，財政部長蘇建榮表示，因所得都已免稅，自提高扣除額雙層優惠，有點過頭了，建議維持政院版本。

至於民眾黨團提案增列九條之一第二項，針對無固定雇主、自營作業者應入法給予補貼法源。勞動部長許銘春表示，目前第九條已涵括這一部分，沒有重複規定針對特定對象規定的必要。朝野協商決議，將在第九條以附帶決議方式處理。

https://udn.com/news/story/6656/4489049

UDN.COM
協商破局藍拒當橡皮圖章 追加1500億無共識 | 聯合新聞網：最懂你的新聞網站","['普發現金', '普發+紓困', '普發+一萬']",NEUTRAL
民主進步黨_邱議瑩,2020-04-16 08:21:00,"有一間老牌餐廳，本來因為疫情衝擊，已經準備停業。但是在政府的紓困方案協助下，已經先借到低利貸款 2000 萬，可以周轉撐過難關，在預算通過後，也能夠得到薪資、一次性營運資金補貼跟水電費打折，因此，他們決定不停業，不裁員，30 多個員工的工作保住了，30 多個家庭保住了，這就是我們紓困的重點。

政府的資源來自大家納稅，必須用在刀口上，才能發揮最大效益。在疫情之後，有些餐廳或是人潮聚集區的商家突然沒有生意，員工生計馬上出問題。如果不趕快救，就會面臨倒閉、裁員跟後續的失業問題。

這些員工的薪水，可能是養家活口的主要收入，工作沒了，會影響很多家庭。政府如果把資源用在普發現金，即使每個人拿到一次性的幾千元，還是救不了失業，那許許多多的家庭，生計還是會出問題。

在紓困的階段，政府就會發現金，但我們會把資源用來撐住企業、留住就業，因為紓困救苦，一定要集中火力、集中資源。

所以，特別條例及預算得到國會支持後，針對業績受影響超過 5 成的企業，政府會這樣發現金：

✅幫忙發薪水：只要企業不減班休息、不裁員，政府補助你員工薪水四成，每月上限 2 萬元，一共三個月
✅協助挺營運：用正職員工數計算，補助一次性營運資金
✅幫你減水電：企業水電費直接打七折

#紓困發現金救艱困
#酷碰不是紓困_是疫情穩定後振興
#把企業撐住
#把就業留著

經濟部
April 15, 2020 at 8:28 PM ·

有一間老牌餐廳，本來因為疫情衝擊，已經準備停業。但是在政府的紓困方案協助下，已經先借到低利貸款 2000 萬，可以周轉撐過難關，在預算通過後，也能夠得到薪資、一次性營運資金補貼跟水電費打折，因此，他們決定不停業，不裁員，30 多個員工的工作保住了，30 多個家庭保住了，這就是我們紓困的重點。

政府的資源來自大家納稅，必須用在刀口上，才能發揮最大效益。在疫情之後，有些餐廳或是人潮聚集區的商家突然沒有生意，員工生計馬上出問題。如果不趕快救，就會面臨倒閉、裁員跟後續的失業問題。

這些員工的薪水，可能是養家活口的主要收入，工作沒了，會影響很多家庭。政府如果把資源用在普發現金，即使每個人拿到一次性的幾千元，還是救不了失業，那許許多多的家庭，生計還是會出問題。

在紓困的階段，政府就會發現金，但我們會把資源用來撐住企業、留住就業，因為紓困救苦，一定要集中火力、集中資源。

所以，特別條例及預算得到國會支持後，針對業績受影響超過 5 成的企業，政府會這樣發現金：

✅幫忙發薪水：只要企業不減班休息、不裁員，政府補助你員工薪水四成，每月上限 2 萬元，一共三個月
✅協助挺營運：用正職員工數計算，補助一次性營運資金
✅幫你減水電：企業水電費直接打七折

#紓困發現金救艱困
#酷碰不是紓困_是疫情穩定後振興
#把企業撐住
#把就業留著","['普發現金', '普發+紓困']",POSITIVE
無黨籍-中國國民黨_林為洲,2020-04-18 22:27:26,"政府的現金補助，你領得到嗎？

1，如果你保的是國保，答案：沒份。

2，如果你保的是農保，答案：你也沒份。

3，如果你除了健保以外什麼保都沒有，答案：更沒份。

4，如果你是受僱者，保勞保，答案：沒份。（除非放無薪假、被解僱、或公司証明衰退嚴重、且僱主要通報、申請，才有部份補助）

5，保職業公會、或自營商保勞保者，答案：有。（但需投保24000以下、且年所得40萬以下、要提出申請）

6，如果你是弱勢家庭者，答案：有，（4500元/戶，ㄧ次）

7，保勞保，原來就失業者，答案：沒份。

8，以上7種人以外的人，答案：沒份。

你到底領得到嗎？

國民黨主張：排富，普發現金，免申請。
￼",['普發現金'],NEGATIVE
中國國民黨_洪孟楷,2020-05-11 22:10:15,"紓困變蘇困?! 讓 #孟楷 與 #師誠來告訴你！
民怨四起、怨聲載道～！！🤬🤬🤬
立委 #洪孟楷 表示電話☎都要被打爆了啊
為了1萬跑了3.4次的公所 #紓困 講得簡單結果比報稅還困難😭！？
甚至據說還要來紓困3.0？😟？為何不直接全民普發呢？😟
 
#鄭師誠 不吐不快 今夜 #圍爐Yeah話 為民大哉問  

 
 
#品觀點 #台灣疫情 #紓困方案 #救急要緊 #國外做法 #台灣特別不一樣 #中華職棒","['全民普發', '普發+紓困', '普發+1萬']",NEGATIVE
中國國民黨_陳超明,2020-05-15 12:30:45,"紓困懶人包  讓您一次懂
呼籲民進黨  普發現金最簡單實在

這次紓困金發放，因為民進黨不願意採用國民黨的建議排富普發現金，結果設計出不同的請領方式與高低不等的紓困金額，還有分一次領與按月領，搞得全民抱怨。

由於現在的紓困方式太過複雜，因此超明特別整理懶人包，讓大家知道各種職業別紓困請領方式。

超明再次呼籲執政黨，防疫有成效，紓困、拚經濟更要察納雅言，接受國民黨的建議，以排富的方式普發現金給民眾，避免紓困之亂一再上演。","['普發現金', '普發+紓困']",NEGATIVE
無黨籍-中國國民黨_林為洲,2020-05-18 14:00:33,"【紓困麥擱亂、振興發現金！】

今天在國民黨中央黨部與全台22縣市議會黨團共同召開「紓困麥擱亂、振興發現金」記者會，自從政府的紓困方案開始推動之後，引發了許多的亂象，我們認為，紓困之亂造成民怨沸騰，執政者應負起政治責任，全台議會共同要求中央政府正視民意，調整不當的紓困政策！
除了紓困亂象之外，對於未來的「振興」階段，發放所謂「酷碰券」或「抵用券」也不是最恰當的政策，政府形同不知民間疾苦，我們認為，最好的方式就是排富普發現金，然而執政黨卻不願意接受，為了反對而反對，讓百姓繼續受苦受難。

我們主張，為促進產業活絡、提振民間消費，並感謝獎勵全國民眾此次無私配合防疫，將推動發現金的「振興經濟發展獎勵金」，在特別預算的原預算額度中，劃出1420億元，每個人都可以拿到6000元，讓全民共享防疫成果，同時兼顧紓困與振興需求。

我國這次防疫工作領先各國，在振興經濟方案上卻落後其他國家甚多，美國、日本、韓國、英國、澳洲、香港、澳門、新加坡、加拿大等國，均採發放現金給國民作法，政府也應儘速改弦更張，發放振興經濟獎勵給全國國民，才是擴大內需、振興總體經濟的好方法。

林為洲服務團隊

#紓困麥擱亂！
#振興發現金！
#敢講肯做林為洲👍🏻","['普發現金', '普發+紓困', '普發+6000']",POSITIVE
中國國民黨_羅明才,2020-05-19 16:41:50,"📣 #明才大聲公：國民黨提出「紓困振興方案3.0版」，採排富後每人普發6000元現金！

👉 您是否贊成呢?! 贊成請留言+1；反對請告知我您的理由

👉👉 您的回覆將有助我日後的質詢，也請幫忙分享出去，讓我知道更多民意，謝謝‼️
　
#紓困振興方案 #排富普發現金 #紓困萬元之亂

#羅明才","['普發現金', '普發+紓困', '普發+6000']",POSITIVE
中國國民黨_楊瓊瓔,2020-05-30 13:49:04,"#振興券霧煞煞
#怎麼用? #怎麼領? #大家都看懂了嗎???

瓊瓔和您一樣無法理解，為何要花1千元現金去買3千元的振興券？
振興券發放搞得好複雜，其實就是2000元版消費券。但消費券2020年版，效能退步了，金額少、手續雜，還得先花1000元，再去領3000元振興券。

行政院就是有「心魔」，因為消費券是馬英九發的就不做，為了大家方便使用，現在改還來得及，請以全民便利振興經濟為主要目標，好的政策應該學習。

目前國內消費市場幾近萎縮，促進消費是當務之急，瓊瓔主張排富普發現金6000元，公平照顧全民。","['普發現金', '普發+6000']",NEGATIVE
中國國民黨_楊瓊瓔,2020-06-01 12:23:41,"#振興券霧煞煞
#政府要振興 #人民很震驚

方便點不行嗎？我和大眾一樣無法理解，為何要花1千元現金去買3千元的振興券？一般來說，紓困、振興要快、要現金發放。但這次政府卻化簡為繁，真是「好路不走，走山嶺」，堪稱一絕，真不懂為什麼行政院官僚體系一直聽不進去。

世界大多數國家辦理紓困都是直接匯錢到戶頭，行政院卻搞得亂七八糟，民眾要先付1,000元現金，政府再給3,000元禮券，行政院別排除任何方案，要廣納民意，找到最適合且快速簡便方案，如果維持振興券，勢必引發更多人力成本損耗，普發現金可能會是更好方案，而且金額應該提高，才有誘發刺激消費的效果，「現在改還來的及，不要一錯再錯」。","['普發現金', '普發+紓困']",NEGATIVE
民主進步黨_鄭運鵬,2021-05-12 11:20:32,"疫情略微緊張，早上我有個觀察：
因為防疫太過成功，不但大家可以正常生活，經濟更是逆天成長，

結果，
『現在一有疫情升溫，反而大家都在責怪政府了，這也是全世界獨一無二的現象！』

指揮中心從去年到現在的疫情控制策略，其實沒有幾項是討好民意的，例如，口罩配發制度在野黨嫌麻煩又嫌貴、在野黨要家長隔離補貼、在野黨要普發現金、彰化縣政府衛生局要全面普篩等等，指揮中心通通逆勢否決，從來沒有討好過，但是我們都撐過去了，而且國人反而更支持指揮中心，所以我說了好幾次：『國人的公德心在疫情中升級！』。

不過，蘇貞昌和陳時中因此成為國民黨的眼中釘、被槍斃的對象。

這一波考驗，我不會期待輿情對指揮中心肯定褒獎，只拜託大家二件事情：

1，個人防疫，回到去年初的狀況，現在口罩酒精通通不缺，戴好就好。通通做好，國人有很難傳播疫情的神奇力量。

2，有資格打疫苗的朋友，就去接種吧！政府［還不會］強迫接種，這是保護自己也保護別人。",['普發現金'],POSITIVE
