Duration,Party,Name,Facebook ID,Note
2005-2016,中國國民黨,丁守中,https://www.facebook.com/drtingsc,
2005-2024,中國國民黨,孔文吉,https://www.facebook.com/profile.php?id=100058222655059,
2008-2016,中國國民黨,王廷升,https://www.facebook.com/timothyw.tw,
2012-2020,中國國民黨,王育敏,https://www.facebook.com/WYMALICIA,
2005-2020,中國國民黨,王金平,https://www.facebook.com/jingping.tw,
2005-2008,中國國民黨,王昱婷,,
2012-2020,中國國民黨,王惠美,https://www.facebook.com/wang.huimei,
2008-2016,中國國民黨,王進士,https://www.facebook.com/profile.php?id=100050525767776,
2020-2024,中國國民黨,王鴻薇,https://www.facebook.com/hungwei.org,
2005-2008,中國國民黨,白添枝,,
2005-2008,中國國民黨,伍錦霖,,
2005-2008,中國國民黨,朱俊曉,,
2005-2012,中國國民黨,朱鳳芝,,
2005-2008,中國國民黨,江丙坤,,
2008-2012,中國國民黨,江玲君,,
2012-2024,中國國民黨,江啟臣,https://www.facebook.com/johnnyccchiang,
2005-2012,中國國民黨,江連福,,
2012-2016,中國國民黨,江惠貞,https://www.facebook.com/huizhen0128,
2005-2012,中國國民黨,江義雄,https://www.facebook.com/yihsiung.chiang,
2005-2008,中國國民黨,何智輝,,
2005-2008,中國國民黨,吳光訓,,
2005-2008,中國國民黨,吳成典,,
2005-2020,中國國民黨,吳志揚,https://www.facebook.com/johnwu1969,
2020-2024,中國國民黨,吳怡玎,https://www.facebook.com/i.ding.wu.2020,
2005-2008,中國國民黨,吳松柏,,
2012-2016,中國國民黨,吳育仁,,
2005-2016,中國國民黨,吳育昇,https://www.facebook.com/yeswuasheng,
2005-2008,中國國民黨,吳英毅,,
2005-2012,中國國民黨,吳敦義,https://www.facebook.com/wudunyi2017,
2020-2024,中國國民黨,吳斯懷,https://www.facebook.com/sz.huai.wu.2020,
2012-2024,中國國民黨,呂玉玲,https://www.facebook.com/yuling616,
2005-2016,中國國民黨,呂學樟,,
2008-2012,中國國民黨,李乙廷,,
2005-2008,中國國民黨,李永萍,https://www.facebook.com/LeeYongping2019,
2005-2008,中國國民黨,李全教,https://www.facebook.com/GeorgeLeetainan,
2008-2012,中國國民黨,李明星,,
2016-2020,中國國民黨,李彥秀,https://www.facebook.com/ashow.tpe,
2005-2012,中國國民黨,李紀珠,,
2005-2012,中國國民黨,李復興,,
2012-2016; 2020-2024,中國國民黨,李貴敏,https://www.facebook.com/staceylee2020,
2005-2012,中國國民黨,李嘉進,https://www.facebook.com/profile.php?id=100034453660667,
2020-2024,中國國民黨,李德維,https://www.facebook.com/dwlkmttw,
2005-2012,中國國民黨,李慶安,,
2005-2016,中國國民黨,李慶華,,
2005-2008,中國國民黨,卓伯源,,
2005-2012,中國國民黨,周守訓,,
2005-2008,中國國民黨,周錫瑋,,
2020-2024,中國國民黨,林文瑞,https://www.facebook.com/wunrueilin,
2005-2008,中國國民黨,林正峰,,
2008-2016,中國國民黨,林明溱,https://www.facebook.com/LinMingChen,
2005-2008,中國國民黨,林南生,,
2016-2024,中國國民黨,林奕華,https://www.facebook.com/yihua571,
2005-2012,中國國民黨,林建榮,,
2020-2024,中國國民黨,林思銘,https://www.facebook.com/linsm.hc,
2005-2016,中國國民黨,林郁方,https://www.facebook.com/prof.yufang,
2005-2012,中國國民黨,林益世,,
2012-2016,中國國民黨,林國正,,
2005-2016,中國國民黨,林滄敏,https://www.facebook.com/tsangmin11,
2005-2024,中國國民黨,林德福,https://www.facebook.com/lintefu,
2005-2016,中國國民黨,林鴻池,,2008-2012為國民黨立委
2016-2020,中國國民黨,林麗蟬,https://www.facebook.com/19771002vivi,
2012-2016,中國國民黨,邱文彥,,
2005-2012,中國國民黨,邱毅,https://www.facebook.com/profile.php?id=100044407480336,
2005-2012,中國國民黨,邱鏡淳,https://www.facebook.com/hchgccc,
2005-2012,中國國民黨,侯彩鳳,https://www.facebook.com/profile.php?id=100000196146027,
2005-2012,中國國民黨,帥化民,,
2016-2020,中國國民黨,柯呈枋,https://www.facebook.com/chckcf,
2016-2020,中國國民黨,柯志恩,https://www.facebook.com/KoChihEn,
2005-2008,中國國民黨,柯俊雄,,
2005-2008,中國國民黨,洪玉欽,,
2005-2016,中國國民黨,洪秀柱,https://www.facebook.com/ChuChuPepper,
2020-2024,中國國民黨,洪孟楷,https://www.facebook.com/MongKaiHUNG,
2005-2016,中國國民黨,紀國棟,https://www.facebook.com/profile.php?id=100044955880621,
2005-2016,中國國民黨,孫大千,https://www.facebook.com/sun.ta.chienn,
2005-2012,中國國民黨,徐中雄,,
2005-2016,中國國民黨,徐少萍,,
2012-2024,中國國民黨,徐志榮,https://www.facebook.com/hsu0731,
2016-2020,中國國民黨,徐榛蔚,https://www.facebook.com/profile.php?id=100044308125515,
2005-2016,中國國民黨,徐耀昌,https://www.facebook.com/happiness.miaoli,
2005-2016; 2020-2024,中國國民黨,翁重鈞,https://www.facebook.com/chungchunwong,
2008-2024,中國國民黨,馬文君,https://www.facebook.com/nantou.go,
2005-2008,中國國民黨,高思博,,
2005-2008,中國國民黨,張昌財,,
2020-2024,中國國民黨,張育美,https://www.facebook.com/profile.php?id=100057994481243,
2008-2016,中國國民黨,張嘉郡,https://www.facebook.com/Sweet.Yunlin,
2005-2012,中國國民黨,張碩文,,
2005-2016,中國國民黨,張慶忠,https://www.facebook.com/chingchung401224,
2005-2008,中國國民黨,曹壽民,,
2005-2012,中國國民黨,曹爾忠,https://www.facebook.com/profile.php?id=100063561197627,
2012-2024,中國國民黨,許淑華,https://www.facebook.com/profile.php?id=100044482117533,
2005-2012,中國國民黨,許舒博,,
2016-2020,中國國民黨,許毓仁,https://www.facebook.com/congress.jason,
2005-2012,中國國民黨,郭素春,,
2020-2024,中國國民黨,陳以信,https://www.facebook.com/profile.php?id=100053527517524,
2016-2024,中國國民黨,陳玉珍,https://www.facebook.com/ntupkuc,
2005-2008,中國國民黨,陳志彬,,
2005-2012,中國國民黨,陳秀卿,,
2016-2020,中國國民黨,陳宜民,,
2005-2012,中國國民黨,陳杰,,
2005-2016,中國國民黨,陳根德,https://www.facebook.com/kentechen,
2008-2016,中國國民黨,陳淑慧,,
2012-2024,中國國民黨,陳雪生,https://www.facebook.com/profile.php?id=100002730369711,
2005-2008,中國國民黨,陳朝容,,
2012-2024,中國國民黨,陳超明,https://www.facebook.com/profile.php?id=100000526333158,
2012-2016,中國國民黨,陳碧涵,,
2012-2020,中國國民黨,陳學聖,https://www.facebook.com/junglicity,
2012-2016,中國國民黨,陳鎮湘,https://www.facebook.com/profile.php?id=100063836045104,
2005-2008,中國國民黨,章仁香,,
2012-2016,中國國民黨,曾巨威,,
2005-2012,中國國民黨,曾永權,,
2005-2008,中國國民黨,曾華德,,
2016-2024,中國國民黨,曾銘宗,https://www.facebook.com/TsengMingChung,
2020-2024,中國國民黨,游毓蘭,https://www.facebook.com/sandy.yeh.18,
2016-2020,中國國民黨,童惠珍,https://www.facebook.com/collagentst,
2005-2020,中國國民黨,費鴻泰,https://www.facebook.com/profile.php?id=100008950331632,
2005-2016,中國國民黨,黃志雄,https://www.facebook.com/ly11051,
2005-2008,中國國民黨,黃良華,,
2005-2020,中國國民黨,黃昭順,,
2005-2012,中國國民黨,黃健庭,https://www.facebook.com/justinhuang1106,
2005-2008,中國國民黨,黃敏惠,https://www.facebook.com/1314ichiayi,
2005-2008,中國國民黨,黃德福,,
2005-2012,中國國民黨,楊仁福,,
2012-2016,中國國民黨,楊玉欣,https://www.facebook.com/yangyuxing,
2012-2016,中國國民黨,楊應雄,,
2016-2020,中國國民黨,楊鎮浯,https://www.facebook.com/yang.chengwu,
2008-2024,中國國民黨,楊瓊瓔,https://www.facebook.com/YangChiungYing,
2005-2016,中國國民黨,楊麗環,https://www.facebook.com/yanglihuan,
2020-2024,中國國民黨,溫玉霞,https://www.facebook.com/Im.WenYuHsia,
2020-2024,中國國民黨,萬美玲,https://www.facebook.com/wanmeiling.tw,
2005-2008,中國國民黨,葉芳雄,,
2012-2016,中國國民黨,詹凱臣,,
