index,post_id,text,time,post_url
1318,112107440433389,立法委員 吳斯懷 updated their cover photo.,2020-03-27 13:42:10,https://www.facebook.com/sz.huai.wu.2020/posts/637068057761603:637068057761603
969,112285313748935,"【吳斯懷說你/妳好】

📣大家引頸期盼！敲碗等待！我的粉絲專頁正式上線啦！😊

過去幾天有熱心網友替我辦粉絲專頁，朋友們別跑錯棚囉~
正版吳斯懷底加啦~🙋‍♂️
 
一路以來聽見許多不同的聲音👂，有正面有負面💪，斯懷一定虛心接受，謝謝各位關心。🙇‍♂️

斯懷希望透過這個平台，傾聽大家的意見，一起為台灣這塊土地奮鬥。🌈✨❤️",2020-03-27 16:31:19,https://www.facebook.com/sz.huai.wu.2020/posts/pfbid0rjmQLAmeUL7aSbp5t3R57TGoaHVoD15kc4kYRLjZTvNEpvLu7XrWc67K1gZyEiqwl
857,115080936802706,"【來自斯懷的祝福】

青年是革命的偉力、是國家的希望🇹🇼，１００多年前就有一批奮不顧身的時代青年，為了創建中華民國而犧牲奉獻。這便是３２９青年節的典故與由來。青年是國家改革的基礎、前進的動能，青年好，國家就會好💪。

日前斯懷參加了中華育幼機構兒童關懷協會的活動，關心【失家兒】的照護。在此斯懷也呼籲，政府應該更重視對【自立宿舍】的佈建，補好【社會安全網】，讓國家成為青年的後盾，才能不枉當年革命先烈創建中華民國的苦心。✨",2020-03-29 13:03:18,https://facebook.com/sz.huai.wu.2020/posts/115080936802706
1019,116432040000929,"【斯懷將啟程】

斯懷今日拜訪了江主席🙋‍♂️
辦公室這麼近都還沒好好地拜訪一次。

很開心能向資深立委請益，
讓我這立院新生收穫滿滿🈵️。

一定更認真學習，努力做好立委💪💪

拜訪總結三大重點
💡坦誠溝通
💡交換意見
💡全力配合

斯懷堅定捍衛中華民國
全力配合黨中央及黨團的政策！！",2020-03-30 13:03:28,https://www.facebook.com/sz.huai.wu.2020/posts/pfbid033NFoMmi9rBxMRLC6U22sEDqKDtpnTNE2wRbGp9QsjPaLWep9m4sQnGw2EYJSnqmHl
1171,116550029989130,"兩日之內痛失兩位我們最尊敬的長官，
昨天王文燮上將意外身故，
今天下午又驚聞郝院長往生，
讓我們這些黃埔子弟深感哀痛。

謹致上最誠摯的哀悼之意。",2020-03-30 16:47:58,https://www.facebook.com/sz.huai.wu.2020/posts/pfbid0WRHCVBReSSEWjqW1bxJHVrMzhNVcqFHiAkEmJGWZW9GQDBLF8HetxRT2i4meFusRl
1154,118632716447528,"清明連假期間，斯懷提醒大家👇
✔️勤洗手
✔️戴口罩
✔️保持社交距離
✔️盡量減少出門
居家隔離與居家檢疫者也一定要遵守規定唷🙏😊

祝大家健康平安❤️",2020-04-02 09:41:55,https://facebook.com/sz.huai.wu.2020/posts/118632716447528
671,121212569522876,"大家午安！！近日天氣變化大，防疫之餘也要記得保暖唷🥰

斯懷在這邊特別感謝CTWANT的專訪，辛苦你們了🙏

專訪連結🔗
【解密吳斯懷1】沒有殺父奪妻之仇　吳斯懷：網軍可以不認同我　但不要羞辱我 https://www.ctwant.com/article/44324

【解密吳斯懷2】「同仁的恨一輩子記得」　吳斯懷終生為同袍爭福利 https://www.ctwant.com/article/44325

【解密吳斯懷3】革命血統闖政壇　吳斯懷自助哲學過難關 https://www.ctwant.com/article/44326

CTWANT.COM
【解密吳斯懷1】沒有殺父奪妻之仇　吳：網軍可以不認同我　但不要羞辱我",2020-04-06 11:57:07,https://facebook.com/sz.huai.wu.2020/posts/121212569522876
542,121902182787248,"【全民的防疫小天使】

為了讓疫情不會蔓延，全國已經有超過10萬人進行居家檢疫，他們的起居是誰來照顧呢🤔？

千萬別忘了幕後功臣的辛苦，也就是我們的村、里幹事，他們在這段期間幾乎是擔任了居家檢疫者的「管家」角色，他們為了檢疫者的生活跟全民的健康正努力奔波著👣。

斯懷接獲里幹事反應，以新北市為例，平均每位村、里幹事要負責照顧25位居家檢疫者，很多村、里幹事都累到吃不消，因此對內政部要求👇：

‼️確實落實發放2000元基本補助‼️

防疫是全民的事，缺一不可，更不能忘了在第一線努力的英雄們💙💚💛，他們犧牲自己的時間，正在為防疫奉獻，國家也應該協助他做好工作，也應該保全他們的健康安全，提供他們應得的補助。🙌

小補充:
1、 內政部初步規劃服務四位以下居家檢疫者，基本補助2000元，每增加一個個案，就多補助300-500元。
2、 目前居家檢疫的人數已超過10萬人，即使平均分配讓每位村里幹事都「僅」負責4人，也需要5000萬的預算，而目前內政部編列的預算僅3880萬。",2020-04-07 17:28:13,https://facebook.com/sz.huai.wu.2020/posts/121902182787248
855,123244042653062,"【斯懷與您站在一起】

近期斯懷收到許多國外僑胞私訊反應，希望我能替他們爭取到實質的防疫物資補給。

今日斯懷在質詢僑委會時，提出以下幾點建議👇:

💡僑委會可結合世界各地的僑民社團，直接掌握各僑民需求，將口罩與醫療物資儘速送到僑胞與僑生手中。

💡請僑委會協同衛福部製作防疫衛教醫療諮詢影片，搭配各國語言傳送至各地外館，並建立網路防疫平台，讓海外的僑民在需要的時候，能夠擁有初步醫療諮詢。

#防疫無國界 #再遠都是一家人",2020-04-09 20:26:56,https://facebook.com/sz.huai.wu.2020/posts/123244042653062
1184,123778029266330,"今天上五指山參加郝院長安葬禮。

青山有幸埋忠骸
出將入相郝院長
承先啟後繼遺願

捍衛中華民國
發揚黃埔精神
還原抗日戰史
堅決反對台獨",2020-04-10 19:37:15,https://facebook.com/sz.huai.wu.2020/posts/123778029266330
