index,post_id,text,time,post_url
905,136807236420070,"中橫未開放果農車進出 買賣受限(2011-10-17)

【Ali Nakaisulan/ Uliu/阿力夫】 

一箱箱的高接梨看起來漂亮又新鮮，切開香脆多汁，看起來賣相不差，不過種梨子的農民卻是一肚子苦水，就是賣不好，因為路不通，立委孔文吉對著交通部長毛治國已經不耐煩。 

交通部長說運輸蔬果路線可以協調，要果農不必太擔心，不過孔文吉又拋出了另外一個議題。聽到交通部長的回應，孔文吉認為聽起來了無新意，觀光局長趕快補充說明。 

孔文吉表示，這樣的議題已經質詢很多次，不過交通部的回答都一如往常，只能不斷再提醒。",2011-10-18 21:09:37,https://www.facebook.com/permalink.php?story_fbid=pfbid0qKR73JPGZvMcNZnXSSgY3TT6kCTdJnRQENCpRJjyGKnCvuicZ1gum7f3Mv2FMuaUl&id=134086613358799
2546,180631445351658,,2011-10-20 21:28:15,https://www.facebook.com/permalink.php?story_fbid=180631445351658&id=134086613358799
2545,137810496319744,,2011-10-21 10:26:23,https://www.facebook.com/134086613358799/photos/a.137810492986411/137810496319744/
2544,137810782986382,,2011-10-21 10:27:11,https://www.facebook.com/134086613358799/photos/a.137810492986411/137810782986382/
2543,298889743455299,,2011-10-26 16:15:29,https://www.facebook.com/permalink.php?story_fbid=298889743455299&id=134086613358799
522,140835859350541,"萬榮消防隊佔公路局地 尋立委協助(2011-10-28)

【牯慕瓦旦/Uliu】 

花蓮萬榮鄉內目前沒有一個消防分隊，居民的安全成隱憂，雖然內政部消防署已經編列了兩千八百萬的經費要來興建消防分隊，不過卻面臨廳舍建築線界鄰近省道台16縣20公尺的計劃道路，廳舍必須退縮五公尺，但這麼一來廳舍的面積就會不足，鄉公所特地北上尋求立委的協助。 

立委孔文吉邀集交通部公路總局、行政院原民會等單位協商，希望公路總局可以釋出土地，不過公路總局有所顧忌。 

由於公路總局擔心如果同意撥用土地給萬榮鄉公所興建消防分隊的廳舍後，未來如果台16線進行拓寬的工程，就沒有土地可以拓寬，希望行政院原民會可以以地換地的方式，移撥鄰近的原住民保留地來拓寬道路，獲得行政院原民會的同意。 

協調後公路總局同意釋出土地給萬榮鄉興建消防分隊廳舍，順利的話可望在11月底前發包施工。",2011-10-29 18:05:14,https://www.facebook.com/permalink.php?story_fbid=pfbid02YYu6G5vxAewBjbz7doiETTMjy4yVgHKWKtageU9HLkCZRsMymKRQxYsubTAV6gwPl&id=134086613358799
2542,259955480722425,,2011-11-04 16:11:07,https://www.facebook.com/permalink.php?story_fbid=259955480722425&id=134086613358799
2541,260961150619145,,2011-11-26 17:44:56,https://www.facebook.com/permalink.php?story_fbid=260961150619145&id=134086613358799
2540,264384756953378,,2011-12-08 10:55:05,https://www.facebook.com/permalink.php?story_fbid=264384756953378&id=134086613358799
2115,237889266281503,最近大家都在討論核廢料的事情，這裡有一篇商周文摘<<請問總統:核廢料何去何從?>>提供給大家參考，看看國外頂尖物理學家如何說.....,2011-12-17 20:54:56,https://www.facebook.com/permalink.php?story_fbid=237889266281503&id=134086613358799
2539,340074716018979,,2011-12-22 11:30:34,https://www.facebook.com/permalink.php?story_fbid=340074716018979&id=134086613358799
2538,363300510364314,,2012-02-07 16:16:32,https://www.facebook.com/permalink.php?story_fbid=363300510364314&id=134086613358799
2537,334921316545089,,2012-02-24 16:36:04,https://www.facebook.com/permalink.php?story_fbid=334921316545089&id=134086613358799
2536,297497366984086,,2012-03-09 23:58:55,https://www.facebook.com/permalink.php?story_fbid=297497366984086&id=134086613358799
2535,475741452441869,,2012-05-23 21:45:46,https://www.facebook.com/permalink.php?story_fbid=475741452441869&id=134086613358799
2534,379763148750362,,2012-06-21 14:31:38,https://www.facebook.com/permalink.php?story_fbid=379763148750362&id=134086613358799
2221,312495888851203,陪高雄市那瑪夏區孔效忠里長一行二十人 赴行政院原民會爭取Kanakanavu 正名為原住民第十五族。,2012-12-26 00:27:55,https://www.facebook.com/134086613358799/photos/a.137810492986411/312495888851203/
2275,332475883519870,這是我的粉絲專頁，請大家多支持宣導，今天是2013新年初一，祝大家蛇年行大運！,2013-02-10 18:28:34,https://www.facebook.com/permalink.php?story_fbid=pfbid02uRbuU6ZZuk2Lft4RXQhTsPkGoneozssFRS7Ju4Vm3fQFJtG751ojhpYraw8DK8h9l&id=134086613358799
1985,438679986232792,今天上午參加行政院原民會主辦之2013南島民族國際會議，馬總統親臨致詞，各國友邦使節也親臨捧場，我旁邊的女士是帛琉共和國駐華代表。她旁邊是加拿大政經暨公共事務處長明秀妍女士。,2013-12-02 11:50:36,https://www.facebook.com/permalink.php?story_fbid=pfbid0jP5R4HhsRNRfJU6jUunZ3YXRfGo9cT8q64Q7iTLNv6DeuyaA2Wdn4XAXtd8wsvGLl&id=134086613358799
2369,554005231366933,最近一個月的生活近照。2014年9月,2014-10-03 08:43:45,https://www.facebook.com/permalink.php?story_fbid=pfbid0heGxjE5tXuTd37itzBJnmGET2VMYd4PAFE8tzGgZJN4KWFceeziyuaJsYPNPv6Unl&id=134086613358799
2393,581023981998391,更新最近的照片，與大家分享。,2014-12-10 07:40:30,https://www.facebook.com/permalink.php?story_fbid=pfbid0WXAvW4sAetif7WKmSguYLdWLzaL7x3vqz4x1E8VLH42GJMBiQZk16huoXFmQhCwCl&id=134086613358799
2010,703877803046341,具有良知、熱血及正義感的孔文吉，在立法院敢言敢拼、專業問政、熱心積極、部落會勘最勤快、清廉務實不做秀。在此由衷感激您的小額捐款。我的政治献金帳號及户名如後附照片。謝謝！,2015-10-13 10:31:53,https://www.facebook.com/permalink.php?story_fbid=pfbid02HWCdhoV1QUc13J2YAATk8k3vxme22jLir44oWSzULaB3rhb9KU2A7qT15Y4X23A1l&id=134086613358799
2285,705764202857701,立法委員孔文吉 updated his profile picture.,2015-10-19 21:38:39,https://www.facebook.com/permalink.php?story_fbid=705764202857701&id=134086613358799&substory_index=5745745068777940
2330,705764349524353,立法委員孔文吉 updated his cover photo.,2015-10-19 21:39:23,https://www.facebook.com/permalink.php?story_fbid=1046794486022608&id=134086613358799&substory_index=1046794486022608
2284,705764662857655,立法委員孔文吉 updated his profile picture.,2015-10-19 21:40:39,https://www.facebook.com/permalink.php?story_fbid=705764662857655&id=134086613358799&substory_index=5642703379119514
2533,756701374430650,,2016-03-03 15:43:52,https://www.facebook.com/permalink.php?story_fbid=pfbid02cmCh2gutmTDmy5fJcpfLVsVWnxLWfXKd5aDa67i3SJ29EkKkNg57oNh8YieWidc5l&id=134086613358799
2283,756702324430555,我率先提案制訂【反族群歧視法】，已通過立法院院會付委送交内政委員會審查。,2016-03-03 15:49:31,https://www.facebook.com/permalink.php?story_fbid=pfbid02CQZzTBR6JiUh7A8YS6fSvGRnoPCDXoVnCfxcHyzqpDVWVvu4sY8qWS6jDYcV4Kh1l&id=134086613358799
2194,756703051097149,https://www.facebook.com/wenchikung/posts/739841849450093,2016-03-03 15:54:18,https://www.facebook.com/permalink.php?story_fbid=pfbid02ZUdY32uAmBhe9BsXNbYSa2VhjEyUKqjajiLHYmEJVbUeD2bjTqWC4ULyYJEaHB7Fl&id=134086613358799
