index,post_id,text,time,post_url
1120,418248859025857,廖國棟Sufin.Siluko updated his profile picture.,2019-06-10 13:01:45,https://www.facebook.com/Sufin.Siluko/posts/418248859025857:762139514899619
1135,418414372342639,廖國棟Sufin.Siluko updated his cover photo.,2019-06-10 19:24:11,https://www.facebook.com/Sufin.Siluko/posts/510430420845425:510430420845425
1177,419652105552199,,2019-06-12 12:20:18,https://www.facebook.com/Sufin.Siluko/posts/pfbid0zDYmPvwN7mTbr8ASbrqhRuXaYJ2c2jpAt21zD8Qtp8HsjvFDReb2S9Usksu2Ut7nl
1176,419680418882701,,2019-06-12 13:21:45,https://www.facebook.com/Sufin.Siluko/posts/pfbid02RPoAsoVuMCSEBzawWgM4QhDmy9ypjQp3Qo1MpV6vHVCQ3xikLa6FS7w3vEkjXDYal
1125,419680785549331,廖國棟Sufin.Siluko updated their phone number.,2019-06-12 13:22:40,https://facebook.com/Sufin.Siluko/posts/419680785549331
908,428585974658812,"國棟在此歡迎您加入我的粉絲團！

在這裡，我們將致力營造出屬於原住民年輕朋友一個「開放分享、創造發展、輕鬆友善」的溝通平台。

國棟誠摯地希望您也能邀請更多的原住民年輕朋友加入，讓我們一起為打造「#希望原鄉、#都會再造」的目標而努力！

我們一起加油！",2019-06-25 18:33:00,https://www.facebook.com/Sufin.Siluko/posts/pfbid02GRQmp6Bofcu8i6F92mS1CtcMkVEWDJ1p4ASBayhmpFupLoyYVat4zmiWHt8NgcbMl
811,430065801177496,"🌟美好的一天，就應該為生活加點料。

有時加點知性的，偶爾來點感性的，想到時再放點輕鬆的、快樂的，這就是國棟粉絲團想要做的事。

未來，這裡會不定期分享給原民年輕朋友，包括大家關心的原民經濟發展、時事新知，還有國棟的問政報導等，掌握第一手資訊。除此之外，國棟還會分享我的著作《愛與榮耀》的內容，為大家加點不一樣的料。❤",2019-06-27 18:56:11,https://www.facebook.com/Sufin.Siluko/posts/pfbid0f9Mny7EAfPizXyHpYTfPQTuuMTVS9YFJwpoRvPsxQyEjrRApt9RNmVRcM4tEMyfFl
565,430773541106722,"國棟前幾天遇到一個27歲的原民青年，他跟我提到，他是2003年參加第一屆E起舞動國小組的參賽者之一。轉眼間，這位青年如今已是一位俊俏的年輕人。

我問他：結婚了沒?
他說：還沒，不敢結婚。
我再問：那有沒有女朋友?
他回答：有，很多女生喜歡我呢！
他還跟我說：謝謝我舉辦E起舞動，讓他更深刻認識我們的文化。

國棟聽了，真的很感動……😭

此影片，獻給17年來參加過E起舞動的年輕學子，以及工作人員。
謝謝大家，我們繼續向前行！

請連結：捍衛勇士-廖國棟 #文化傳承篇
【聲音記得開大聲，效果好】
https://www.youtube.com/watch?v=4JDHmAlx-aA",2019-06-28 20:28:58,https://facebook.com/Sufin.Siluko/posts/430773541106722
536,432482200935856,"108年度原住民族各部落豐年祭/收穫祭起跑了，朋友們！回故鄉走走吧！

這篇【加母子灣印記】摘自國棟的《愛與榮耀》，特別分享給異鄉的遊子。
   
~加母子灣印記~

蔚藍的天空，清澈見底的海水，
以及從南側看似青蛙的海中岩石，是都蘭人共同的記憶；
出航的漁船，遠處的猴子山襯托出都蘭灣的包容力。

啊！這裡是你我永遠的故鄉——加母子灣。

旅居都會的遊子們，回鄉看看它吧。
看看天空，還有海水的藍，是否與你記憶中的一樣藍；
看看海中岩及礁石縫中的海貝cekiw，是否仍在對你微笑；
看看翠綠的稻葉及遠處的猴子山麓，是否仍像你年輕時的綠平線。

年輕真好，年輕時的記憶更美，
而故鄉的記憶永遠不變。",2019-07-01 11:47:40,https://www.facebook.com/Sufin.Siluko/posts/pfbid02NLmTMH5ETkbcXjPiavgaYGm915NerKPyQHL7jindVPQp4Qo571D2g85ysaUaJGuQl
265,432712274246182,"說好了，咱們酒後不開車！

今天起(7/1)酒駕新制上路了，酒駕害人又害己，賠了新台幣，心情又不美麗，是吧！七大酒駕新制重點，一定要注意！

【提高酒駕違規罰鍰】
汽車初次酒駕從原本1萬9500元到9萬，提高為3萬到12萬；機車則維持1萬5000到9萬。

【累犯加重罰鍰】
5年內第2次酒駕累犯即處以最高罰鍰；機車9萬、汽車12萬，第3次以上按次加罰9萬。

【酒駕拒測加重處罰】
從9萬提高到18萬，5年內第2次後每次加重18萬元。

【酒駕吊扣駕照】
機車初犯吊扣駕照1年、汽車吊扣2年，車上如有未滿12歲兒童或者肇事致人受傷，吊扣駕照2到4年。

【酒駕肇事致人重傷或死亡案，將可沒入車輛。】

【酒駕者同車共責】
與酒駕者同車者，年滿18歲的同車乘客，可罰600元至3000元罰鍰。排除年紀太長、心智障礙、或搭乘計程車、公車等運輸業乘客之處罰。

【腳踏車、電動輔助自行車、電動自行車、三輪以上慢車等酒駕、拒檢加重處罰600至1200元；拒檢罰1200至2400元。】",2019-07-01 20:36:58,https://www.facebook.com/Sufin.Siluko/posts/pfbid02M1mrUPz7xbBKKwcQ4BnAZnpsfPvVgJaJZ3uvpKsBRW6XwbsaAtyL2bPP8XiPaoyNl
1075,443189453187183,"朋友們，一起來唱我們的歌！
對了，國棟唱的還可以嗎?

Youtu連結：
https://youtu.be/4wlYK8nMZDA",2019-07-02 12:27:40,https://facebook.com/Sufin.Siluko/posts/443189453187183
1043,433331014184308,"~捍衛勇士粉絲團揪好友~

請老朋友告訴新朋友，請新朋友再拉朋友，大家一起加入。

還有，也請大家多多幫粉絲團 #推薦 、#按讚 、 #分享！

國棟感謝你💖。",2019-07-02 19:58:27,https://www.facebook.com/Sufin.Siluko/posts/pfbid0kQVXxbbaNC6Wpww9cU1oCUf2UB9wCcyvcd11XBC8wL5BTRQebsNXBwDPZtqbySmTl
