index,post_id,text,time,post_url
629,1534366856842226,立法委員 廖婉汝 updated her profile picture.,2015-01-14 23:48:42,https://www.facebook.com/permalink.php?story_fbid=1534366856842226&id=1534365090175736&substory_index=590167936180388
640,1534374806841431,"104年2月7日 屏東縣第三區立委補選
懇請支持在地女兒 - 廖婉汝",2015-01-15 00:11:08,https://www.facebook.com/permalink.php?story_fbid=pfbid02mnY8s7F1MWUvwZ2ujZKcmAdQPHg3VBazUrZenBErC84w5RJk7PdwsnrUpz3UVRV4l&id=1534365090175736
642,1534375393508039,立法委員 廖婉汝 updated her cover photo.,2015-01-15 00:14:08,https://www.facebook.com/permalink.php?story_fbid=805644797550627&id=1534365090175736&substory_index=805644797550627
657,1534380333507545,"屏東縣枋寮鄉 ""蓮霧""落果 - 補助協商與災情會勘",2015-01-15 00:30:13,https://www.facebook.com/permalink.php?story_fbid=pfbid03VMNPoXipUWbJvYj5BAZ2h5z1BvXYcNzjHZQCkEmGWJBtqHsAwjgyEDUYeGAZraAl&id=1534365090175736
652,1534569590155286,"屏東縣立法委員第三區選區 - 缺額補選""佳冬鄉""輔選會議",2015-01-15 12:23:36,https://www.facebook.com/permalink.php?story_fbid=pfbid0zZRKHEGEqy8dLJ8f54HtSgZSpWnMBKsYX8Nr8nEz5VGU16pJZF8HiGevk8rSQVJHl&id=1534365090175736
538,1534635286815383,"「在地女兒 服務在地」，2月7日用選票支持廖婉汝。

https://tw.news.yahoo.com/屏南立委補選-國民黨徵召廖婉汝-114832832.html",2015-01-15 16:52:32,https://www.facebook.com/permalink.php?story_fbid=1534635286815383&id=1534365090175736
584,1535052676773644,"微笑百合號，今日起全面出發。
承載著人民的聲音，讓我們前進立法院。
在地女兒、在地服務，2月7日敬請支持廖婉汝！",2015-01-16 15:16:19,https://www.facebook.com/1534365090175736/photos/a.1535052803440298/1535052676773644/
535,1535137790098466,"唯有真正的深入鄉里才會發現的美 - 佳冬鄉。
一步一腳印，從白晝一路拜訪到入夜為止。
""萬建古碉堡""、""蕭宅敬字亭""、""蕭家古厝""
步步充滿著歷史與文化，屏東真的好美。",2015-01-16 20:06:32,https://www.facebook.com/permalink.php?story_fbid=pfbid0RnQ7N9xCsrSZRRsKRLsU4QNjkE6hXvmZjfU9RDGPo4wYW5TrTrbCGo3wYgh4871ol&id=1534365090175736
604,1535446113400967,"明天早上九點，東方渡假酒店國際宴會廳，
請大家哥哥牽妹妹、阿桑牽阿伯，
共同來為婉汝支持、打氣。",2015-01-17 11:25:58,https://www.facebook.com/1534365090175736/photos/a.1535052803440298/1535446113400967/
537,1535642390048006,"人親、土親，與民眾站在同一陣線最親。
婉汝今天跟著搶收紅豆的農民朋友一起收成，
繼續一步一腳印的為鄉里、地方打拚。
希望2月7日，大家給婉汝一個機會，繼續為屏東服務！",2015-01-17 20:03:24,https://www.facebook.com/permalink.php?story_fbid=pfbid05jkN2Z3XTM7gfdZTyJBwZQcj3AGWtW7JaeeePEwRSNrG91WtRHFz6mMvSsWfSmqgl&id=1534365090175736
565,1535955716683340,"今天的感恩茶會，順利圓滿的結束了。
感謝不分南北的各位委員及代表皆到場聲援。
婉汝非常感動大家的一路支持，也會持續努力，爭取勝利！",2015-01-18 11:51:43,https://www.facebook.com/permalink.php?story_fbid=pfbid02oj2M9rcsaGYvibibnVsyGqwj4JfBiuxti7dQYoiLrPvemhBugMRacXH3m2iQMG3Ul&id=1534365090175736
619,1535960806682831,"謝謝各位鄉親朋友們的到場給予支持與鼓勵！
在各位婦女夥伴們的愛護下，婉汝會更加努力！",2015-01-18 12:16:41,https://www.facebook.com/permalink.php?story_fbid=pfbid037ARFJmDhCtjRE4rMTiVmcTGJdznPUWWvpug9yAiSpWqvc4oFzst3KdkDLVdNo8uyl&id=1534365090175736
606,1536453383300240,"東港早市掃街拜訪，
請各位支持2月7日立委補選，廖婉汝！
在地女兒、服務在地，為屏東人民發聲。",2015-01-19 09:09:31,https://www.facebook.com/permalink.php?story_fbid=pfbid02aF5aGkiYT16anPExu4FHWPEuKjUZnmXmSNqbLNBh9UFhQgsa59Ah23Jqv7W6cqz5l&id=1534365090175736
616,1536479253297653,"感謝各位辛苦的志工好友們的幫忙！
你們的支持，讓婉汝能更盡心勤跑基層、傾聽鄉里的聲音。",2015-01-19 11:15:35,https://www.facebook.com/permalink.php?story_fbid=pfbid02KnEgx4bdeAb1reiX8SuxfmYAmCB9fa6492LT3GXYqEPs68jnsFJb5ZTjajJb4JABl&id=1534365090175736
509,1537038589908386,"今天是農曆十二月初一，
離立委補選只剩下17天而已。
婉汝在東港市場與鄉親懇託支持，
握過的每一雙手、鄉親們的每一句話，
婉汝都會牢牢記住，爭取為民眾服務！
2月7日投票，請大家多多支持！",2015-01-20 14:35:40,https://www.facebook.com/permalink.php?story_fbid=pfbid0uKAGnba8QeJXV4AsPTPTkKPbzPtd3JxGJ62x73Sk53X94jXZvV3J2PbnqqmZDKgil&id=1534365090175736
549,1537657599846485,"今天婉汝回到出生的家鄉，車城鄉。
熟悉的故鄉，一如往昔的吹著落山風。
走訪鄉里，心中有滿滿的感觸和感恩。
希望在福德正神土地爺的保佑之下，天佑台灣！",2015-01-21 14:18:12,https://www.facebook.com/permalink.php?story_fbid=pfbid025KB7RjL59AuD2zqZa6i2BSAhcXhYibF83YubSCNWTrMT3jvHrGFZytjSE8sESvqbl&id=1534365090175736
583,1538000579812187,"今天屏東縣第三選區立委補選抽籤，
第三選區選三號，三陽開泰、羊年洋洋得意！
支持三號廖婉汝，三號是您最好的選擇。",2015-01-22 09:38:08,https://www.facebook.com/permalink.php?story_fbid=pfbid0MX3BK7Ug7whJsFKcnRrfVawetHWKhfeKe4YAgc2gGXg6i9bMh6GJuuVgC9h4nyQgl&id=1534365090175736
388,1539511662994412,"今天新科國民黨主席 - 朱立倫 與副主席 - 黃敏惠，
下鄉來到屏東幫婉汝加油打氣。
不但到東港服務處簽名加油，更與婉汝一起到東隆宮參拜。
臺灣屏東是一塊美麗的瑰寶，需要你我共同努力維護。
2月7號，第三選區立委補選選3號，
請大家多多支持、踴躍出來投下神聖的一票，
讓婉汝跟大家一起守護這塊臺灣南端的土地。",2015-01-25 14:51:49,https://www.facebook.com/permalink.php?story_fbid=pfbid02BbHHhRcgKmRM2VJv5phqXpn2tcSeV8rrUJvkUhYReuELQqJK4P3BZB6R6dr7K4rMl&id=1534365090175736
365,1539595139652731,"今天下午，婉汝回到車城、恆春車隊遊行掃街，
看著家鄉的景緻，和每一個辛勤工作的朋友揮手致意，
讓婉汝想要繼續照顧這片土地，因為這一切如此美麗。
也要在此謝謝自發性跟著車隊遊行的朋友們，
謝謝在婉汝經過時，揮手跟放鞭炮為婉汝打氣的朋友們，
你們讓我相信，婉汝一直以來深耕南臺灣、為民眾服務，
這些努力是會有人看的見的，而這是多幸運的事。",2015-01-25 19:34:03,https://www.facebook.com/permalink.php?story_fbid=pfbid02zErSjZ4PbHGAXRwAgD9QHFXgnsy7VaZBHAE36dkaXHFSUUPAywwCALVbMzXxopDHl&id=1534365090175736
466,1539927846286127,"謝謝中華職業棒球大聯盟的好朋友們也前來加油。
前桃園縣縣長 - 吳志揚(中華職棒大聯盟會長)
和中華職業棒球大聯盟副秘書 - 王惠民。
還有從國大代表一路走來的好姐妹 - 黃敏惠副主席。
有你們的支持，讓婉汝充滿力量，繼續為屏東努力。",2015-01-26 12:18:20,https://www.facebook.com/permalink.php?story_fbid=pfbid02kxA6HKtr62JhrFinhFAZfQTZV921ybTKmr81DASxWXMynYkCMoce4mmGatL2xK9vl&id=1534365090175736
420,1540016569610588,"今天婉汝走訪到恆春鎮茄湖里 - 莓洋洋草莓園。
顛覆傳統對恆春只產洋蔥的想法。
看到青年願意回鄉經營，有自己的理想跟抱負，
真的非常了不起，值得支持與肯定！

http://www.chinatimes.com/realtimenews/20150121004169-260405",2015-01-26 17:05:44,https://www.facebook.com/permalink.php?story_fbid=pfbid02cMqB7KQ86gti2acfVM6ttEDz3PoypkXf9A8iUduW58dfu6pkSS5K37SCXjtUCEFml&id=1534365090175736
482,1540345499577695,"感謝中華民國工商建研會 - 南區聯誼會，前來為婉汝加油。
看到好多不同期的好朋友來支持，讓婉汝好欣慰、感激。
更驚喜的是帶了蛋糕來，這陣子勤跑基層，都忘了生日了。
今天生日，婉汝最大的願望就是天佑南臺灣，大家平安。",2015-01-27 12:16:53,https://www.facebook.com/permalink.php?story_fbid=pfbid0yibujQFt2P9RysgCn2xkP8T6KmC62DSdfrKX1cwE3RQah3eYhZHZw7yrjurGqCR4l&id=1534365090175736
598,1541973676081544,"這兩天在東港及南州夜市掃街拜訪，皆由女兒代表出席。
在南州還參拜了當地的代天府，祈願南台灣一切平安。",2015-01-29 22:00:47,https://www.facebook.com/permalink.php?story_fbid=pfbid0eCy6YbLJ6kYA2xfRz4cWaARAEdPGVyrxNCTHaCj35Mps9bU3ryDkescAp8nqxSEtl&id=1534365090175736
655,1542806599331585,2月7號，懇請支持在地服務二十多年的 - 3號廖婉汝。,2015-01-31 12:08:16,https://www.facebook.com/permalink.php?story_fbid=pfbid0Z4iQfsWgt8XTA6oCpB8QkG8WUtTFmdqBNCwTeMuYiXgkFrvs2yFzx6FartUwbwRml&id=1534365090175736
