index,post_id,text,time,post_url
2001,104678750075033,張育美 updated their profile picture.,2017-03-27 18:10:15,https://www.facebook.com/permalink.php?story_fbid=104678750075033&id=104624290080479&substory_index=460453759137595
2005,104691393407102,張育美 updated their cover photo.,2017-03-27 18:16:55,https://www.facebook.com/permalink.php?story_fbid=630657378682137&id=104624290080479&substory_index=630657378682137
2004,105972306612344,張育美 updated their cover photo.,2017-03-28 14:24:20,https://www.facebook.com/permalink.php?story_fbid=1409928072751945&id=104624290080479&substory_index=1409928072751945
2006,105979443278297,張育美 updated their cover photo.,2017-03-28 14:30:53,https://www.facebook.com/permalink.php?story_fbid=461626412555527&id=104624290080479&substory_index=461626412555527
2007,106018879941020,張育美 updated their cover photo.,2017-03-28 15:12:04,https://www.facebook.com/permalink.php?story_fbid=1278937706190328&id=104624290080479&substory_index=1278937706190328
1979,651036462105923,"2/1張委員 上工囉........
立法委員報到的第一天 感覺到任重道遠
#立法院 #立法委員 #CEO #上任",2020-02-03 16:39:30,https://facebook.com/100057994481243/posts/651036462105923
2008,651551675387735,張育美 updated their cover photo.,2020-02-04 10:14:35,https://www.facebook.com/permalink.php?story_fbid=482853386650821&id=104624290080479&substory_index=482853386650821
1740,651717288704507,"#口罩罩得住嗎?
今早在立法院參加國民黨黨團-防疫記者會
育美會中表示行政院各部會針對口罩如何使用，都有各自的說法、都在刷存在感，讓民眾無所適從。
育美呼籲大家不要恐慌、減少群聚活動、勤洗手，必要時戴口罩-保健康。

https://www.nownews.com/news/20200204/3915737/
影片👇👇
https://youtu.be/gR8b9P--b7Q?t=795

#立委 #張育美 #國民黨團記者會 #防疫 #口罩 #立法院 #行政院",2020-02-04 18:29:47,https://www.facebook.com/permalink.php?story_fbid=pfbid0jwxJW7ZEw7mrS5AsJZjv7P9J6yxzj56yHEbo56mb257hnMSicAzPESAFm8i7Sot3l&id=104624290080479
1886,651568665386036,"#提醒您口罩實名制2月6日上路囉！
持健保卡至健保特約藥局購買，7天內只能購買1次，每次限購2片。

👇附近哪裡有健保特約藥局 可點選下方網址查詢👇
http://www.nhi.gov.tw/QueryN/Query3.aspx

 #口罩  #健保卡 #健保特約藥局 #限購 #疾管署 #武漢肺炎 #流感",2020-02-05 11:04:44,https://www.facebook.com/permalink.php?story_fbid=pfbid02MaD8bpnHXPb5SH5Ba66ACL5SkSYnrHtaEVtjxJMmPnyeMqhQykuf2z28zMHt7n1tl&id=104624290080479
1743,653478308528405,"真的好高興！
#台灣首例確診個案已痊癒
台灣的醫療品質性價比不愧是「世界第三、亞洲第一」
我們一起來給全台的醫療從業人員打氣:感謝您們在防疫期間的努力，為我們的健康把關。辛苦了，謝謝🙏
https://news.cts.com.tw/cts/general/202002/202002061989651.html
#武漢病毒 #防疫 #陳時中 #衛福部 #第一線

NEWS.CTS.COM.TW
快訊》好消息！台灣首例確診個案已痊癒 準備出院 - 華視新聞網",2020-02-07 17:43:11,https://facebook.com/100057994481243/posts/653478308528405
