index,post_id,text,time,post_url
2032,103600144602842,李貴敏 updated their profile picture.,2020-03-12 11:59:20,https://www.facebook.com/staceylee2020/posts/103600144602842:632898201510453
1562,103615391267984,"#手機定位 #監控 #一九八四
許多民眾擔憂，是否參與政治或選舉活動造勢會遭到手機定位監控？事實上，手機IP與定位鎖定技術上已不困難。甚至法務部長蔡清祥答詢我質詢時也僅表示，絕不會針對造勢活動鎖定有投票權國民的手機IP與定位；且若無涉及犯罪，手機就不會被定位。

類似說法似是而非，自易引發不安！因為這些問題已實質碰觸到我們個人隱私與言論自由保護的界線，所以關鍵問題仍在主管機關法務部迄今仍未明確表態「定位」資料應屬個人隱私保護範圍，以及如何確保障個資當事人隱私（包括所在位置）與限制科技隱患！",2020-03-12 12:30:31,https://www.facebook.com/staceylee2020/posts/pfbid0RGoYdERHHmyTyCiREd7tkhn82Ns8yoQ4NyPaTJmkQiQDHRMJXkDx85hXyinj2ouZl
1761,103632844599572,"當保育山林成為全民共識，
就更不能忘記今天的植樹節，
我手繪一顆簡單的樹來紀念🏝

植樹節的由來是從美國開始，
而在民國初期，
孫文提倡造林是民生建設政策，
在他過世之後，
政府在其逝世紀念日當天，
舉辦大型的種樹活動，
讓植樹節成為固定節日。

根據聯合國統計，
全球已有50多個國家設立植樹節🥰
 
#植樹節
#畫樹愛台灣
#種樹救地球",2020-03-12 12:59:33,https://www.facebook.com/staceylee2020/posts/pfbid0347wBG1vo7xi6EuZJhoc3JTkK31sqfiWAqEjT4aKQ5Qa1jFvbsjxoQqdNMdJm4zmZl
1770,103737371255786,"#司法院 #法官 #防疫
新冠疫情蔓延，法院能否順暢運作，大家都很關心。很高興司法院與法務部達成共識，優先採取不讓染病風險或確診人犯「移動」的原則，改採遠距訊問，或由法官前往開臨時庭就地訊問方式因應，以策安全。如此一來，法官健康與安全也必須格外慎重！尤其法院還有許多義工幫忙，如何協助義工做好防疫準備，做好法院防疫工作，都不可偏廢！",2020-03-12 15:34:32,https://www.facebook.com/staceylee2020/posts/pfbid035TN7fi31LWHhvuVgv8VUkR9GfqzUcm8LN9dHJRFRrvsf58WiWRVJEHqwvLp8uK2Cl
582,104511414511715,"史詩級黑天鵝真來了
政府動起來，別靠口號救經濟!

疫情蔓延，油價暴跌，美股崩盤，三箭齊發，催生了史詩級的黑天鵝橫在我們面前。蔡總統昨天甚至召開國安高層會議，一改蘇內閣這段時間以來輕忽以對、不專心也不用心的態度，特別點到維持股匯市穩定，以及強化短期經濟動能的必要性，也顯示問題的確極其嚴重。

正如我們之前再三強調，台灣企業面臨斷鏈危機，處境堪慮，但行政部門主管機關卻只會叫人民把供應鏈補起來（補鏈）、換別國供應商（換鏈）或委外代工。根本是用空洞口號因應危機。事實上，中國大陸已是全球第二大經濟體，不僅是世界工廠，也是主要市場，因此包括美國，各國際大廠早因大陸疫情引發原料斷鏈傷透腦筋；如疫情盡快落幕，衝擊還可限縮，若到廠商無存貨可支撐，對實體經濟影響無疑將繼續擴大，誰也躲不過。

此外，企業斷鏈只有供應斷鏈嗎？起碼還包括了「物流」斷鏈、「市場」斷鏈、「資金」斷鏈等不一而足。整個經濟活動的衝擊和價值鏈危機，行政官員現在看出來了嗎？

特別美股在疫情與油價夾擊下狂跌，加劇恐慌性賣壓。連巴菲特都說這是他活了89年以來首見。美股周四再度暴跌，道瓊工業指數跌10%，創下1987年黑色星期一崩盤以來最大單日跌幅；以美國對全球經濟的影響力，未來金融市場恐面臨更大挑戰，恐慌如燎原之火，令人不寒而慄。

有句話說得好，「雪崩到來時，沒有一片雪花是無辜的！」疫情、油價、斷鏈、股市、期貨等問題連動、攪動在一起，衝擊前所未見。尤其在野黨已全面配合紓困條例立法完成，特別預算也等於空白授權，民進黨政府滿手彈藥，快動起來吧!",2020-03-13 08:58:20,https://www.facebook.com/staceylee2020/posts/pfbid0YtT284CyTS5V9xVFcdF61fS8HXiNHa5nwSkaT6ixJAnJ7hKo47t3mPQE5tdj1eV4l
2040,104814317814758,李貴敏 updated their profile picture.,2020-03-13 17:04:18,https://www.facebook.com/staceylee2020/posts/104814317814758:5358360500948963
1477,104860061143517,"#務實司改
今天下午雖然忙碌，卻非常充實。我先與台灣陪審團協會朋友們會面，針對參審制及陪審制進行深度交流，接著和民間司改會代表們就如何確切落實司改國是會議決議內容，逐條進行討論。

我和司改國是會議第一分組委員王薇君對 #現行法規無法真正落實並保障犯罪被害人權益 一事感到十分不平，也為被害人家屬遭受的二次傷害感到委屈。聽到這些令人心痛又氣憤的事情，更堅定我的決心，務必在任期內「用力」推動犯罪被害人保護機制，不再讓被害人家屬受到二次傷害！

#王薇君 我們一起努力
#被害人也有人權
#保護被害人家屬
#台灣陪審團協會
#民間司法改革基金會
#中華民國兒童權益促進協會",2020-03-13 18:09:25,https://www.facebook.com/staceylee2020/posts/pfbid02tAyfuKfSYbSvuvZxkUoEr7gkZ91tACcYEunWVpSEoWNYd1ASNXB4ZW1JdYEDcNSDl
1566,105254151104108,"#314白色情人節
昨天助理們興沖沖地跟我說，3月14日是白色情人節💑

在日本跟韓國，女生會在西洋情人節送巧克力給心儀的男生，而男生則選在今天向對方回禮；台灣似乎是相反的情況，男生先在西洋情人節送巧克力給心儀的女生，今天再由女生回禮...講完都覺得自己在繞口令😂

其實不管誰送誰，都是一份愛的傳遞，而我想把這份愛送給一直支持我的「你」，沒錯，就是正在看臉書的你(妳)🥰
祝大家白色情人節快樂！

#白色情人節
#情人節就是要說愛
#愛要大聲說
#即使是雨天還是要過節
#來複習愛的迫降",2020-03-14 05:20:48,https://www.facebook.com/staceylee2020/posts/pfbid02AWA8SHNwj9v2vyrUdunppBBVjBz4xW7e86txiVaRZAd1N1DRQskzi7dSRBvnYu4yl
1237,106969514265905,"#保障被害人人權
看到電視上不斷重播新店隨機殺人案件，實在讓人太心痛了，一條無辜生命，就這樣消失。

不管廢死聯盟怎麼護航，大多數民眾普遍覺得，殺人者就是隨意殺人，這種結果，對被害人與他的家屬真是相當不公平。

沒錯！要論人權，被害人及家屬也有人權！過度強調被告人權及廢死，也是誤導社會大眾不正確的法律概念的元兇之一！

就在前幾天，我才與民間司改會代表就如何確切落實司改國是會議決議內容逐條進行討論。當時，我和司改國是會議第一分組委員王薇君對現行法規無法真正落實並保障犯罪被害人權益一事同樣感到十分不平，也為被害人家屬遭受的二次傷害感到委屈。

聽到這些令人心痛又氣憤的事情反復的發生，實在讓人無法接受！我們必須「用力」推動犯罪被害人保護機制，不再讓被害人家屬受到二次傷害！
#RIP
#被害人也有人權
#保護被害人家屬
#民間司法改革基金會
#中華民國兒童權益促進協會",2020-03-15 15:54:56,https://www.facebook.com/staceylee2020/posts/pfbid0m4PB8sB4bYq3wUwr4qrLrkVwbAZ5FQKfrurwKcmhTqVEGQ1fXNjhZZt3ig1fU9YGl
2015,106996330929890,感謝王薇君與我分享司改國是會議的內容並指出現行制度的現況，未來我會致力推動加強犯最被害人保護機制。,2020-03-15 16:26:07,https://www.facebook.com/staceylee2020/photos/a.106984527597737/106996330929890/
