index,post_id,text,time,post_url
59,888258801264166,"永和，充滿許多人成長回憶的地方，還記得
小時候河堤旁農地，老老少少辛勤彎腰種菜，
汗水落在紮實的土壤裡，笑容卻總掛在嘴邊，
每日下班回家經過巷口麵攤，老式格狀餐桌
排在路邊，懷念那一碗只要2塊半陽春麵的味道，
那時和許多好朋友一起為了生活奮鬥打拼，一轉眼，
都已經成為爺爺&奶奶，孫子也都2、3個，
那是個純真的年代。
 
 
我們這代人一路走過來歷經時代巨輪的轉變，
從公共電話B&B Call到現在Iphone已經出到6S、
從一台巨大的計算機到現在薄薄的筆記型電腦、
從原本只有三台電視到現在隨處可見的網路節目、
從購買柴米油鹽的雜貨店到現在7-11便利商店、
德福也從代表、副主席、市長、立法委員一路走到現在，
在永和這塊土地耕耘30多年，10950個日子中。
 
 
我和這塊土地的人建立深厚的感情，隨著時光流逝，
歲月也漸漸抹在臉上，但無論過去如何追趕， 
我們依然在這塊土地生活著，依舊努力去打拼，
和這些似家人的朋友一起歡笑、一起奮鬥，
這是我感到驕傲的家園，永和，推薦給大家。",2015-10-19 16:20:26,https://www.facebook.com/lintefu/photos/a.888259344597445/888258801264166/
42,888561647900548,"天空微亮，大街旁的巷弄內，傳來鍋碗瓢盆
的敲擊聲，一塊塊烤箱剛出爐的燒餅，粗糙
的表皮散發白芝麻的淡淡清香，鐵板高溫讓
荷包蛋從模糊的邊緣漸漸清晰，鍋內純白的
豆漿一瓢一瓢倒進碗內，談到豆漿油條，
大部分人會想到起源於永和國際知名招牌店
「世界豆漿大王」，卻不知道永和當地人
還有另外一塊招牌，永新豆漿。
  

永新豆漿在永和經營31年是由賴永鑫夫婦
兩人共同努力的心血，很久以前賴先生為了
一家生計,晚上通宵徹夜開計程車，天亮後
再跟親戚一起學做豆漿，曾經歷過生意失敗
的賴先生明白窮困滋味，非常能體會每個人
都有需要幫助的時候….於是賴先生永新豆漿
生意上軌道後，主動提供免費早餐給弱勢學生
們回饋地方，附近網溪國小、永和國小、
福和國中、永和國中，都曾經受到賴氏夫婦的
贊助與支持長達15年之久。
 

時代改變，永新豆漿店二代經營者賴進文先生，
秉持父親善意和回饋地方的想法，持續配合
永和區公所準備獨居老人們的早餐，也幫助
福和國中的弱勢學生，德福早上送完遊覽車後，
常會順道買一份燒餅沙拉加起司，打開透明
塑膠袋，燒餅夾著滿滿的苜宿芽拌上類似
千島沙拉醬，半融化起司讓口感濃稠鮮明，
更帶有淡淡果香的清爽，咬下一口，它是早晨，
一天的活力、一天的開始。",2015-10-20 07:24:46,https://www.facebook.com/lintefu/photos/a.888259344597445/888561647900548/
33,889016847855028,"某日傍晚回家，3個兒子抱著快遞紙箱包裹，
看著他們興奮拿著一張黑色板子熱絡討論，
碗筷裡飯菜都涼了，抱著獵奇與親子溝通
的心態詢問: 「兒子這是什麼阿?」

「阿…你不懂啦」二兒子持續低頭

「阿...這是另外一個次元的東西」大兒子拍肩

「爸，下班很累，早點休息吧」三兒子燦爛笑容
 
被溫柔的應付後，兒子們繼續熱絡的討論...
第二天早晨去公園運動時，腦子不斷圍繞著:
「爸，下班很累，早點休息（燦爛笑容）」
為了親子溝通，八點半進到國會辦公室後，
特別請助理搜尋一下。

 
STAIR-ROVER一張八輪滑板，由台灣人
賴柏志先生，於2012年在英國設計學校的
畢業作品，前後耗時三年，他和製作團隊
才完成這張八輪滑板。


這滑板最厲害的地方是「它可以下樓梯」，
8個輪子輪流在樓梯上下移動，加上底盤的
吸震設計，平穩表現獲得Discovery頻道等
國外媒體讚賞，當時STAIR-ROVER嘗試在
台灣網路集資平台「嘖嘖」募款時，最初
目標是募集到300萬元，但令人跌破眼鏡的
在3個月內集資3900萬元,更在台灣集資歷史，
刷下嶄新的一頁。


傍晚，到家已是夜深人靜，家人都睡了，
看著箱子上那張八輪滑板，脫下西裝外套，
拿起滑板到家門前馬路試試看，然後.....恩…
德福還是好好服務鄉民和問政，至於這
八輪滑板還是讓年輕人去滑吧。",2015-10-21 11:28:48,https://www.facebook.com/lintefu/posts/889016847855028
249,889404621149584,"提到曼哈頓會聯想到美國紐約市人口稠密都
會區，但是…許多永和人卻知道另外一間曼
哈頓，位於文化路國小校區旁，由胡老闆夫婦
經營24年的曼哈頓炸雞。

就讀過頂溪國小、及人小學的大小朋友多數都
品嘗過，炸雞調味是老闆親自製作的特殊祕方，
平常有習慣吃炸物的朋友都讚不絕口。

鮮少人知道這間炸雞店隱藏的另外一個招牌飲品，
奶茶，曼哈頓的奶茶是遵循古法，先將特選紅茶葉
浸泡40分鐘，靜待茶水上色後，再加入白砂糖熬煮
平衡茶體苦澀味，最後才將奶精加入放置於冷藏，
許多客人會去買一塊雞排配奶茶的套餐，德福有時
也會去買些炸物，探望一些愛吃炸物的朋友，算是
在永和很有人氣的炸雞攤。",2015-10-22 12:26:07,https://www.facebook.com/lintefu/photos/a.888259344597445/889404621149584/
86,889748814448498,"昨晚德福收到民眾對鉛管自來水的關心，
中永和區的自來水屬於台北市自來水處管理，
國內從1979年起就禁用鉛管，但是35年過去
依然有3.6萬戶還在喝含鉛的水。

經過統計，全台灣有3萬6千戶使用自來水管
為鉛製，大台北地區約有3萬多戶還受影響，
而台北市自來水事業處預計2025年才能全部
汰換完畢。

德福早上特別於立法院找相關單位召開記者
會，請台北市自來水處加速處理鉛管問題，
並要求台北市自來水處提出應變方法，讓
民眾有乾淨的水可以使用，如果要查詢自己
住家是否使用鉛管，可以透過下面查詢系統，
或撥打服務電話。

臺北自來水事業處網站,查詢網址：
http://www.water.gov.taipei/ct.asp?xItem=127401280&CtNode=85025&mp=114001

臺北自來水事業處客服中心24小時專線：
02-87335678。",2015-10-23 10:09:16,https://www.facebook.com/lintefu/photos/a.888259344597445/889748814448498/
79,889850637771649,"德福早晨10:00召開水鉛管記者會前，已經和
行政院長毛治國通過電話，德福建議毛治國
院長動用第二預備金協助相關單位加速把
鉛水管統統換掉，也得到毛院長同意。

記者會中經濟部水利署副署長王瑞德表示: 
「台水公司下周四挨家挨戶通知用戶水管
含鉛，並在1個月內完成所有水質檢驗，
民眾都可以上網，透過水號查詢自家核對。」

台北市自來水事業處副處長陳明州，再次
呼籲民眾: 「鉛水管長度30公尺以上、
需要靜置6小時以上，才有溶出鉛的風險。」
所以打開水龍頭前，先讓水流一下，不要
直接打開就飲用。

再次將查詢鉛管網站和服務電話留在下面
臺北自來水事業處網站,查詢網址：
http://www.water.gov.taipei/ct.asp?xItem=127401280&CtNode=85025&mp=114001

臺北自來水事業處客服中心24小時專線：
02-87335678。",2015-10-23 17:26:24,https://www.facebook.com/lintefu/posts/889850637771649
48,890227407733972,"時代改變，從網路崛起集資平台、網路商店、
電子商務…..等，我們身處在一個新時代。

隨著網路產業進步，電競成為很多年輕人
關注的焦點，以前傳統觀念認為打電動是
一種休閒娛樂，但是今天它已經轉型成為
一種新產業，而且是國際認證的新職業。

我在閱讀一些網路文章時發現，很多韓國
電競選手被韓國企業簽約，不但拿到高額
薪水、也被保送大學，中國也在2003年將
電競正式列入運動項目，而在國內電競產業
與其他產業相比，市場認同度越來越高、
電競玩家人數也急速增高。

這是台灣未來應該要持續關注的產業，在
這個多元文化的世代，傳統不再只是傳統，
而是嘗試跳脫它的框架，挖掘更多的可能性，
這是我在這個世代的年輕人身上看見的。

這是新北市的單位舉辦的電競比賽，
歡迎大家踴躍報名:

https://www.facebook.com/NTPConlinegame?fref=ts
-
-
Garena-TW Garena 電子競技粉絲團 Garena E-Sports Stadium 電競館
Garena《英雄聯盟 LOL》 Garena Thailand LOL - League of Legends Garena Thailand",2015-10-24 20:30:00,https://www.facebook.com/lintefu/posts/890227407733972
519,890628277693885,"今日是永和一年一次的健康盛宴「人人健行」
從1972年開始原本只有100多人參與到
現在已經2000多人，活動也邁入第43年，
每年都是永和登山會籌辦幫忙，也由永和
國際獅子會協辦，一早便帶著助理一起加入
他們的行列。

這幾年無論單車、慢跑、馬拉松，都漸漸
成為台灣的主流戶外運動，很多公益團體
更將這類型的活動帶入另外一個層次，
老天爺也給了大家一個好天氣，讓我在
健行活動中遇到很多老鄉親、老朋友，
希望每一年都能在「人人健行」和大家相聚。",2015-10-25 14:28:33,https://www.facebook.com/lintefu/photos/a.888259344597445/890628277693885/
410,891025117654201,"今早臺灣銀行永和分行開幕，以前永和
曾經有臺銀分行，但在102年3月18日被
鑑定出是危樓，基於安全理由臺銀撤出
永和遷移中和，中和原本已經有一間臺銀。

許多永和人早期都在臺銀開戶，辦理手續，
所以這段時間內臺銀用戶必須前往中和申辦。

這段期間我有不斷的收到民眾相關請願，
但這是一件繁瑣的事情，因為行政需要時間，
加上臺銀的遷移需要評估，花了非常多時間
與臺銀溝通和協調，終於…從中和遷移回來，
臺灣銀行永和分行在今天開幕。

臺灣銀行永和分行地點位於:
永和信義路和仁愛路交叉口",2015-10-26 08:55:38,https://www.facebook.com/lintefu/photos/a.888259344597445/891025117654201/
354,891499227606790,"初晨，冷清樂華夜市內的巷口，沸騰水蒸氣
欲推開厚重鐵鍋，鍋內熱騰騰的肉羹翻滾，
一旁木桶內泛著油光的黃麵條，隨著晨光
漸漸東昇，人潮也熱絡起來，轉瞬，已是
門庭若市，老闆娘將泛黃意麵放入碗內，
搭配一茶匙家傳肉燥，再配上一碗肉羹湯。

這是在永和經營20多年的樂華小吃意麵
肉羹，每天早晨兩點新鮮的配菜從中央
市場直達，大腸、豬肚、肝連。

它算是永和熱門的早晨麵攤之一，因為
只從早上開到中午，我常在7點運動完或
送完遊覽車後去享用，這算是在樂華夜市
中早起才能品嘗到的美味，正所謂: 
「早起的鳥兒有麵吃。」",2015-10-27 10:05:56,https://www.facebook.com/lintefu/photos/a.888259344597445/891499227606790/
