index,post_id,text,time,post_url
2544,102286407995624,立法委員 林思銘 updated their profile picture.,2020-01-22 20:33:55,https://www.facebook.com/linsm.hc/posts/102286407995624:633136094795916
2260,102313304659601,"《2020金鼠報喜》思銘臉書服務團正式上線
  
  也在此先向各位拜個早年🎉2020新年快樂❤️
  新年假期，旅途愉快，鼠年行大運‼️

#服務平台
#縣民大小事
#立法委員林思銘",2020-01-22 21:10:57,https://www.facebook.com/linsm.hc/posts/pfbid0tWxtRdgMsNaC3j4mE155sdTx2Bdryr8DeD6q39XLGD2TdNQ1gPh1XuPk1ztmmRQFl
2583,102425867981678,立法委員 林思銘 updated their cover photo.,2020-01-22 23:20:31,https://www.facebook.com/linsm.hc/posts/1262536611165103:1262536611165103
2111,103518481205750,"🧨2020金鼠迎春鼠您最棒🧨
    ㊗️福銘友們新年快樂！思銘接下當選証書，將於
     2月1日就職開始衝刺立委的工作‼️
     期許竹縣加速轉動，思銘將會積極努力爭取✅

#竹縣加速
#進擊中央
#楊文科縣長
#您的立法委員林思銘",2020-01-24 09:18:14,https://www.facebook.com/linsm.hc/posts/pfbid02p9NXowXhS2keMLRdCe7DMCM4sqxo1Lw6GrYiPYuvort2QV18WhJgXy794TD1rY2l
1930,104565487767716,"大年初一，思銘先祝福大家鼠年行大運、幸福鼠不盡！

馬英九前總統將在1/26，大年初二11點至下午3點半，分別於新埔義民廟，竹北天后宮，北埔慈天宮發福卡，邀請各位好友一同來走春拿福卡、拜拜祈好運。
LINE: https://line.me/R/ti/p/%40hqc4610o
#新竹縣市
#新年快樂
#馬英九
#林思銘
#福卡",2020-01-25 13:31:52,https://www.facebook.com/linsm.hc/posts/pfbid0LpXCHvUHhJGEgYoTHsU84tEqFzopcxjrCNbfiSJhK1UTtdp6giY5tMBUaM89So1Xl
1963,105590447665220,"思銘先祝福大家鼠年行大運、幸福鼠不盡！

馬英九前總統、楊縣長、前林縣長、前新埔賴鎮長、為洲委員及思銘委員於新埔義民廟發福卡，與鄉親好友們一起拜拜祈求好運、國泰民安風調雨順
LINE: https://line.me/R/ti/p/%40hqc4610o

#新年快樂
#馬英九
#楊縣長
#林思銘
#福卡
#義民廟",2020-01-26 13:00:50,https://www.facebook.com/linsm.hc/posts/pfbid02Q8wyKoR23vjofQAt7BsHrL9BC1YEdgpPEHtrjcVMifEkeTF7PPorfTKTNaVGkNxal
2285,113336046890660,"HOT!!🥳🥳
第十屆新科立委就職典禮！
與家人一同走紅毯(星光大道)，
正式開始立委的新任期。
帶著對鄕親的承諾，
為地方爭取更多建設，
監督政府施政，
為鄉親謀福興利！",2020-02-01 18:55:07,https://www.facebook.com/linsm.hc/posts/pfbid0jTE7bzPJhVbakTXbEyrmHEyAWZY1TbbDEz2ot5byRLn6n9qhpyfdbvkdyKRPotrLl
2042,113429476881317,"新竹林家大夫第

今早參加林家大夫第團拜與宗親宗長話家常

今天也是立法院就職的日子，思銘跟為洲一起在立法院為新竹縣爭取福利與建設，服務宗親與全體新竹縣鄉親們，打造繁榮發展新竹城

感謝林前縣長及各分會會長宗長們的提攜及勉勵

#林姓宗親會
#新竹林家大夫第
#庚子春祭團",2020-02-01 20:22:09,https://www.facebook.com/linsm.hc/posts/pfbid025gadtgtzwZdMZrBPagJgNaqKsmWN2rVgLUmzqaeNB5tTbgBx9Vycuh2zUMswaaYHl
1992,114819506742314,"新訊！
高級中等以下學校因應武漢肺炎疫情
延至2月25日開學(教育部國教署)
https://reurl.cc/Nav64k
#武漢肺炎 
#延長寒假 #縮短暑假
#國中會考 #計專統測
#大學指考 #日程不變
#不影響考生權益 #防疫照護假
#新竹縣教育處：竹縣中小學及公立幼兒園停辦寒輔及營隊活動",2020-02-02 20:47:33,https://www.facebook.com/linsm.hc/posts/pfbid0CezAT9wWHXsFxR2hT92T6vs2smQ3ExfcjikHeHhB3CzS5m8cJG3U2sdNi8xM4xuDl
2275,115634026660862,"💧停水通知：109/2/11(二)上午9時至下午4時 [共7小時] 竹東鎮部分地區停水(詳見下方連結)
🤓立法委員林思銘 提醒您~記得儘速儲水並於當日停水前關閉抽水馬達電源喔！",2020-02-03 11:24:01,https://www.facebook.com/linsm.hc/posts/pfbid0RxmrjQeo54y5aZMzjxrjr16f2qvVxbmKJZwXs2oHbJeVJcHmrbYcZvGSgEFafTDTl
