index,post_id,text,time,post_url
1569,107348410830890,"2月1日宣誓就職第十屆立法委員，踏上立法院紅地毯的第一步，代表責任付託與承擔的開始。期許自己秉持“台灣人一卡皮箱闖天下”的精神，戮力為世界台商以及更公義民主的台灣發聲，同時為台灣的經濟發展善盡立委的職責，竭盡心力發揮在野監督的角色，無負所託！

感謝世界台商總會兩位名譽總會長黃正勝前國策顧問及吳松柏前立委、世總前秘書長郭力銘、世總婦女聯誼委員會主委鄭碧鳳、非洲台灣商會聯合總會總會長吳孟宗、世界華人工商婦女企管協會名譽總會長陳上春、台中市民眾服務社理事長郭元瑾、中華旗袍文化企業交流協會理事長袁念華、以及美國華府律師張士黔等多位摯友，一起陪我步上立院紅毯，為我加油，更為我鼓勵、鞭策！ 感謝大家的愛護與支持，讓溫玉霞勇敢向前行！",2020-02-04 11:27:58,https://facebook.com/Im.WenYuHsia/posts/107348410830890
1931,107688644130200,立法委員溫玉霞 updated their cover photo.,2020-02-04 18:10:54,https://www.facebook.com/Im.WenYuHsia/posts/1629983704162813:1629983704162813
1489,111690470396684,"為配合政府防疫措施，立法院今日開始由警衛隊於各出入口量額温，任何立院同仁或訪客額温若超過37.5度，將不同意進入院區，並建議發燒者至醫院進一步檢查。

另海外很多台商擔心受疫情影響無法順利返台，紛紛來電詢問，我特別請教衛福部疾管署及內政部移民署，凡持中華民國護照的國人或僑胞經由港澳”轉機”者，皆可放心搭機，只要未入境港澳都沒問題。但傍晚剛收到疾管署來電表示2月10日起經港澳轉機回台仍要居家檢疫14天，為防堵疫情擴散，出入境管控愈來愈趨嚴了 !

但必須注意的是，港澳人士從2月7日起，入境後須居家檢疫14天，而從2月7日起，14天內曾經入境或居住於中國大陸、香港、澳門的外籍人士，暫緩入境；居住地在中國各省市的大陸人士也暫緩入境。

小叮嚀
#咳嗽戴口罩
#肥皂勤洗手
#更多資訊請點疾管署網頁 https://www.cdc.gov.tw/",2020-02-07 18:00:33,https://facebook.com/Im.WenYuHsia/posts/111690470396684
1645,112438280321903,"昨非常高興參加僑聯總會新春團拜暨第17屆理事長鄭致毅就職典禮，過去四年鄭理事長的表現非常亮眼，故此次改選能高票連任，實可喜可賀！相信僑聯總會在其卓越領導下，一定更為融洽團結，且能持續幫助台灣連結海外僑界，為國家做出更大的貢獻！

我和僑聯總會關係密切，多年前曾被僑聯總會獲選為海外優秀青年，就是這份殊榮與肯定，才能讓我在僑務和台商領域努力耕耘、勇敢向前行！昨以立法委員身分回到僑聯總會，如同回娘家般一樣親切熟悉，尤其遇到許多長官、舊識和好友倍感溫馨，也期許僑聯總會的朋友都能給予我指教與支持，讓我在問政這條路上，能好好為僑界和台商反映心聲、為民喉舌！",2020-02-08 08:11:37,https://www.facebook.com/Im.WenYuHsia/posts/pfbid0T8GPJf5WoZ8E3YjgzYGD61QBCYRvBGpYFW4QR8exNqWMjG8fujwC85MDwhm4KoP6l
1742,112870320278699,"今元宵節是小過年，也是很多家庭歡喜團圓的日子。看到寶瓶星號結束海上漂流，1千多位旅客可以隔離後回家，恭喜這些國人終於將擺脫被病毒感染的夢魘了！更要對在防疫前線堅守崗位的許多無名英雄們致敬！當我們在享用熱騰騰的元宵，並享受節日的美好時，不要忘了感謝許多防疫人員的辛苦與付出！
武漢疫情讓人心不安，也讓我們看到人性的自私與無私，但更讓我們領悟平安與健康的可貴。值此元宵佳節，祈願大家闔家安康、吉祥如意！",2020-02-08 16:24:52,https://www.facebook.com/Im.WenYuHsia/posts/pfbid0x8RreMG6UrhL4AmxRLATxbk67DdX71DE5RJgoBz7D5mjj7Mncir9Q44tSZk9PFzKl
349,114596130106118,"返鄉包機 人命為先

滯留武漢的血友病童，透過海基會和台商的協助，終於在最後一刻拿到救命的藥劑，千里送藥要感謝許多人的合作與接力，尤其湖北荊門台商會長簡俊男耗費10多小時開車奔馳千里，無私無我的付出，實令人感動！

台商們在海外辛苦奮鬥，更能體會相互扶持的重要，類似簡會長的善行義舉，長年來可說是台商界引以為傲的傳統---對台灣鄉親永遠秉持良善、情義相挺！

千里送藥的幕後當然有不少人的努力，相信為了救人一命，任何人都願奉獻己力、全力以赴，不論是政府、海基會、華航、台商會長和對岸人員，我們都應給予最大的肯定與感謝。

但話說回來，至今湖北仍有數百位台灣人滯留當地，他們無不殷切期盼能早日返台。但自從第一批包機因名單順序等爭議，造成後續包機觸礁，此因兩岸對包機的細節各有堅持，至今無法談攏條件，致使台胞返鄉淪為雙方的攻防與角力。倘若包機看不到希望，不僅嚴重傷害這些滯留者的權益，對於近年陷入僵局的兩岸關係恐將雪上加霜、令人憂心！

如何讓滯留的台胞早日回家，兩岸宣稱沒有政治考量，但又互指對方不是。不禁讓人想起聖經所羅門王的故事中，願意放棄嬰兒的婦人才是真正孩子的母親，因為她不忍自己的骨肉受到傷害。

疫情警報未除，病童的藥劑總有用罄之時，而台胞滯留愈久所衍生的問題也將愈為棘手。由衷希望兩岸高層愛民如子、將心比心，好好思考一下究竟是人命比較重要，還是主事者的面子比較重要？倘若真的在乎人民的感受與安危，實應學學那位選擇「放手」的母親，才是真正愛孩子的母親啊！

為何台灣人回家的路如此困難？想想可憐又無辜的百姓，希望兩岸高層拿出智慧，以人命為先好好協商！",2020-02-10 17:07:16,https://facebook.com/Im.WenYuHsia/posts/114596130106118
1555,115186283380436,"兩位小訪客

今天辦公室來了兩位年紀最小的訪客，是金華國中的國一和國二生。學生透過電話表示學校寒假作業要做「職業訪談」，深感才13、4歲的孩子勇氣十足，而且積極探詢訪談立委的態度精神可嘉，因此，第一時間我就欣然答應。

初次見面，兩位小朋友帶來家中的奶茶和咖啡包，還有一張小卡片十分可愛。學生來訪談做好了準備，不僅擬了提綱，還google我的背景，所提問題從ECFA、兩岸、黨產、不分區到轉型正義，內容非常豐富，也能侃侃而談自己的看法，讓我對這兩位國中生留下深刻的印象。倘若遇到孩子的家長或老師，一定要盛讚他們把孩子教的很好！

兩位國中生似乎對政治和選舉感到興趣，我鼓勵他們多方面充實自己，因為機會是給準備好的人，只要不斷努力，或許將來進國會成為一名立委呢！",2020-02-11 17:03:53,https://www.facebook.com/Im.WenYuHsia/posts/pfbid0PGpfXEXjCbANiu8wrcjcvyR7YJYhuCqrXeTYiEfZhLnQ7syr52nUfnfwHPTK2Muhl
1072,116233346609063,"向WHO陳情遊說

今5位前後任衛生署長、衛福部長籲請全民連署推動加入世界衛生組織（WHO），之前國民黨立院黨團也發表聲明，呼籲國際社會正視台灣全球防疫地位與貢獻。讓台灣加入WHO與世界衛生大會（WHA），已是全民共識，由衷希望中國大陸勿因兩岸政治對立而阻擾台灣的參與，對岸的打壓不僅對台灣不公平，也讓台灣人心對北京更加深疑慮與不滿。

2005年我於擔任「世界台灣商會聯合總會」總會長時，就曾帶領世界台商總會幹部赴日內瓦參加聲援台灣加入WHO，記得當天細雨紛飛，我們一早排隊目的為能搶到號碼牌進去場內大廳，在熙來攘往的各國人士中，雖有友邦幫忙發聲，但台灣的遊說團在國際會議場合卻顯得人單勢孤。10多年過去，唯有馬政府執政時，因兩岸關係改善才讓台灣自2009年起連續8年以「中華台北」名義獲邀，並以觀察員身分參與WHA，這項突破至民進黨執政又嘎然而止，導致台灣近年完全無法參與WHA，說來實在令人遺憾！

面對來勢洶洶的新型病毒，必須全球通力合作防疫，才能抵抗疾病的威脅，增進世人的健康與福祉。台灣的醫療與公衛水準，絕對可以為世界做出貢獻，排除台灣參與WHO，不僅是世界的損失，也是對岸的損失與不智！",2020-02-13 17:32:03,https://www.facebook.com/Im.WenYuHsia/posts/pfbid0arMaPSPukFJecapEHTdJtrtg324GacQTRFygnp2KqpuN7HFiahm3dxuwK2nZJW2vl
1780,116826753216389,"今天是情人節🌹分享一張40年前的舊照 。

20幾歲的我，自己一個人到了非洲，萬萬也沒想到在那邊認識了我下半輩子的「室友」！這麼多年的互相扶持，如今有機會進入國會為僑胞、台商、婦女發聲，真的是非常榮幸！有了大家的支持才有今天的我！我一定全力以赴，用💯分的努力監督政府、傾聽民意、為人民發聲！

❤️祝大家有個美好的情人節❤️

#情人節快樂",2020-02-14 21:00:04,https://www.facebook.com/Im.WenYuHsia/posts/pfbid0ZEsVGihjDsiNgNybzkS97U1z7K9X7fsETeLjPf8PjjFsgoVGiqaCmd9WMdgB8D3Gl
116,117602483138816,"模里西斯的禁台令，是真的！

日前媒體報導模里西斯依照WHO公布疫情報告，禁止我國人入境，由於該國是台灣遠洋漁業的重要基地，每年約有600 艘船次會停泊進行卸魚、補給、維修及船員替換等作業，此外，台灣的船東也須去核發薪水並處理業務，一旦被禁止入境，對台灣的漁業衝擊甚大，漁民們憂心不已，紛紛向外交部陳情反映。

遺憾的是，第一時間外交部表示此消息不正確，還謂「模里西斯並未禁止我國人入境」，但之後又傳來我國人入境該國即遭隔離，且隔離環境惡劣故又不斷向政府求助。由於外交部至今無明確說法，我透過模里西斯台商會和南非友人查證，確實目前持中華民國䕶照都不能上飛機，且不論從何地轉機航空公司皆拒載。

稍前台灣船東和船員變通的方法是在馬來西亞停留14天再入境模國，如今連經由第三地都禁止入境。為何如此嚴苛？或許係因模里西斯是個小島，醫療資源不足，所以格外緊張。2003年SARS發生時，持中華民國護照也完全不能入境，所以這是早有先例，外交部實不該後知後覺，於國人不斷傳出被拒入境或受困時，才積極要求駐南非代表處溝通協助。

據了解，上星期駐南非代表處已派出公使和組長等三位前往模里西斯遊説，當地的台商會和急難救助協會也提供緊急救助，將補給品透過醫護人員送至隔離房，盼於惡劣的隔離環境中，給台灣鄉親捎去溫暖關懷。

詢問模里西斯移民局都說可以入境，但該國衛生部表示係按照WHO的公告執行，把台灣和大陸劃成同一疫區，故而不能放行，因此問題的根源還是WHO的公告，不該將台灣置於中國疫區。外交部除積極向模里西斯政府溝通，也應該再加把勁，尋求所有支持台灣參與WHO的國際力量，盡速將台灣自「中國疫區」移除，這才是外交部的當務之急！

模里西斯的禁台令已造成南台灣許多漁民人心惶惶，倘若新冠疫情警報未解，模里西斯持續堅持禁止台灣人入境，對台灣的遠洋漁業將是一大打擊，希望蔡政府切莫輕忽，盡速向模里西斯溝通、遊說，同時也應據實公布溝通進度，俾讓漁民了解最正確的訊息。",2020-02-16 11:28:41,https://www.facebook.com/Im.WenYuHsia/posts/pfbid0Grk4sWWUQaZGtXVxNYq3SHk82wDAmoXxxNQx6stHVo1GyAFVUpSASFo1iJknSFLnl
