index,post_id,text,time,post_url
2284,107344409310643,"歡迎新黨的好朋友們加入!!
新黨全球資訊網 民意論壇：
http://xn--efvr78j.tw/modules/newbb/
新黨全球資訊網 時事評論：
http://xn--efvr78j.tw/modules/tadnews/
新黨全球資訊網 新聞公告：
http://xn--efvr78j.tw/modules/news/",2010-05-13 23:57:30,https://www.facebook.com/hungwei.org/posts/pfbid0BSYcYS8sVGE2sEE1tfkKPNVZagxGoqH4GdWVT9Fzr4b5TYeB7yi8QGTgfhYxeDjQl
4155,124447147581605,6/3~6/6新老戲即將在台北新舞台位大家帶來一連串的好戲，鴻薇應邀參加楊門女將擊鼓造勢活動，各位喜歡老戲的朋友歡迎共襄盛舉,2010-05-17 15:30:11,https://www.facebook.com/hungwei.org/photos/a.123324377693882/124447147581605/
5981,125341624158824,王鴻薇議員報稅服務,2010-05-20 16:11:35,https://www.facebook.com/hungwei.org/photos/a.123324377693882/125341624158824/
3626,129844937029436,5月報稅天即將進入尾聲王鴻薇議員的報稅活動接下來到31日前我們每晚6:30~8:30(假日下午2~5點)都將集中在民生社區活動中心，還沒報稅的朋友趕快來參加唷!,2010-05-26 11:20:20,https://www.facebook.com/hungwei.org/posts/pfbid02WZaDTJa3eZ9pwWD6ohKxWWejxVTW3fuGGNxJTfUNLLPGMv9tg11vmVjCEzDzqi7ml
4294,125694324125510,富士康自殺事件已經超越兩岸勞資問題的經驗 至於用富士康自殺率低於全國自殺率的說法 根本自欺欺人 那是生命 不是數字,2010-05-27 23:27:23,https://www.facebook.com/hungwei.org/posts/pfbid02oh4JpyPq2MXjSALvgSYK1ZHjD1DZJ7U9VjnFFzyYbcjsAQdSGVLwJS6wXpyZgVSbl
3579,129880413696041,"6/5禮拜六晚上松山區民生東路5段206號前
有鼓霸樂團為我們帶來精采免費的爵士樂封街表演，活動相當精采，
歡迎各位能夠帶全家來欣賞表演!機會難得大家要踴躍參加唷!",2010-05-28 14:40:34,https://www.facebook.com/hungwei.org/posts/pfbid0JUE8YzZZ67HKECUopUHKHapRP2HxvUiHZbuYHno9t7XFqNB4MyJ6Vcgzp3DgMzk2l
3893,121131031260660,五月報稅進入倒數2天，王鴻薇議員報稅收件活動明天週日下午2點到5點在民生活動中心，將會有國稅局的人員幫忙收件，還沒報完稅的朋友請把握這次機會!,2010-05-29 21:54:29,https://www.facebook.com/hungwei.org/posts/pfbid02o7CiA9RhEKE5aoFi3dtkezDA8evMZwiDHF4Fv2Nja67EUnA9zPdUWZdFsHt52w5tl
4606,123554627677070,五月報稅最後一天~王鴻薇議員報稅團隊31日腕上六點半到八點半在民生活動中心我們有專人幫您試算!,2010-05-30 23:11:26,https://www.facebook.com/hungwei.org/posts/pfbid031YyM7aUCpmkiksQzQdWxxxVGPf64yi7qwyixkLciwmsEztZAQdcjwVrPUjgkS2Svl
192,121665364539364,"http://www.savedogs.org/forum/article_view.html?f_no=20078


誇張: 殺狗煮來吃 挖出狗屍不全驚悚 

  殺狗已經非常殘忍，而有一群人殺狗居然是要煮來吃！這是動物保護團體上午接獲訊息，說台北縣鶯歌有戶人家正在殺狗，趕緊報警，當場人贓俱獲。警察趕到現場後，發現2隻狗的屍體，其中一隻還被當成烤乳豬似的想要拿來烤，至於無法食用的耳朵跟腳掌還被切下來，手法非常殘忍。
接獲線索，直擊這間民宅。警察：「狗耳朵嗎？這是黑狗。」只剩殘缺的器官，旁邊還有菜刀，籃子裡頭裝的，疑似是狗掌，那狗呢？聽聞警察上門，知道事跡敗露，開始還企圖毀屍滅跡，最後還是人贓俱獲。警察：「你這個切法是從關節切的對不對？」嫌犯：「對對對。」警察：「沒錯吧？」嫌犯：「對。」坦承不諱，狗是他殺的沒錯。警察：「蘇姓朋友所有犬隻，由於要搬家，不要養了，所以請我宰殺食用。」人被帶到動物防治所裡頭，蓋下手印證實口供無誤，來晚了一步，2隻狗早已經僵硬冰冷，四肢腳掌都被砍下，身上還留著燒烤痕跡。警察：「把牠毛刮掉、燙掉，刮掉之後，再拿那個烤的，把牠烤得跟烤乳豬一樣，整個身體都膨脹。」聲稱說不知道殺狗跟吃狗，違反動物保護法，如今鐵證如山，連同共犯在內，每個人要面對10到15萬的罰鍰，而在這之前，不知道又有多少狗無辜葬生。",2010-06-01 16:45:40,https://www.facebook.com/hungwei.org/posts/121665364539364
2895,124808830883917,鴻薇在這裡號召各位朋友~請大家將身邊遇到公寓改裝成數間小套房的案例傳達給鴻薇，這件事將會影響到許多朋友的權益~希望大家能夠多多幫忙!!我們需要彙整案例然後要求政府重視這個問題!!如果您或您的朋友有相關的例子~拜託能夠將案例傳達給我們!!,2010-06-02 21:04:54,https://www.facebook.com/hungwei.org/posts/pfbid0NS7bMcH9JspV5tnt9SxoLxim2MvZu13ysG6jVKvpXtdQ61Gjo3afYPqKmpWq7c8Kl
632,130317210327932,從我當選後跟耆英讀書會結緣到現在已經三年多了，耆英讀書會是由一群非常有愛心的退休老師組成的，她們義務輔導這些有心向學但無法參加課外輔導的小朋友幫她們補習國英數，相處了那麼多年在裡面有相當多的孩子今年都將要去參加基測了，這感覺就像看着自己的孩子慢慢長大然後要去考試一樣!在裡面有個叫做子鈴的孩子他來自賽珍珠基金會，在來到耆英讀書會後他三年來都沒有缺席過任何一堂課，我還記得去年帶她們去看皮克斯展的時候，幾位小朋友都還小小的沒想到半年後有的都跟我差不多高啦!上禮拜天的聚會主要是希望能夠給這群孩子們一點鼓勵，希望她們將來都能夠出人頭地!也祝福他們能在接下來的基測的到好成績!今年暑假耆英讀書會將再度開班科目為國文、英文與數學三科，場地、文具與教⋯⋯材均由耆英讀書會免費提供。詳情可洽詢王議員鴻薇辦公室，電話：02-27297708分機611；或洽詢耆英讀書會，電話：02-87872022，傳真：02-27606623。希望各位朋友能夠將這則訊息分享出去,2010-06-07 16:25:51,https://www.facebook.com/hungwei.org/photos/a.123324377693882/130317210327932/
102,130870763605910,"台灣的動畫產業已經邁向國際了讓我們一起來給他們鼓勵!! 繼2009年魔幻動畫展在台絢麗亮相之後，2010年邀請法國動畫導演Karim Turbez擔任策展人，透過他在國內外動畫產業多年的觀察，以及動畫製作的實際執行與經驗，連結歐洲、日本和台灣的動畫發展與趨勢，策劃的內容不僅止於影片欣賞，而是同時讓觀眾在展覽之中瞭解一部動畫影片之製作過程。從構思文字故事、到成形為看得見的角色、場景，最後付予作品生命到完成一部動畫片，每一細節的背後有著一群專業的團隊，為了使動畫角色、場景更生動活潑，能夠感動觀眾，每一個環節都需要花費相當漫長的時間，以用來模擬故事的真實感和準確度。 此次展覽內容以動畫製作過程中獨立出每一步驟的創作為核心，試圖再現工作室裡的場景，藉由展示⋯⋯階段性的製作過程，凸顯其動畫之繁複工程和動畫藝術家的執著。連續的圖片在高速轉動下而造成動態視覺的概念，正符合動畫的基礎原則，而「KINETOSCOPE」(活動電影放映機)，是最早大量應用，能夠成熟播出動畫的設備，KINETOSCOPE的出現，開啟了觀賞者無限的想像可能，故用其名作為展覽名稱。主辦單位:台北市文化局、財團法人數位藝術基金會
活動期間:2010-06-19 至 2010-07-25
詳細活動日期與時間:6/19(六)~7/25(日)，10:00~18:00，周一休館
活動地點:台北數位藝術中心
活動地址:台北市士林區福華路180號
活動分區:不限區域
票價:免費
活動電話:02-7736-0708",2010-06-09 11:55:56,https://www.facebook.com/hungwei.org/photos/a.123324377693882/130870763605910/
2989,130810776952304,"2010年7月17週六晚上14:00~16:00
在台北市信義公民會館 社區館D館(台北市信義區松勤路56號)
鴻薇將會出席兒童網安企劃網安親子劇團北區的巡迴表演
爸爸媽媽歡迎帶着小朋友一起來,我們一起交換兒童網安的心得!!",2010-06-28 18:34:15,https://www.facebook.com/hungwei.org/posts/130810776952304
