index,post_id,text,time,post_url
7053,156545468843,,2009-10-17 04:02:37,https://www.facebook.com/chungchunwong/posts/156545468843
1078,154772529441,"盧碧颱風已增強為中颱！好朋友們請注意颱風動向。

http://tw.news.yahoo.com/article/url/d/a/091017/5/1t5oc.html",2009-10-17 19:35:03,https://www.facebook.com/chungchunwong/posts/154772529441
2104,155684108561,哈囉！大家午安， 今天天氣非常的舒服  不仿各位出門踏踏青， 享受陽光 過個悠閒的午後時光吧！,2009-10-18 14:32:00,https://www.facebook.com/chungchunwong/posts/pfbid028dpe8UKcd58XEyKaaMDY2wjvXpjnLcG43i1hNZZWtkuA2oGCLP7wen9wVBfw6hqYl
1879,178904226382,即將進入冬季了~ 天氣會越來越冷， 好朋友們出們記得多帶件衣服， 做好保暖的工作喔！身體健康 就是幸福拉~,2009-10-18 20:52:49,https://www.facebook.com/chungchunwong/posts/pfbid02bQ2QVkjHhYQZM2q5CGeSswAhCkexuJVCqnb8uCdradKfbeGXegWA5KnYUnmWhLuVl
7052,157496764445,,2009-10-18 22:09:08,https://www.facebook.com/chungchunwong/posts/157496764445
671,160806062940,"好朋友們午安，今天發現了一本由遠見出版的幸福力(尋找幸福原動力)，
感覺還不錯看 推薦給各位附上相關網址。
閱讀是件很棒的事情，不管是增廣見聞、了解時事或殺時間也好~
總之大加一起還愛上閱讀、享受閱讀吧！讚！！

ps. 翁買尬 敘述 幸福特助代po",2009-10-19 17:17:30,https://www.facebook.com/chungchunwong/posts/160806062940
2682,189783377328,"最新的颱風動態 請好朋友們多留意

【盧碧轉強颱 應嚴防共伴效應豪雨】",2009-10-19 17:31:48,https://www.facebook.com/chungchunwong/posts/189783377328
972,160201513738,各位好朋友，整天下來的工作辛苦了！ 晚上與家人共度晚餐、一起看看電視聊聊天， 互相交換心情，可以疏解壓力同時也增進感情喔~ 珍惜身旁的每一切 這就是幸福啦！！  重鈞敬上(來去跑行程囉),2009-10-20 18:10:40,https://www.facebook.com/chungchunwong/posts/pfbid0wbjyWdpXSzRTGieVcS9bdzxTbtsEL2k7SdUqgehvZ4iyPvgaY2F8hv4DuEjdKiuTl
2272,190631029147,早晨的新鮮空氣與溫暖陽光鋪在土地上真的好舒服， 活力朝氣的一天，大家一起加油！ 重鈞敬上,2009-10-21 08:55:39,https://www.facebook.com/chungchunwong/posts/pfbid07gzuzihpB3qcd7e5RgbUEtiu4ogT1qKpK9FKxPxBbkMbYrUjMvfKmwksD72i4yUyl
550,177427592160,好朋友們，午安 剛與農田水利處結束一場大林鎮農水路排水溝的加高與疏浚協調會， 這也是88水災後要來積極處理的工程之一， 重鈞日前也積極與李鴻源教授召集的【治水諮詢小組】顧問團， 研擬出一套完整的且適合嘉義縣的治水防洪計畫， 往後會請幸福小特助把他登上來給各位共同研究，一起努力為嘉義！ 重鈞敬上,2009-10-21 14:06:36,https://www.facebook.com/chungchunwong/posts/pfbid02JVD5XbTN1nmCmyzBwooPc65GXyt3WDL9DtSAA1Z815JtDBP4Ne9KPcQGS7grXeq5l
7051,164752800810,,2009-10-21 18:10:46,https://www.facebook.com/chungchunwong/posts/164752800810
895,171995548736,hi hi ~ 鄉民們晚安， 我是幸福小特助上來向大家問聲好~ 小特助之後會陸續的po出翁買尬的政策， 以及針對防洪治水得相關計畫讓鄉民們來了解~  讓我們一起來打造新嘉義！！ 幸福小特助wilson,2009-10-21 18:22:18,https://www.facebook.com/chungchunwong/posts/pfbid02wH4k9XDoRm85rgv6YiKbbJwWDmmaucGKDe7Hs6sHjkoWgn1GEYZs93N5bNGgNJKpl
1243,156122617295,"各位親愛 支持重鈞的朋友們 重鈞的網站需要各位多多支持 歡迎多多上去贊聲ㄛ

http://www.wretch.cc/blog/chiayifamily",2009-10-23 19:38:18,https://www.facebook.com/chungchunwong/posts/156122617295
3805,333660880200,統一獅三連霸！企業優惠活動推出囉~,2009-10-27 12:48:36,https://www.facebook.com/chungchunwong/posts/333660880200
210,161200768779,今天在幸福部落格有位好朋友與我們分享的一段話，  讓小特助感觸蠻深的，特別po上來與臉書的朋友分享一下。  以下-------------------------------------------------------------------  青年人出走.嘉縣淪為老人縣.  回到自已的家鄉.每每聽到有人問家甄:在台北好好的.薪水又高.哪ㄟ想要回來?  想想~這不是很諷刺嗎?！ 難道嘉義不歡迎青年回鄉? 我想不是，大家心知為何！ 改造嘉義，營造一個良好的就業環境，是我們應共同努力的方向！加油再加油！ 期盼看到嘉義人的智慧  請大家選出有能力，有實力，有專業，有品德的人來做嘉義縣的大家長！  ~家甄~  幸福小特助wilson po文,2009-10-28 02:24:53,https://www.facebook.com/chungchunwong/posts/pfbid02YnYuytYyteeTSqYsCjyKaHENJ6jh2PGg6A2C16EuSz7qXGV9kaCd833M2vEmkCygl
1959,184689584399,小特助wilson要出門跑行程囉~ 好朋友們，剛下班下課要回家的路上小心喔！ 小特助會努力的！掰ㄉ掰。,2009-10-29 16:44:59,https://www.facebook.com/chungchunwong/posts/pfbid0jDFLc3n9sGrnJGobKuSu6WKBsbeXK9PJ52CUDRYbjZnKFtMUyy92NFU2Eizd2fzVl
335,177035637824,"【阿花要退選嘉義縣長？】
小特助在昨天分享了對水災想法的文章，
當日29號縣政府發出聲明稿證明故宮南院的確有淹水之情形！
以下提供給各位囉~
縣政府聲明稿：
http://www.cyhg.gov.tw/chinese/news_1.aspx?NID=9769&n=10086 
翁買尬譴責為了選票會說謊的候選人！http://www.wretch.cc/blog/chiayifamily/26349955
小特助wilson po文",2009-10-30 23:15:43,https://www.facebook.com/chungchunwong/posts/177035637824
739,165369069402,呦呼！大家午安~翁買尬今天提出要把在陳明文執政時期胎死腹中， 的大浦美生物科技園區提升為國家級的科技園區！ 這將會為嘉義縣創造龐大的就業機會，相對也帶動週邊的發展， 出外的朋友們有機會回家打拼了！(鼓掌~鼓掌~~) 小特助wilson,2009-11-01 17:20:37,https://www.facebook.com/chungchunwong/posts/pfbid0vebDCHgLd6prStKkYs9Q5ibmzdKoMUSQbH9b3c8xfUYV4H2h3NouyfhJWoP6EUDYl
340,205441019407,哇！ 首先謝謝參加翁買尬總部成立的網友們！   還有請原諒小特助一件事~  翁買尬在晚會結束時， 跟我說：「今天來了好多年輕朋友，他要錄一段影片好好感謝大家來參加。」  但是小特助手殘，不小心刪掉ㄌ....尷尬  所以我一定要告訴所有網友與青年朋友們！  翁買尬謝謝大家一同來參加成立大會！  他還說：改變嘉義 青年是最大的力量 相信自己 創造未來 Yes！We can！  以上做一下敘述~網友們不好意思喔！ 小特助wilson,2009-11-06 14:46:11,https://www.facebook.com/chungchunwong/posts/pfbid02NfSJb7TV8tAHi2kMZwbnWBgfc2jfqQGRB3L1YziXu1UhRokTtBM1JVqJHvjc2LhNl
2363,172477791587,"oh my god！
鄉民們，快上奇摩為嘉義縣投下神聖的一票吧！
小特助wilson",2009-11-12 01:21:38,https://www.facebook.com/chungchunwong/posts/172477791587
1935,174333724705,"【戰況及時報導】
目前小輸43票

各位鄉民們快加緊腳步八！

衝！衝！！衝！！！

小特助wilson",2009-11-12 16:26:17,https://www.facebook.com/chungchunwong/posts/174333724705
2267,180081341007,阿囉哈~  網友們小特助上線中~  快來跟我一起來聊嘉義的新未來吧！ 小特助wilson,2009-11-13 15:43:59,https://www.facebook.com/chungchunwong/posts/pfbid0ibs4aPFB5J23bPNuWQi27ZsJAF4BMAHdEBZGegsoZoiPhHDaqba6WiihpRSqAJ9cl
