index,post_id,text,time,post_url
2924,378228572977088,謝衣鳯 updated her cover photo.,2019-02-14 09:04:14,https://www.facebook.com/HsiehYifong/posts/1352399001953633:1352399001953633
2892,378290919637520,謝衣鳯 updated her profile picture.,2019-02-14 11:50:19,https://www.facebook.com/HsiehYifong/posts/378290919637520:761825474876462
2163,378387696294509,"Hi～各位朋友們！我是衣鳯！
2月14號情人節我的臉書也正式啟動嘍！
㊗️大家情人節快樂！💕💕
單身朋友，今天趕快找到「#好腦公，#好腦婆」
#狗哥帶我去約會
#情人節快樂 
#臉書啟動日",2019-02-14 15:30:28,https://www.facebook.com/HsiehYifong/posts/pfbid025xk6YgbeLVyYqS5ivwWZUwfNk7qs85aHpTttunuRoa5yLDP3DwqNMcNbVM62UhChl
400,378885519578060,"《午間時刻-衣鳳約你一起關懷老長輩》
阿公說:家裡好久沒這麼熱鬧了!聽在衣鳳心裡很不捨!
每年的過年前衣鳳都會在華山基金會的帶領下，前往老長輩家貼春聯送年菜.捐贈300份年菜給彰化地方的老長輩!希望藉由謝言信謝林玉鶯文教基金會的一點心意讓長輩們感受到溫暖!

一句關懷，一份年菜！卻是獨居長輩最單純的期盼.
探訪當天,王阿公感性地分享他動人的愛情故事.雖然印尼籍的老婆因病過世,但王阿公每天依然泡一杯印尼咖啡,看著2人的結婚照，想念著他的妻子.看到我們的到來.阿公一句：家裡好久沒那麼熱鬧了.也開心的要泡一杯印尼咖啡讓我品嘗!我也跟阿公約定下次來跟他喝杯下午茶☕️！

關懷老長輩不只是捐年菜.認助計畫或是關懷禮.需要大家持續守護在地老長輩!衣鳳也會秉持謝言信謝林玉鶯文教基金會的理念把愛傳遍彰化每個角落!",2019-02-15 12:14:07,https://www.facebook.com/HsiehYifong/posts/pfbid0mynbKyErZyxZhjpyCWMULjZDgRQt7RQ7GsJ34WUp4qjBUSefHaLVsCjRA15oY11Kl
2219,380425329424079,"《大家敖早good morning 🙌》
準備好上工了呦～～
衣鳳繼續來各鄉鎮新春團拜
& 元宵節慶祝活動囉🏮🏮
#祝大家元宵佳節愉快🙏🙏
#以愛心待人，則人生到處充滿了真善美。😘",2019-02-18 08:37:52,https://www.facebook.com/HsiehYifong/posts/pfbid02KnnLRqjQShotjDpADQpusW9gJdnXo4pWjZhjNahRmy7qF2iwJyevWHU2xKE5rbHSl
2521,380691592730786,"#衣鳯感謝支持臉書破千人了
希望大家多幫我轉發&按讚👍👍👍
#元宵佳節快樂🏮🏮
#花現銀橋找薑母鴨🐦🐦🐧
#溪州花博銅梁火龍明登場🔥🐲🐲",2019-02-18 21:52:50,https://www.facebook.com/HsiehYifong/posts/pfbid02urW6kJeBaexUQCDwdz3wSp6NrBpu52JWyzu7bpatwzDcWTgL6djHoJNcmwbKVV2ol
1419,381004969366115,"#重視教育-👩‍🏫世界華德福教育百年論壇
「華德福」是全球成長最快的教育體系，
台灣將此特殊教育方式引進自己的課堂，
將幼兒發展心理&藝術治療的藝術課程，
融入教育內容，共創台灣實驗教育之推展。
#自然教育哲學理念🌿🍃
#台灣雅典娜實驗教育👍
#台灣發展20年回顧🔆🔆🔆
#北美華德福之父-托爾倫.芬瑟🤵🤵",2019-02-19 12:02:40,https://www.facebook.com/HsiehYifong/posts/pfbid02tjjvk85q4DJ4Un8yGirRoWZNp5ydHjnduwA7L2tTerD3eztn6Sg6jjv3yxRe5vq4l
937,381510055982273,"#人來貨出彰化發大財
重慶市台辦帶來火龍與彰化縣農特產作交流
✨#衣鳳擔任農特產代言人
     #推廣彰化農特產🍇🍐🍋🌾🌾🌾

彰化以農立縣，然而蔬果生產有固定週期，盛產時經常出現供過於求、銷售無門，發生季節性滯銷的困難，造成辛勤的農民血本無歸，如能適時把精緻的水果銷往大陸，對於農民而言實為一項利多，若能長期又穩定供應，對於農業發展更可以帶來加分效果。

#彰化農特產尚蓋讚👍👍
#鋼鐵議長謝典林
#支持在地農民",2019-02-20 10:53:00,https://www.facebook.com/HsiehYifong/posts/pfbid02AureWGA3BazFDR3gm5cDSWzDRjW1F6GoRdzH4LLGGC5mmAkezoTxzJZ1v5Pwao24l
2632,382131889253423,"💡今日主題：「衣鳯」ㄧ日店長⋯⋯
💁‍♀️💁‍♀️朋友們要來ㄧ杯特調嗎？🥤🥤

#衣鳯去哪兒🏃‍♀️🏃‍♀️🏃‍♀️",2019-02-21 16:27:42,https://www.facebook.com/HsiehYifong/posts/pfbid02Z1mKsBEcPMMQSs6yEM5ybc3BrysojXDQdvziiubwmHNVSkrh39Rv65HEEzGa6Yhbl
1075,382587019207910,"#海峽二岸民俗曲藝交流百匯🎺🎼
🎖彰化民俗戲曲vs湖南國家級曲藝🎖
明道大學本次活動讓我體驗藝術之美，
彰化縣是台灣傳統音樂戲曲南管、北管最為發達興盛的地方，加上縣內各創新歌仔戲與布袋戲，進行台灣、湖南國家級兩地最具代表性的戲曲藝術相互觀摩演出包含單人鑼鼓對唱、長沙彈詞、祁東漁鼓、侗族琵琶歌、常德絲弦等兩岸曲樂文化交流。

#文化傳承永不停歇♾♾
#推廣彰化縣內文化藝術🗺",2019-02-22 12:25:49,https://www.facebook.com/HsiehYifong/posts/pfbid0GEhoys5wt6PvAF1F493f27gZkJcGTcAUGUq7RUJaoR16UwSZW2gCtuh22XzF1M9cl
