index,post_id,text,time,post_url
184,1573879049493131,"讓科技更具人性 幾十年前在美國念書的年代，與台灣家人的溝通就是提筆寫信，在台的家人7-10天左右會收到遠渡重洋的信件，充分體會那個龜速的年代。回台之後在政大企研所開設科技管理的課程，教學生運用最新的科技在管理上，怎樣可以強化科技帶來生活的便利。這些年網路崛起，通訊軟體的便利，我當然率先身體力行，成了道地heavy user： 
*十多年前我在立法院最先架設網站聘3位助理幫助役男和準役男，用即時互動的方式解決他們諸多疑難問題。
 *在line流行之前，我的團隊開發自製內部通訊軟體，彼此之間有好幾朵雲互動。
 *以前在政大上課，有時候會同步視訊連線到大陸台商員工幹部，與他們即時Q&A談台商經營管理的瓶頸。
 *到企業演講也會同步與他們在東南亞和大陸的上千員工幹部視訊對談。 *幾年前打選戰的時候，我的團隊開發全國首創用手機掃描條碼對發票的APP。 *我推動消防警政雲端救援平台，提供加速災難救援的效率。
 *我的團隊率先推出房價雲的APP，讓民眾透過手機快速查詢，減少資訊不對稱。
 *我推動APP園區在全國各地落腳生根，以有效扶植年輕人文創產業。
 *我促成在政府部門設立open data 辦公室及open data入口平台(data.gov.tw) 希望在這個平台與大家切磋科技與創業的相關議題，讓科技成為更具人性的媒介與工具。

當貧富差距與城鄉差距一直是大家長期關注又難解的問題，日新月異的科技應該被有效的引導來降地這之間的差距，而非拉大差距的元兇，如何讓年輕的世代與偏鄉的族群能因科技被翻轉、提升，是我們大家責無旁貸的職責。",2015-01-08 14:20:02,https://www.facebook.com/abao.tw/posts/pfbid0SZ4pNHH8RH6D6xv8rBxoNzgsdjjzTqyZB8vtnF3BVdMgAVKuTohYUdKMEnJ9CmTWl
1047,1573879429493093,"我昨天參加一個朋友的午餐會，與會者大部份都是年輕人，我聆聽也加入他們的討論，大家在談網路創業和電子商務的相關議題，特別在立法院上週剛審完「第三方支付條例」，大家提出很多觀點。

他們年有很多創意也，有相當的經驗，只是苦惱台灣的創業環境不夠friendly，即使有政府的多種鼓勵創業的融資，但卻缺乏類似馬雲提出的Angel Fund的概念。亦即政府較沒有adventure的觀念，隨時還存在成本效益的考量，因此任何剛開始還是ideas階段的project在台灣鐵定找不到任何funding，對於有成熟的創意但是缺乏資金奧援的年輕人，當馬雲還向我們的年輕人招手，他們充滿企盼和疑慮的矛盾。

 總之，台灣人薪資十六來不漲，最近醫護人員大量被新加坡等挖走，大學教授被大陸挖走⋯，現在連有創意的年輕人也快要被馬雲挖走，我一直在構思要怎樣扭轉這樣的趨勢，在關鍵的事情上使力，讓創意能在這塊土地上生根、開花、結果。",2015-01-08 14:20:41,https://www.facebook.com/abao.tw/posts/pfbid02V1UWe6uyk55QszneZocuJCDf6uYmLMtXPn4sKPzyDFN8rFhGQvYyzGYdhukFxYSDl
1301,1573881252826244,"一年前，家裡巷口有兩個小攤販開店，都是創業小本經營模式，一家賣蔥油餅、抓餅、豆漿，生意普通。另一家賣鹽酥雞、雞排，每天經過巷口，沒多久看著雞排鹽酥雞店很多年輕人排隊，拿號碼牌等候，附近的居民都在問，有這麼好吃嗎？這是捷運站出口，附近年輕人多，看著老闆又賣起自製的手工麵包、炸皮蛋、滷味等等年輕人喜愛的東西。

人潮一來，旁邊接著開起燒仙草、芝麻、豆花等可以解渴的湯品店。 老闆不是報上寫的那種博士賣雞排，但是我看他把行銷管理學上的理論都用上了，在對的地點，訴求精準地針對年輕顧客群，市場區隔、顧客導向、產品差異化、多元化，甚至衍生出讓產品線更完整，這些理論都用上了，難怪生意興隆，我看世界級的行銷大事科特勒(Kolter)看了也要讚嘆：原來許多行銷大師隱身在台北街角的巷弄之間。",2015-01-08 14:23:30,https://www.facebook.com/abao.tw/posts/pfbid0QpV2odAhPfU27kQBshy9WvCpHW8zhtHsyNrKUgiCrQqDnbcrkFpDppNLeppjcWK7l
1241,1573891419491894,"知識經濟的時代 據報載，台大化學系大四生趙彣的論文最近被登上世界頂尖科學期刊(Science)， 講台灣之光有點庸俗，但是論文要登在此期刊是全世界千千萬萬學者夢寐以求而不可得的事，大四生登上的榮耀真的難能可貴。

台灣的人才和創意是豐沛的，台灣每年專利數都高居世界前五名就是最好的佐證，但我們企業就是不太容易推出高附加價值的產品，以我國外銷電子產品為例，通常毛利甚至只有3-4%(即俗稱的毛三到四)而已，這麼大的落差。

以Apple的生產鏈來說，台灣零件代工產值占0.5%，韓國組件代工4.5%，美國光logo 設計就占18%，這就是知識經濟的價值差異。這幾年來推動知識經濟，但是把知識轉換成有價的經濟之間的道路橋樑還沒有建立。政府及相關業者應積極找出將創意或專利轉化成高產值的產品，才有助於大幅提升競爭力。",2015-01-08 14:26:59,https://www.facebook.com/abao.tw/posts/1573891419491894
740,1574173462797023,"前天(1/7)立法院正在審查國發會送來的「創業拔萃方案」，就是將台北花博的地點改成國際創業園區，希望打造成為類似美國的矽谷，這個法案雖然還在審尚未通過已讓我心跳振奮不已。創業一直是我年輕時的夢想，幾十年前在美國唸博士後期，與兩位博士，一位碩士好友一起在美國出資創業，當時公司的主要產品是從台灣進口小型工具機加上團隊用Assembly 語言所寫的電腦軟體，製成電腦帶動機器（CAM，Computer Aided
Manufacturing)，這種產品在當時很先進，我負責主要銷售，後來因為公費留學到期，博士拿到後必須回國服務，而將公司忍痛轉手他人。雖然壯志未酬，但是整個創業過程的經驗大大的豐富我的人生，後來在政大授課不是只談企管理論而是親身的實戰經驗。從零開始開發業務，打電話約談，有時開幾小時的車登門拜訪，在沒有GPS的年代常常找路迷路，想盡辦法說服客戶下單，年輕的時候衝勁十足，一身是膽，留下太多歡欣與挫折的記憶，在異國文化的創業的人生經驗，一言以蔽之-就是「精彩」兩個字。
期待這個創業拔萃方案可以真正的落實，讓很多人的夢想可以在這裡成真！",2015-01-09 10:50:40,https://www.facebook.com/abao.tw/photos/a.1573881266159576/1574173462797023/
2384,1574509912763378,星期六行程滿滿，早上八點是台北漁產公司到文山區興家社區直銷賣魚，一大早就有很多民眾排隊，我也不免俗的加入買魚趣的行列，買到各式各樣的魚。,2015-01-10 11:49:56,https://www.facebook.com/abao.tw/posts/pfbid03c1jJvvscVCVwrUutAxT9qGELyd9QdFQzZCUuSs2dryZHm8T2XiJWJBGh4s5DYgal
1657,1574818056065897,"假日出去走走吧-親水文學步道

一條清新自然怡人的步道，這是台北市政府利用生態工法整治的小坑溪，位在政大實小斜對面的政大一街6巷到210巷之間打造一條535公尺長的步道。可以聽流水潺潺，同時一面閱讀可愛昆蟲、飛鳥造型的牌子裡面的古典詩詞，植物生態解說讓你增廣見聞，綠蔭處處，小橋流水，花草樹木，讓你體會遠離塵囂的寧靜。佇足其中與自然對話，健身陶冶身心之餘又可以發思古之幽情，附庸風雅一番。全程路徑平坦，老少咸宜。",2015-01-11 10:11:33,https://www.facebook.com/abao.tw/posts/pfbid02SuAFLMFVomHCg6AWXqacjDosu1TRcz7WuZFcxvzsZQiYr6tCgBKu8w78LZpAjzscl
1881,1575234402690929,昨天(1/11)星期日下午的行程少一點，趁著空檔與內人去逛了三峽老街，充分體會台灣文創的成果與美食；午餐點了一碗魯肉飯、米粉湯、蘿蔔湯、兩樣燙青菜、及魯蛋，共花了160元，很小市民消費；飯後，到另一攤喝了古早味的杏仁、麺茶配油條，在回去的路上買了不少吃的與文創品，一個小確幸的午後。,2015-01-12 10:50:48,https://www.facebook.com/abao.tw/posts/pfbid02EaAL7V11mjeeurJr57FRLUkD3NZw612aqzAzvSSUth1xKAzKsHJUfo3V8aUT1Fm9l
1629,1575588949322141,我一直很願意嘗試新東西，也常以創新早期使用者(early adopter)自居。最近幾個月趕時髦，買了兩個運動手環的穿載式裝置來試玩，有計步器、脈博記錄…等功能，戴在手腕上，透過app就知道自己每天走路步數或心跳，用起來實在方便。不過產品功能雖然好用，但可惜的是兩個產品都只用了不到一個月就紛紛當機，不知道是不是因為碰到水或其他因素成的！不過就使用經驗來看，穿戴式裝置與手機真的是很好的搭配，難怪在美國CES2015的大會上，這類的產品會這麼火紅！！,2015-01-13 10:45:14,https://www.facebook.com/abao.tw/photos/a.1573881266159576/1575588949322141/
1665,1575989472615422,周日去三峽回來三天了，有幕場景一直在腦海中縈繞著。停車場的地主是一位七十歲的白髪老婦人，雖然我刻意戴壓舌帽和墨鏡還是被她認出。無論如何不肯收我100元的停車費，就這樣來回推辭幾次，進入車內，她竟然把錢夾在車鏡的縫隙，然後拔腿就跑，我只好再追著她把錢送回去，又是一番拉鋸戰，後來趕快趁機把車子開走。我們非親非故，更非選區民眾，她說：「你幫大家作這麼多事情，我怎能收你的錢?」她的話讓我感動，也再次被提醒惕勵。,2015-01-14 10:23:48,https://www.facebook.com/abao.tw/posts/pfbid036EUACeP2bLQmLJFiTznrWXMxAwL4GHDt5odtPtQZShz1yxkLh4As1eixBbnvjggtl
