index,post_id,text,time,post_url
2440,132950760728870,鄭麗文 updated their profile picture.,2017-12-17 08:02:07,https://www.facebook.com/ChengLiwen2018/posts/132950760728870:484597650171120
1053,134617183895561,"「幸福的家庭都是相似的，不幸的家庭各有各的不幸」
　
如果有些孩子從一出生就沒有家庭呢？
　
平安夜那天，我和我先生拎著幾袋尿布去了一趟關愛之家。我之前在電臺訪問過關愛之家的創辦人，楊婕妤女士，她從三十年前投入愛滋感染者社區臨床照顧工作。近年來，則開始收容外籍移工因為各種原因不得不遺棄的子女。
　
這些孩子都有屬於自己的一段悲傷故事，他們被稱為「透明的小孩」，沒有國籍、沒有家庭、自然也沒有醫療和教育的保障。關愛之家的存在，讓他們原先破碎的人生，有了重新開始的機會。
　
臺灣作為一個號稱擁有多元文化的島嶼，卻無法真正對不同文化的人們，敞開心胸，對於同樣遭逢不幸的靈魂，伸出援手，這是很值得我們反思的一個事實。
　
關愛之家位於臺北市的文山區，直至今日仍然受到許多誤解，以及不平等的對待。臺北市作為一個開放進步的城市，不應該迴避這個問題。我們需要更多人走入更多社群，去幫助這些需要幫助的人們。
　
看著這些孩子們可愛的臉龐，我相信，他們都能擁有充滿希望的未來。
　
（※為保護孩子隱私，照片經模糊處理）
　
❤推薦閱讀❤
　
20171224 鄭麗文訪問關愛之家創辦人楊婕妤女士
https://youtu.be/xBUHSpunBfs
　
News98【世界一把抓】訪問關愛之家創辦人楊婕妤談無國籍、沒有名字的移工寶寶
https://youtu.be/2a6mV9ZtsW0
　
關愛之家 台灣關愛基金會
https://www.twhhf.org/
　
關愛之家 台灣關愛之家協會
http://www.hhat.org/
　
關愛之家 台灣關愛基金會
關愛之家 台灣關愛之家協會",2017-12-25 18:20:04,https://www.facebook.com/ChengLiwen2018/posts/pfbid0pzdvRGFExqSCbUuDS9CEDwGs1ngneF2PQuSQXAfyvcJ26xkFN1fJmxdRNtYCcusQl
1964,136974356993177,"我跟管爺在行政院共事的時候，就培養出爺們的情誼。當時跟他一起推動自由經濟示範區，很可惜沒有辦法在立法院通過，臺灣因此不知道又要落後多少年。
　
去年遇到管爺時，跟他約好他選完了臺大校長之後要請他來幫忙市長的選舉，他當時真的沒有想到他會當選。昨天晚上看到他當選的消息，實在是太令人喜出望外了，管爺真是好樣的！
　
雖然他不能來幫忙市長的選舉，但是他能當選臺大校長，絕對是歷史性的一刻。畢竟臺大也是我的母校，近幾年來的排名一直落後，整個臺灣高教未來在國際上的競爭力也令人高度憂慮，這個時候管爺能當上臺大校長意義非凡。
　
在這裡誠摯的祝福他，能夠按照他的理想大步邁進，為臺灣第一學府和整體高教未來，再創歷史巔峰！",2018-01-06 20:15:50,https://www.facebook.com/ChengLiwen2018/posts/pfbid0EBtVGwyG3ymstZaHzYSCoG9hJY6kWyfH1htA4y8q4qsEZF5n1zEpBXiHX3MERJVpl
1717,137335766957036,"鄭麗文×朱天心，邀您一起走臺北！

活動日期：1月14日（星期天）
集合時間：下午2:30
集合地點：辛亥路芳蘭路口，鄰近自來水廠水池。

我們邀請到朱天心老師，帶大家從辛亥路自來水廠的山邊路出發，沿途走過：

臺北第一個眷村「煥民新村」
臺大生物資源暨農學院附設的「農業試驗場」 
清代墾殖傳奇的「芳蘭居」
凋零殆盡的「芳蘭退舍」
郭台銘捐贈臺大的「永齡生醫工程館」

這些地方各有各的故事。

本活動無須報名、完全免費。您唯二要準備的，就是一雙舒適的鞋子，以及一顆好奇的心。

讓我們跟著朱天心老師，挖掘老臺北人的記憶。

※活動詳情：
https://www.facebook.com/events/141441716536928/

※預告影片：
https://www.facebook.com/ChengLiwen2018/videos/137226676967945/

#舒蘭河上 #瑠公圳第一幹線",2018-01-08 20:19:35,https://www.facebook.com/ChengLiwen2018/posts/pfbid0brMJSeCLwdNpSF1pfBm9F2R7v9jACFUJ7tcYq6Zuhj9DYJykxBapy7fUgfuzz4Ubl
1704,137709483586331,"鄭麗文×朱天心，邀您一起走臺北！

活動日期：1月14日（星期天）
集合時間：下午2:30
集合地點：辛亥路芳蘭路口，鄰近自來水廠水池。

我們邀請到朱天心老師，帶大家從辛亥路自來水廠的山邊路出發，沿途走過：

臺北第一個眷村「煥民新村」
臺大生物資源暨農學院附設的「農業試驗場」 
清代墾殖傳奇的「芳蘭居」
凋零殆盡的「芳蘭退舍」
郭台銘捐贈臺大的「永齡生醫工程館」

一樣的台北，卻有許多不一樣的故事與想像。

本活動無須報名、完全免費。您唯二要準備的，就是一雙舒適的鞋子，以及一顆好奇的心。

讓我們跟著朱天心老師，挖掘老臺北人的記憶。

預告影片：
https://www.facebook.com/ChengLiwen2018/videos/137226676967945/

活動頁面：
https://www.facebook.com/events/141441716536928/

#舒蘭河上 #瑠公圳第一幹線",2018-01-10 19:30:00,https://www.facebook.com/ChengLiwen2018/posts/pfbid02ALE1pfNfKVnXUZtG8v7gwRyDQnZkEvpGzypYmRuQdmvsZdNjUGFTkrGddyGrgx2Fl
2615,138931500130796,,2018-01-16 17:01:01,https://www.facebook.com/ChengLiwen2018/posts/pfbid026rjSYjtUUjPQULFCJkGsef366xd8RGAgqK5Cu7a1sovk1fjLq85HgUvQw1RAkAwil
2333,140045903352689,"我跟蔣萬安委員一樣高。

每次走在台北街頭，大家見到我總會對我說「沒想到妳本人長得那麼高啊！」

我有178公分，除了身高以外，我還有更多大家未曾真正看清楚的理想與遠見。",2018-01-21 20:10:34,https://www.facebook.com/ChengLiwen2018/posts/pfbid02zyn3xnhvgEDwduRaBJPbuiw64RAUFhK8LxzaaA7mU6NA9cqJFcJ8rRgbNuaaMdMbl
2039,140265073330772,"今天參加臺北市國小學生家長會聯合會的授證典禮，有許多媽媽向我反映，她們非常憂心校園毒品氾濫的問題。

她們的孩子再過幾年也會進入國中、高中，每每看到「新型毒品入侵校園」、「吸毒年齡層降低」的新聞，總是害怕自己的孩子哪天受同儕影響誤入歧途。

我在擔任行政院發言人的時候，也曾經參與宣導反毒的活動。如果你家的孩子正值青春期，請一定要提醒他嚴守「不吸食、不持有、不接觸」的三不原則。

毒品之所以可怕，就是因為人的意志力難以抵抗成癮性。當你的朋友或情人誘惑你去吸毒，就不會是真的友情或愛情。絕對、絕對、絕對不要和自己開玩笑。",2018-01-22 20:37:07,https://www.facebook.com/ChengLiwen2018/posts/pfbid02LgShiXQ1dxLdMDQVdqAXcytX7VXcaGv33cV96KFrHNpymHxsWhamihbHctceD9bPl
2614,141037953253484,,2018-01-26 09:11:49,https://www.facebook.com/ChengLiwen2018/posts/pfbid0WARizP9CLfiZwsKSVfydLkMoFtQqvTsSj8LZ9jH8Cuy2xrGTXUVrvgesMmMeRYACl
13,141099056580707,"今天受氣象達人彭啟明博士的邀請，參加開放資料聯盟的「數據價值午餐會」。我非常喜歡這個平台的想法，我們都希望透過數據資料庫來讓大家有更好的生活。

我在2008年的時候，開始接觸氣候變遷的議題，我翻譯了一本書叫做「全球新政」，這本書是希望全球各個政府，都投入大量的資源去討論這個問題，去因應氣候變遷透過綠能等等產業，形成一個新的經濟產業，就可以一舉兩得。當時做的規模最大的國家其實是南韓政府。

最近這一年，我開始接觸資料，我自己並不是相關領域的，但是我一路以來都有接收一些相關的新資訊，一直到現在的工業4.0、人工智慧的新時代，以及這些對於現在世界的翻轉與改變。

我認為嚴格來說，臺北市這三十年來沒有進步。

資訊進步的速度非常地快，快到我們難以相像。特別是這兩三年，你會覺得工業4.0、物聯網、AI、大數據的時代，帶來的改變非常快速。但我覺得這幾年來，我們的政府跟民間沒有接上，然後我們看到對岸和其他國家都在這塊急起直追，所以我對這件事有一定程度的焦慮緊張。

我相信，臺北市只要全力去做，不太可能會落後，甚至能在這個領域變成領導的角色。

數據是一個新時代的資源，所以我們必須要去抓到最新的東西，如果我們能夠透過資料與數據的運用，重新去啟動這個城市。我也期待這些資訊能帶給產業界新的動能，能夠吸引更多的投資。所以我希望這些數據資料能夠驅動新的經濟動能。

帶入了新的思考以後，這個城市的本質也會出現改變，這個時代需要去中心化，政府本身也應該如此，政治也應該翻轉過來，政府應該透過新的方式與技術，去了解市民的需要是什麼，讓臺北市成為一個以「市民為核心」的城市。

以往的智慧城市思考，都是站在「便於治理」的角度，但是我認為，假設我是市長，我的客戶應該是每一個市民，智慧城市應該是以「市民」的角度來思考才對。

我們可以透過數據的運用，來真正得知市民的需要。過去這些比較憑經驗和感覺，比方透過市府人員、議員、里長，現在如果我們能夠透過客觀數據，就可以知道一個市民的需要是什麼，可以直接幫他解決。

一方面運用資料來解決問題，另一方面，資料能讓這個城市真正以市民們為主。這些都不是建立在人治之上，而是透過數據的運用。

我曾經跟張善政前院長以及鐘嘉德前政委聊過他們在馬政府時代推動數位轉型的一些心得。我發現公部門在推動這些事情上，一定會遇到很多問題。

他們表示，地方政府在這些過程中扮演很重要的角色，所以如何開放地方政府的數據資源很重要，在討論一些客觀的公共議題上，我們能不能取得更客觀中立可信度更高的數據，讓大家可以很理性的討論，我認爲這是一個政府應該要先想的問題。

再來就是怎麼利用公開的資料，除了學術研究以外，一些私人的產業、新創的研發，是不是可以一起加入？

另外，透過政府的介入，我們除了解決現在的問題，是不是可以預先搜集一些未來可能會需要的數據，去運用更多的方式來搜集資訊數據，為未來永續作為方向來思考問題，甚至可以提供民間機構共享。

除了政府可以提供的資料開源外，還有每個個體所產生的個人資料，這些資料能不能用、要如何使用、有沒有隱私權的問題、要如何保護又不會妨礙資料的運用，這些都是政府應該要預先思考的。

這裡有一些長遠的考量，政府必須要去做，包括法規的鬆綁、私人企業之間的資料交換，希望能夠打造一個共享的完整的資料資訊系統，讓這些資料能夠被更妥善的運用，也不傷害到彼此的利益。

做這件事還要提高效率，短期之內就能讓市民參與者有感，讓需要這些資料的產業也有感，大家轉而支持這件事、更願意投入這件事情，這也是政府應該怒力的。有政府的支持，無形中也能成為這些新創產業的後盾，引入更多的資源。

我也希望政府能夠結合新創，比方提供年輕人一個聚落，它不但是一種社會住宅的共享形式，還能夠過政府提供的資源，讓這些聚落成為新創的基地，未來能夠創造產值，一開始由政府扶持，漸漸地讓這些聚落能夠自己自足。

我認為目前的臺灣，無論是臺北市還是其他縣市，都需要各種動能跟活水。活水就是需要有新的東西，這個新的東西，我認爲就是各種的數據跟資料。

今天的政府不應該繼續帶著舊的思維，還在思考二十年前的問題，新的政府應該要開始以解決明天的問題為出發點。如果由我擔任臺北市長，我將會帶領臺北市，為臺灣領頭實現「資料新政」的願景！",2018-01-26 16:37:57,https://www.facebook.com/ChengLiwen2018/posts/pfbid0AhCGE2peqeFt5k149dxvaw9PNCARAuETFA78nhGFmtbx4B5wt5NwpfiFYfW7FbCQl
