index,post_id,text,time,post_url
961,107630860703611,立法委員 吳欣盈 updated her profile picture.,2019-11-18 21:13:51,https://www.facebook.com/cynthiawu2019/posts/107630860703611:1128140661116896
2,107632190703478,"【吳欣盈參選台灣民眾黨不分區立委聲明】

我在此宣佈：接受台北市柯文哲市長的邀請，成為台灣民眾黨不分區立委候選人，這是個人的榮幸，也是柯市長對我財經專業以及國際觀的高度肯定。

近代女性民主發展歷程迄今不到100年，就有許多女權自由先驅者為了爭取投票權益，奮不顧身、義無反顧地投入，用她們勇氣得到應有的尊重。例如：艾米莉·潘克斯特（Emily Pankhurst）在1913年的Freedom or Death演講主題提到她願意隨時以自己的生命來換取發聲的權利。若不是身處在2019年在今日台灣多元與包容的現代社會，我也不可能有這樣的機會。

經過長時間的審慎評估，我才下定決心參選。對我來說，政治(Politics)以及公共服務(Public Service)的差異，前者是自私自利，後者則是無私奉獻，我們必須超越自我，為更多人著想。參與公共服務讓我有機會為國家、社會貢獻心力。美國甘迺迪總統（John F. Kennedy）的名言：「不要問國家可以為你做些什麼，應該要問你可以為國家做些什麼」“ Ask not what your country can do for you, but what you can do for your country.”

有鑒於此，我希望在不到60天的時間朝著以下三個目標來努力：

一、以財經實務專業提出具體政策，特別在國際競爭力、女權保障與銀 髮經濟
二、與相關產業代表，舉辦財經政策論壇，傾聽需求，尋求台灣共好策略
三、為弱勢族群提供必要協助，使他們能穩步向前，融入社會
 
這些年來我走過60個國家，我看見台灣有許多值得珍惜的特點，卻也有不少錯過時機可惜之處。我們必須加速改革推動轉變，攜手前進終結對立，開創未來新局。而民眾黨的「超越藍綠」正符合我“Change Together”的參選理念。就如愛因斯坦（Albert Einstein）所說的：「我們不能在創造問題的同時，用相同的思維來解決這些問題」。“We can't solve problems by using the same kind of thinking we used when we created them.” 2020年1月11日，請大家超越藍綠，讓我們一起改變台灣的未來！

#台灣民眾黨
#民眾黨
#不分區立委名單

＊台灣民眾黨 黨部臉書專頁
https://www.facebook.com/TPPfanpage

＊台灣民眾黨 官方網站
https://www.tpp.org.tw

＊吳欣盈候選人網站
https://cynthiawu2019.blogspot.com",2019-11-18 21:15:08,https://www.facebook.com/cynthiawu2019/posts/pfbid031kLCfbXAjU6xMz8Td68ad7MB4VHZ7L62XkkXz9SE43BjjjpLH9swX55xKgwKi6zvl
841,108208747312489,"https://money.udn.com/money/story/7307/4173652

MONEY.UDN.COM
入列民眾黨不分區 新光金公主吳欣盈：柯市長認可我 | 政經大事 | 產業 | 經濟日報",2019-11-19 11:45:03,https://facebook.com/cynthiawu2019/posts/108208747312489
604,108275713972459,"被提名前跟柯P深談+吳欣盈銀髮專業獲肯定+|+政經大事+|+產業+|+經濟日報https://money.udn.com/money/story/7307/4173714?utm_source=moneylinemobile&utm_medium=share

MONEY.UDN.COM
被提名前跟柯P深談 吳欣盈銀髮專業獲肯定 | 政經大事 | 產業 | 經濟日報",2019-11-19 13:28:48,https://facebook.com/cynthiawu2019/posts/108275713972459
736,108276237305740,"吳欣盈從政 母親：妳不是家族第一人
https://www.google.com.tw/amp/s/money.udn.com/money/amp/story/7307/4173660

MONEY.UDN.COM
吳欣盈從政 母親：妳不是家族第一人 | 政經大事 | 產業 | 經濟日報",2019-11-19 13:30:22,https://facebook.com/cynthiawu2019/posts/108276237305740
925,108349513965079,立法委員 吳欣盈 added a button to help you learn more about them.,2019-11-19 15:19:05,https://facebook.com/cynthiawu2019/posts/108349513965079
818,109689087164455,"面對勞保破產危機，施羅德投信總裁、新光人壽副總一致呼籲：
善用勞退自提　無痛存退休金

http://smart.businessweekly.com.tw/Reading/WebArticle.aspx?id=7000533",2019-11-21 11:30:26,https://www.facebook.com/cynthiawu2019/posts/pfbid02ZViyc11KQaVGbUs6rN71nbJ6SueNAyB62inNBap3kFj41MNtPG5b86GcXS4rBNN4l
1043,115601286573235,,2019-11-26 15:16:11,https://www.facebook.com/cynthiawu2019/posts/pfbid09ttLzz4JevJHMumhvaU4ZpsFypV3oAdyKjMcPnxv2KsvBxqJfquov84Z6pxqZpTsl
869,115727269893970,"今天有幸受邀到逢甲大學演講，與風保系的學生分享我在退休金議題的觀察。學生的提問內容從IFRS、CSR、到東南亞佈局乃至大數據應用，多元且深入讓我印象深刻！

#退休
#IFRS
#CSR",2019-11-26 21:31:02,https://facebook.com/cynthiawu2019/posts/115727269893970
877,116029786530385,"https://www.youtube.com/watch?v=KnvTVmj6wSI

YOUTUBE.COM
鏡週刊 財經時事》不甩老爸吳東進反對 吳欣盈參選立委替婦女發聲",2019-11-27 12:48:49,https://facebook.com/cynthiawu2019/posts/116029786530385
