index,post_id,text,time,post_url
2857,112678890202948,TPP Family 2020,2019-11-26 21:40:27,https://www.facebook.com/tpp.jang/posts/pfbid0YU6nygaSWBQEj8fbWqUaEFbmCdd5omNFCERKdc1rX8d4BEYhWpFv1dNoRhNeAyKLl
2873,112739013530269,,2019-11-26 22:35:17,https://www.facebook.com/tpp.jang/posts/pfbid0XWWfhHn483kLqfyN8qRuYXc8SviHbg4JeGQ5zhS9JuXEXSfbpeQCVYSZids1UV5Ml
2837,112783213525849,民眾黨  參加   巢運「青年安居政策」論壇,2019-11-26 23:11:49,https://www.facebook.com/tpp.jang/posts/pfbid02PXa1xCCMAyyabZJCXYQGYGdLShMukGi4V9epR4ATTtm5iALJdG8UaU4FZwG11Xyzl
69,114044860066351,"台灣民眾黨 – 「財政政策」篇

【選舉撒幣急重症 財政紀律要導正】
2019.11.27（四）

距離2020大選僅剩45天，進入白熱化階段，每四年一次「選舉撒幣急重症」，財政紀律該如何導正？台灣民眾黨今日(27)由身兼發起人身分、同時也是不分區立委候選人的蔡壁如率領同在不分區名單中的候選人孫智麗、李家齊，以及苗栗海線立委候選人朱哲成一起召開記者會，講述民眾黨在財政紀律議題上的理念和政見。

蔡壁如表示，民眾黨訴求「國家治理」，認為政府應減少債務，避免債留子孫；更要提高預算執行率，建立預算執行效益評估機制，避免虛報或浮濫追加，她強調：「將來民眾黨進入國會，要強化政府效能，一起為民眾的荷包把關，共同為台灣的永續經營而奮鬥。」

談到政府目前的負債狀況，孫智麗援引數據稱，最新國債訊息截至108年10月25日止，中央政府1年以上債務未償餘額5.3兆，短期債務未償餘額300億元，相當於平均每人負擔債務22.6萬元；而蔡政府選前仍持續大撒幣，從高鐵南延屏東554億、高鐵延伸宜蘭近千億、F-16V戰鬥機2500億，以及前瞻基礎建設計畫8000億、擴大秋冬旅遊補助經費36億，到育兒政策加碼至千億元等等，合計已超過1兆元！孫智麗調侃稱：「國庫彷彿取之不盡、用之不竭的寶庫，就像是有花不完的錢一樣。」

孫智麗進一步探討行政院所推出的「前瞻基礎建設計畫」，其中軌道建設是最重要部分，但台灣是一個小型開放經濟體，政府支出占GDP約13％，美國則占兩成，因此台灣政府支出對於經濟貢獻相對有限，她質疑：「不知道政府以軌道工程建設，做為國內基建的主要理由為何？其實企業部門最憂心台灣『五缺』的問題，也就是『缺水、缺電、缺土地、缺工和缺技術』，政府應大力改善投資環境的基建，才是真正拚經濟。 」

而針對台商回台投資行動方案讓外界有「假回流真騙票」的觀感，李家齊也表示，行政院六月通過「投資台灣三大方案」，又加碼了「根留台灣企業加速投資行動方案」及「中小企業加速投資行動方案」，這讓補貼的範圍從台商擴大到”人人有獎”方案，原本立意是要鼓勵受中美貿易戰影響的台商回台，卻變成了圖利財團的工具；而三大方案中的「台商回台投資2.0」方案加上第一版的補貼金額，兩者相加已超過100億！李家齊提出疑問：「這筆支出真的有必要嗎？政府應該告訴社會大眾為什麼要利用台商回流的議題去補貼台商，甚至是那些根本沒去大陸投資的企業。要把錢用在刀口上，不要因為選舉到了就隨意撒錢，最後讓老百姓們買單。」
 
參選苗栗選區的朱哲成則表示，從過去苗栗縣政府的財務狀況可以看出財政紀律的重要，苗縣最高峰曾負債648億元，縣內更充斥如客家圓樓、閩南書院等大撒幣建設，縣內各公家建築更是一棟比一棟雄偉，在在都是縣民的負擔。縣府從2006年編列歲入預算188億元，歲出預算203億元，逐年大幅成長，一路暴漲到2011年的歲入預算386億元，歲出預算415億元，五年成長一倍，不免令人質疑有浮編預算的問題，這也是配合時任縣長劉政鴻的旗艦計畫，豈不是讓政治凌駕專業，踐踏文官體制？朱哲成指出：「苗栗縣議會還創下一個紀錄，長達25年對於縣府編列預算分文未刪，主要還是因為國民黨勢力占大多數，國民黨讓黨意凌駕專業的結果。」

立法機關和文官體制都因為政治因素未能善盡為人民把關之責，是台灣民主的一個積弊，全台各地都可能出現類似情形。建立專業導向、清廉有效率的政治文化，「謹守財政紀律，共創台灣永續」，更是民眾黨創黨的一大核心價值，期許未來在國會注入新契機。",2019-11-27 22:00:31,https://www.facebook.com/tpp.jang/posts/pfbid024tcExBq6Arjkhh2QpvprHKcbJCJnYm1bgfgwZaBA3fz8s9qyfoCNuuSVkWnE6UMXl
2863,114048236732680,台灣民眾黨政策記者會,2019-11-27 22:03:36,https://www.facebook.com/tpp.jang/posts/pfbid02tpLG3TTa86iuNu2QxMUpoCppaiGiz7EWA5GgBjaLxnDTB7aJ4WHWjDzTY3QDkoW6l
136,115010919969745,"伍德羅·威爾遜（Woodrow Wilson）是美國第28任總統，曾領導美國走過第一次世界大戰，也是戰後國際聯盟與14點和平原則的倡議者。不過，少為人知的是他也是「公共行政」（Public Administration）這個學科的創建者，常被後世學者稱為公共行政學之父。事實上，在威爾遜步入政壇之前，他其實是一位政治學教授（後曾任普林斯頓大學校長，也是歷任美國總統中唯一擁有哲學博士Ph.D.學位者），他在1887年於《政治科學季刊》（Political Science Quarterly）上所撰述的《行政的研究》（The Study of Administration）一文正是「公共行政」這一學科的濫觴。

何以這篇文章可以開啟「公共行政」這個學科領域呢？它有2個重點：

1.威爾遜呼籲政治學者不應只是研究「權力」的取得，更應研究「權力」的行使，即獲得權力之後的行政管理及治理。
2.威爾遜提出「政治」與「行政」兩分（Politics-Administration Dichotomy）的概念，即行政應減少受政治之干擾，並回歸行政管理之專業。而行政專業的目的便是去發掘（1）政府可適當且成功做好的事，以及（2）政府如何以最大的效率、最少的成本來做好這些事（It is the object of administrative study to discover, first, what government can properly and successfully do, and, secondly, how it can do these proper things with the utmost possible efficiency and at the least possible cost either of money or energy.）

以上想法是否正與民眾黨跳脫藍綠、高舉「國家治理」的精神相契合呢？過去這些年來，為何選民總是在藍綠之間一次又一次的失落呢？就是因為大家只在乎誰贏了選舉，卻忘了贏得選舉後的真正治理問題，所以常常是勝選時高興一天之外，然後就繼續痛苦四年。而若我們只在乎藍綠顏色、愛台不愛台、親中或不親中，則就會模糊化了「國家治理」的課題，甚至使政治凌駕了行政專業的考量。

幾天前參加巢運「青年安居座談」（2019/11/24），高房價問題30年來依舊無解，甚至更為嚴重，試問都曾完全握有絕對「權力」的兩大政黨，真的有心、也真的願意來徹底解決此一「治理」課題嗎？民眾真的需要深思了！

而國家治理又要怎樣才能做的更好呢？威爾遜也已經給了兩個方向，即發掘（1）政府可適當且成功做好的事，以及（2）政府如何以最大的效率、最少的成本來做好這些事。而這不也正是柯文哲主席最常提到要先做對的事（do the right things），然後才是把事情做好（do things right）嗎？民眾黨正是秉持這樣的方向來為民服務與奮鬥。",2019-11-28 23:41:56,https://www.facebook.com/tpp.jang/posts/pfbid0g56Ek4CPFwWzh9VCzRthusmd3R1qHLni8UWyd5QcL1chtdoCrPUBBTMfPNnhP8Xml
858,116151706522333,"伍德羅‧威爾遜（Woodrow Wilson）是美國第28任總統，帶領美國走過第一次世界大戰，他的信念是反對戰爭、擁抱和平。在成為美國總統之前，威爾遜是一位政治學教授，在1887年發表的論文《行政的研究》讓他被後代學者美譽為「公共行政學」之父。

《行政的研究》提出2大重點：
一、 不要只想得到權力，要去想如何使用權力。
二、 政治跟行政要分離，文官制度不應被破壞。

經典歷久不衰，台灣仍在努力完成威爾遜130年前提出的真知灼見。終於，2020我們有機會讓「台灣重開機」。

威爾遜的建言跟民眾黨高舉的「國家治理」簡直是失散多年的兄弟。柯市長相信專業，尊重文官制度，啟用多名經歷豐富的公務員擔任一級局處首長，打破過往安排親信的陋習。

兩大黨「只愛江山，不愛民眾」，不僅忽視國家治理，更讓政治凌駕行政專業。

過去藍綠輪流執政，伴隨政權轉換而來的是部會首長的大風吹。兩黨施政方向截然不同，經常換了長官就換了政策，導致過去20多年政府施政不連續，國家陷入空轉危機，執政黨的重心是取得政權，而非服務民眾。

上個星期日，我代表民眾黨參加「青年安居座談」，看到大家還在討論30年前就發現的問題，不僅沒有改善，甚至變得更嚴重，心中無限感慨。過去兩大黨都曾完全執政，為何總是將民眾的基本需求拋在腦後？這只印證了一句話「絕對的權力造就絕對的腐化」。

國家治理怎麼做？威爾遜說「做政府可以適當且成功的事；以最高效率、最低成本完成」；柯文哲說「Do the right thing, do things right.」

我的專業是公共行政，第一步我希望在國會完成三件事情：(1)對的事情做；(2)不對的事情不要做；(3)認真做。

現在我寫，未來我做！

#專業的讓其祿來
#民眾黨
#柯文哲
#台北經驗台灣實現",2019-11-30 22:45:37,https://www.facebook.com/tpp.jang/posts/pfbid0K1U1Fn6JgNFaJEuqbW7cJaLPu9gh89TgMBox7vAXMCp2hXy1tsWrNxmABCs7BsjDl
2872,116166336520870,,2019-11-30 23:30:25,https://www.facebook.com/tpp.jang/posts/pfbid0U2oT6CRRGG9tqVj5BLMS4tYdfZ6ESo7VXK1j7d9qAqWxNZi8cLhy9MAyjqVwuxz1l
163,118164252987745,"民本教育、階級翻轉

台灣當前的教育有著極為嚴重的問題，但是在選舉的過程中，卻甚少被凸顯；這攸關百年的樹人大計，未見系統性的討論與分析，更未見執政黨或主要大黨能有具體的改善政見。

第一，在高等教育部分，高教的平庸化已使學歷完全貶值、學非所用，甚至已失去階級流動與翻轉之功能。弱勢者付出比優勢家庭學子更高的代價去就讀教研品質較差之私校，反而使得貧富差距更形拉大、弱勢者更難翻身，教育反而成為弱勢者之陷阱。因此我主張：

1. 教育部高教政策指導鬆綁，加速公立學校法人化，回歸學用本位之教學設計，不再盲目追求國際排名。
2. 私立學校學費不應高於公立學校，在監督評鑑及強化私校之教研品質與校務治理之後，學費差額由政府貼補。
3. 技職體系重建、產學合一。
4. 落實及強化高校退場之「公共化」規範制定與監督，避免人謀不臧。

第二，在中等教育部分，國高中學子完全無法因多元適性的升學管道而減輕壓力，補習班情況非但沒有減少，反而更為嚴重，多元入學淪為多錢入學，弱勢家庭學子更為弱勢。因此我主張：

1. 簡化高中、大學入學方式，檢討或廢除多元表現等備審資料準備。
2. 課程課綱(如108課綱)適用之試行評估與緩衝設計。
3. 弱勢升學管導輔助及公益課輔資源導入。
4. 補教產業嚴查及規範，學校教育正規化及正常化。

第三，在初等及幼托教育部分，(年輕)家長之教育花費沉重，並欠缺公共教育之資源挹注，且過早的填鴨式的知識學習，造成揠苗助長。因此我主張：

1. 幼托公共化之強化、非營利幼兒園之廣設、私幼費用上限管制及貼補。
2. 學齡前之國家幼托政策整體規劃與法令制定(含預算保障)。
3. 啟發式之初等教育設計。

Reference
 
55.4％上班族學非所用技職學用落差高於普大
遠見雜誌-2018年2月22日

上班族學非所用9年均薪33K
商業周刊-2018年9月19日

私校籲退場董事會可拿部分校產教團批漸失公共性
udn 聯合新聞網-2019年11月5日

學習歷程多就是好？ 台大電機系根本不參採多元表現
udn 聯合新聞網-2019年11月29日

新課綱累慘教師籲減少授課時數
udn 聯合新聞網-2019年11月5日

【課綱的108個煩惱】特別企劃線上首映
天下雜誌-2019年11月8日

高中學習歷程／高中師：家長別再期待孩子樣樣精通
udn 聯合新聞網-2019年11月28日

學習歷程靠補習？ 家長批多錢入學
udn 聯合新聞網-2019年5月25日

減少考試、停止學校排名新加坡教改轉向：學習不是一場競賽
天下雜誌-2019年11月4日

憂孩子落後補教靠焦慮行銷招生
中時電子報 (新聞發布)-2019年8月31日

觀點投書：幼兒教育是辦教育，還是做生意？
風傳媒-2019年11月16日",2019-12-04 21:09:01,https://www.facebook.com/tpp.jang/posts/pfbid02ksFMH2cCPRDR6VwuxFQLPGBG5mgQe8qVf6m22qYGz9KDbYE1oZa3MUNA5e2gNn5il
70,119795076157996,"在粉專上覺得最沒有意義去談的一件事，便是選舉中的造謠抹黑，因為我們的競爭者沒有能說服民眾的政策主張，卻只能以抹黑、抹紅的栽贓操作及敵我區分來贏得選戰，試問這真的會是台灣之福嗎？台灣還需要有外部敵人嗎？我們的內鬥與割裂就恐將台灣徹底摧毀了~

相信呱吉議員也是被綠黨移花接木的栽贓抹紅文宣所欺騙，才會有本人「挺服貿」的錯誤印象，但也相信呱吉議員在真正讀完本人受訪全文(http://hk.crntt.com/crn-webapp/touch/detail.jsp?coluid=7&kindid=0&docid=103094352)之後，必然了解這又是選戰中的卑劣手段，故於隔日也發出了澄清及道歉文(https://www.facebook.com/690872861052082/posts/1532541436885216?d=n&sfns=mo)，我想這是呱吉議員很正向的態度及擔當，我仍是給予肯定。

這件事我在民眾黨不分區立委提名人記者會(2019/11/21)中即已有完整聲明，就再次附上如下，也提供大家真正思考一下我們究竟要選出那種人、那種政黨來帶領台灣~

民眾黨不分區立委提名人張其祿聲明

身為一位公共知識份子及公共行政學者，接受媒體採訪、參加公共及媒體論壇，抑或對時政進行評論本為常態，同時也為個人之言論負責。不過，在個人接受民眾黨不分區立委候選人提名之後，有關個人以往在媒體之各式評述似乎亦被放大檢視，甚至栽贓抹黑，故先予澄清。

1.綠黨於臉書上指稱本人為「支持服貿」學者之一段，顯係栽贓抹紅。蓋原受訪內容皆在討論服貿若引進後將有嚴重的「分配」問題，甚至造成貧者愈貧、富者愈富，弱勢者更加弱勢的問題，因此在台灣以經貿立國而不得不面對市場開放及全球自由貿易的發展趨勢下，政府更應審慎重視服貿開放後的衝擊影響評估與弱勢保障(全文如附)。故若就該專訪的實際內容而言，其更似「反服貿」而非支持服貿。但綠黨卻僅藉該專訪之標題 「張其祿談服貿：台灣不開放沒更好的選項」(此原標題亦為採訪記者所下，與本人無關)，而將其惡意扭曲及變造為「台灣沒有比開放服貿更好的選擇」，顯為刻意的栽贓及抹紅。
2.個人在廈門衛視之節目評論，皆可昭公信及公評，絕無任何傷害台灣利益之言論，其中多數為對台灣時政及全球局勢的分析，並不因其為對岸製播之節目而有失中立與客觀。
3.當前若曾以在中資或中國媒體接受訪評為依據而抹紅其政治立場，實已如麥卡錫主義(McCarthyism)對自由民主及人權之戕害，且台灣不應有任何政黨或個人有此種權力可檢視及判斷其他國民之忠誠度或「台灣價值」，因此等高舉「愛台灣」大旗者的做法正與其所厭惡的共產黨無異，是思想審查的極權主義者。
4.台灣政治的真正悲哀之處是只問立場、不問對錯，只分藍綠、黨同伐異。選舉迄今幾乎不見任何國家公共政策的真正討論，而只有愛台/賣台、親中/反中的敵我區分及民粹動員。國家主權課題雖然重要，但統獨問題在藍綠兩黨皆曾「完全執政」的狀況下，業已證明不可能有立即的解方。台灣只有精進「國家治理」及提升實力，才能面對動盪的世界變局，亦才有籌碼處理未來的統獨課題。既使2020民進黨能贏得大選，其亦須務實地面對兩岸關係，義和團式的對抗終將隨選舉的民粹動員而結束。
5.國人支持自由民主體制、台灣主權獨立等早已是基本共識，愛台/不愛台(賣台)等皆是敵我分化、人格謀殺的選舉操作手段，亦是我黨要打破此等意識型態操作、藍綠惡鬥及回歸國家治理正途之建黨目標。",2019-12-07 23:57:41,https://www.facebook.com/tpp.jang/posts/pfbid02bfKVJx4wkEmLGw5KBcJ6twnRos9T1KsvBZisC57nfaVbm4hj5vp9556J4sLMy6W8l
