index,post_id,text,time,post_url
2515,113769773376156,"嗨，各位朋友，感謝你們的加入，有你們的支持，我將可以走得更遠。
不知不覺，我已經在台北市政府待了五年，跟在市長旁邊，看著台北市一步步成長，看久了我也相信市長的那句話，「政治不難，找回良心而已」，只要每天都進步一點點，合起來就能成就國家真正的大進步。

大家想要看我直播什麼？歡迎留言給我，我都會看喔！",2019-10-22 21:58:27,https://facebook.com/PiRuTsai.tpp/posts/113769773376156
1953,114542503298883,"這次開粉絲專頁，目前沒有廣告投放也沒有經營經費，就算是一場社群的實驗。有人問我會不會擔心按讚或是退讚？我想，按讚的都是朋友，退讚就檢討哪裡有問題。

昨天的留言，很明顯大家似乎比較想要了解壁如的大小事，這個我需要準備、準備，請大家期待！

做什麼要像什麼，所以我也拿出柯學家的精神來研究一下我的臉書。10/21至今，我臉書的成長可是超越我的老闆喔XD 雖然粉絲數還是差很大，7天裡我也只有發出2篇文，這點我會再加強！但是互動就厲害了，每位粉絲平均都有跟我互動1.5次以上呢！再一次謝謝大家！

女幕僚的甘苦:
https://youtu.be/R43AuA3gR8I

感謝媒體的報導:
https://reurl.cc/K63Olq
https://reurl.cc/ObjRry",2019-10-23 13:01:15,https://facebook.com/PiRuTsai.tpp/posts/114542503298883
2652,114832573269876,"宥丞求分享的聲音，我聽到了！他是我們民眾黨新發言人，現在還在唸研究所，卻也很熱血的為黨部幫上很多忙。

跟我同時間開粉專，不幫他分享，還要幫誰呢？

陳宥丞",2019-10-23 21:18:49,https://facebook.com/PiRuTsai.tpp/posts/114832573269876
2053,114939293259204,"壁如的忙裡偷閒，聽了音樂會^_^

走讀地方時，地方婆婆媽媽們強烈希望壁如能出席【台北樂齡合唱節】音樂會，今晚趁著空檔到中山堂聽這群可愛的樂齡們演唱，我台下看著他們隨著音樂擺動，我內心莫名的感動。

隨著邁入高齡化社會，讓銀髮朋友們透過參加合唱練習．上台演唱，這樣的演出必須有多方參與配合，包含演出的各項事務，例如：服裝設計、舞台肢體的訓練。透過以歌爲媒、以歌會友、以歌傳情的理念，不僅常保年輕的心境，又能善盡社會公民樂活的責任，充實銀髮樂靈生活，是降低長照的間接妙方。

我想我的感動，正是因為台北有這麼多人在各個角落裡努力著，希望帶給更多人幸福吧！嗯，繼續加油！

晚安。

#台北樂齡
#壁如自己拍來分享
#怎麼有點糊",2019-10-23 23:45:25,https://facebook.com/PiRuTsai.tpp/posts/114939293259204
2140,115381553214978,"Irrational behavior
我們常常用自己慣性的方式來對周遭環境人、事、物產生各種評斷，在成長的過程中，我們雖然都被教育要理性溝通，但卻又選擇爭論不休。

分享作家柏曼(Shelley Berman)對於「對話」與「爭議」精闢看法：「對話是聆聽另一方說法，以求理解，發現意義與找到協議；爭論是聆聽另一方說法，以便找到缺點和反對其立論。」「對話是開放一種比原來解決方法更好的可能性；爭論是防衛自己的立場，視為最好的解決方法，排斥其他方法。」「對話是合作性：雙方一起努力邁向共同理解；爭論是對立：彼此對立，企圖證明對方是錯誤。」

這是我今天在台北市議會看到的現象。",2019-10-24 19:30:22,https://facebook.com/PiRuTsai.tpp/posts/115381553214978
1994,116093783143755,"關於新書【生死之間】之誕生

這張照片是2018年底市長選舉投票後，台大心臟血管外科舉辦【台大ECMO研討會】，邀請柯市長回台大醫院講一堂課。

柯市長談到選舉過程很驚悚，萬一沒有選上，要回到台大醫院工作了，但很多臨床上的醫學知識會有退步的狀況。於是，促成市長想要將臨床行醫30年的經驗心得，寫成一本書，所以有了【生死之間】這本相當哲學的書。

不少人問我：「柯Ｐ脾氣這麼差，妳怎麼有辦法跟他共事這麼久？」說實話，我經常也會被他氣得半死，但我想我能和他一起工作多年，主要是因為我看過別人沒看過的柯醫師，我看到他的認真、看到他對生命的尊重與堅持。

醫者父母心，在加護病房中，經常耗費大量的時間搶救每個珍貴的生命。我相信醫護人員的訓練及本命，是對生命的關懷與尊重。",2019-10-25 19:15:19,https://facebook.com/PiRuTsai.tpp/posts/116093783143755
2730,116592689760531,蔡壁如 updated their profile picture.,2019-10-26 13:11:49,https://www.facebook.com/PiRuTsai.tpp/posts/116592689760531:1302356923838053
1907,116709039748896,"台北市的Style就是充滿多元文化、自由發展的城市，這座城市教會了我「Be Kind to One Another」，也就是善待彼此、尊重包容。

今天年度最大的三個活動同時進行：忠孝東路的“同志大遊行”、天母運動公園的“天母搞什麼鬼”以及關渡的“關渡熱鬧節”。這些都是台北市府每年列管5000人以上的一年一度大型活動，不論是民間主辦或公私協辦，市府立場是依能否達到「在地化」、「國際化」、「產業化」三個面向做為評估指標，其中產業化是我認為可以再更加強的，商圈透過有特色的活動吸引人潮，發展出特色產業進而帶動商圈經濟。

民間與市府合作，每年固定時間舉辦活動，讓市民朋友即早規劃行程一同參與，透過各項活動，讓民眾在春、夏、秋、冬一年四季都能探索好吃、好玩，既國際又在地的特色活動。

來吧！快邀請朋友一同前來台北走走吧！",2019-10-26 18:03:42,https://www.facebook.com/PiRuTsai.tpp/posts/pfbid02XgENjLgw9yrwewCBbypxapaRrwRxdoU4chkLazccM9AenPet3jF1ESVXxf8X5sVJl
2285,117380459681754,"今天到台中，和四位候選人一同參加郭台銘感恩會。現場坐滿許多認同郭董理念的支持者，坐在郭董旁邊，他說：「希望讓感恩會成為沒有政治味，且歡笑的政治活動。」

跟大家分享途中一段小插曲，當主持人說，現場有一位神秘嘉賓到達時，郭董還回頭問我：「是柯市長要來嗎？」結果出來的是郭董夫人，讓郭董瞬間就笑開懷。 

雖然現場老虎軍團後援會勸進郭董選總統的聲音還是不絕於耳。但這是一場開心的感恩見面會，現場很多郭粉過來跟我加油打氣，就像市長常說的，朋友要多，敵人要少，政治不要那麼肅殺。",2019-10-27 21:50:53,https://www.facebook.com/PiRuTsai.tpp/posts/pfbid0C8QuvTvvFor54c9BbdXTnknrv4V5GxZgkAXYEdZNCAbQfMyzEV4wVN21nVyNckEzl
2477,118450762908057,"Hi，我是蔡壁如。感謝大家加我的粉絲團，雖然可能因為我老闆說有什麼驚嚇的內容，讓你們都來了，其實 #血滴子 私下還算溫柔，就讓這裡當成我們的交友園地吧！

我的貼文都出現的比較晚，因為行程、會議滿滿的關係，能靜下來寫點文字和心得分享給大家，算是自己給自己的新任務。

總之，粉絲團破萬了，謝謝！加油。
#動動手指按讚分享好朋友",2019-10-29 20:44:32,https://facebook.com/PiRuTsai.tpp/posts/118450762908057
