index,post_id,text,time,post_url
2546,109256390553549,賴香伶 updated their profile picture.,2019-12-01 22:44:40,https://www.facebook.com/HsiangLinLai/posts/109256390553549:617087546758228
1939,109358157210039,"大家好，我的個人部落格今天開張了。
這張照片是去年我去101大樓跨年煙火架設的施工安全檢查，當時風速七級，位置在86樓。一個多月的施工期，有專業團隊的策劃、許多勞工冒著寒風，辛苦付出才得以完成。
短短幾分鐘的美麗煙火，驚豔的呼聲與互道祝福的時刻，勿忘是有一群勞工朋友的辛勞付出。
2020將至，美麗的101跨年煙火又將來到，隨後就是台灣民主非常重要的時刻。希望大家能信任民主、尊重他人，正如我們信任這一群專業團隊、以及默默付出的勞工。",2019-12-02 00:26:23,https://www.facebook.com/HsiangLinLai/posts/pfbid02uXHP7aNFYXohbGZz3qtnw3bHQ1cDGJh8tMKmuX8ntBamsEcMxXpgN4V12Rq89VnDl
2768,111531340326054,,2019-12-03 22:07:42,https://www.facebook.com/HsiangLinLai/posts/pfbid0TaUgvEmpyR6zgMiRCDBkBFCn5yYvqy87nKssszDpWCzKDTY12b2EwDc2JzKMkWA3l
2348,112585863553935,上午拜訪剛成立的外送員職業工會理事長鄭力嘉，並與幾位外送員討論市府的外送平台自治條例草案，希望透過自治條例、能以「類勞工」方式，使外送員也能比照勞工取得權益保障。,2019-12-04 20:47:04,https://www.facebook.com/HsiangLinLai/posts/pfbid0q3oR3G1uAnrEEuHcVuAsHsVu9Np68g2ZFVLeTUsLFC4ze2oH21EvqYfnybbBUdkMl
1991,113304090148779,"這兩天我參加了北台灣總工會及全國美容美髮業工會的會議，與基層勞工面對面交流。
企業工會的代表對如何提高工會組織率、勞資會議應有實質效率及提升職工福利等建議；國營事業工會代表更感慨直指許多高層都是酬庸空降，專業治理不足，基層員工的升遷受阻，這些也應該要改變。
職業工會則關注產學訓的勞動政策，要讓年輕人習得一技之長及培育人才，重振技職教育是很重要的課題，我很認同，也期許未來與工會伙伴們一起推動。",2019-12-05 18:50:23,https://www.facebook.com/HsiangLinLai/posts/pfbid035PerPkw58Mt6YHKvPgCzciq53NR6xVCJLfHPwy7nJaGwW77x4pv3gzSyebYwXjKDl
2255,113967630082425,"今天舉辦首場勞工系列記者會，我提出了制定外送員權益保障相關政策。謝謝琬惠的詳盡紀錄，大家可以了解我們的主張跟政策。
琬惠也是民眾黨的不分區立委參選人，她的專長在社會公益活動，長期為弱勢服務，大家可以到她的粉絲頁按讚哦！",2019-12-06 20:47:31,https://www.facebook.com/HsiangLinLai/posts/pfbid02XQcN5F1FqqGoC5eFKdGweouB4qw6EghjoU22sEVgm4UiJHQfZzHytrewezz2wty2l
1804,114305790048609,"臺北市就業服務處今天在台北車站1樓舉辦「中高齡總動員就業博覽會」，集結48家對中高齡友善的廠商提供1780職缺，希望讓中高齡朋友安心求職。下午四點才結束，有興趣的朋友趕快來。

中高齡員工具有工作經驗豐富、人際關係圓融、危機處理能力較佳、對企業認同感高且注重職場倫理與敬業精神的特質，這次企業徵才標準也以「經驗豐富」、「工作穩定性較高」為主要考量，銀髮員工或有體力、視力的問題，但現在都可以用中高齡職務再設計的政策工具來加以協助，希望達到「健康勞動」的中高齡就業的政策目標。

#銀髮三顧就業
#顧健康
#顧安全
#顧經濟",2019-12-07 11:26:30,https://www.facebook.com/HsiangLinLai/posts/pfbid0iWx86Cqiey6ADxtVCsXsCckNc5apdmqLoma6bqjLp9xK8JdoeZpQat6HwXTki4dYl
2021,114896649989523,"與林國成議員共同受邀出席「社團法人中華物業主管交流協會」年會，協會關注的焦點在物業管理上提升人員的教育訓練及智慧管理的導入。
台灣都會區從事物業相關的勞工人數很多，這個產業的發展關係到社區、大樓管理的安全品質維護，對從業人員的責任要求也較嚴，我任內針對保全人員的勞基法84-1審核時，要業者提供受僱人員的健檢置備，希望減少職業傷病的發生率，這個政策也很受到業界的支持。",2019-12-08 14:25:31,https://www.facebook.com/HsiangLinLai/posts/pfbid0Fq7gAZLq2rnGPLzvUizswEMwjfEwXQWvet91agxpAtKckJjvD8BYYNDrubwZv3KKl
1944,115048466641008,"下午我跟琬惠到木柵動物園一起為台北市第八選區（文山、南中正區）民眾黨立委候選人張幸松（輕鬆哥）拜票，輕鬆哥給我的感覺平易近人，很多志工都來幫忙。

他和他的團隊多年基層的服務特別關心青年和弱勢的需求，得到很多人的肯定。連他今天發的紀念原子筆，都有到文昌廟去祈求加持過喔！

今天風和日麗陽光露臉，雖然有點冷，還是有很多親子出遊，第一次以民眾黨的身份戶外宣傳，感到很高興。

#張幸松（文山南中正）
#陳琬惠（不分區）
#台灣民眾黨",2019-12-08 20:47:17,https://www.facebook.com/HsiangLinLai/posts/pfbid0netL7TzaHXv9nNGio4LpsHPpdteRkHjYumYBh8WAogbqjSLoaqx7NBUe1H5aQCMZl
1669,115810493231472,"與柯主席、張其祿老師一起上節目，這是五年來我第一次參加政論節目錄影，我提到民眾黨不分區名單、勞基法三修問題，也認識了許多新朋友。

#平論無雙
#謝謝東森電視員工的協助

#勞基法三修
#民眾黨不分區

平論無雙2019/12/09精華版:  https://www.youtube.com/watch?v=EsLLwSab4bY

平論無雙2019/12/09完整版:  https://www.youtube.com/watch?v=Fx82mZpOpf8&t=295s

感謝網友 boaudrey 剪輯個人發言片段: https://www.youtube.com/watch?v=hL_1xsPFrL4",2019-12-10 12:01:45,https://www.facebook.com/HsiangLinLai/posts/pfbid02Kz2rbf2bRe59GKvxe8FHSP7iAa3JSaq6s8busceidFTNNAd8aW4EaY3YoxbMhS9il
