index,post_id,text,time,post_url
2399,420900148486984,何欣純 updated her profile picture.,2019-03-27 15:37:36,https://www.facebook.com/94achun/posts/420900148486984:766828674639457
1077,423089728268026,"守護孩子，嚴懲兒虐！
🔆為終止兒虐，加強預防保護，《兒少法》上週五修正三讀通過‼

面對一樁樁的兒虐事件，除了重懲，也要從完備預防機制著手，因此我提案修正《兒少法》❤
修正重點：
🔶跨部會整合兒少保護資料庫：透過資料庫查詢惡保母、狼師等資料，防止不適任人員進入兒少相關機構
🔶托嬰中心須裝設監視器，讓家長安心送托
🔶提高罰款，兒少機構及課後照顧班若是有虐童情形，最重可罰60萬

#送托安心
#家長放心
#守護孩子遠離暴力",2019-04-01 17:51:33,https://www.facebook.com/94achun/posts/pfbid02GjyatYVVVLgt9wRNZXm1fxUag758ZVncqsCUdRYuN2WiZmQh2evVAkieWkB2DgNgl
1928,423096351600697,"🌟歡迎大家加入阿純的新粉絲團🎉

💡未來新粉絲團會向大家報告：

✔️最新政府情報
✔️阿純問政點滴
✔️大里太平大小事

🙋🏻‍♀️請各位舊雨新知給阿純按讚追蹤，繼續關注最新動態哦‼️",2019-04-01 18:11:24,https://www.facebook.com/94achun/posts/pfbid0GYqakL3k4kgxT2M9qiHM11uKtCg1KkjeEbCkkZSzVBD2s68iBX9nmxmRLmfiJBuQl
2113,424000438176955,各位朋友，4/4~4/7為兒童、清明連續假期；故4/6(六)我們在大里、太平服務處所提供的免費法律諮詢服務「暫停乙次」，不便之處敬請見諒！,2019-04-03 18:25:13,https://www.facebook.com/94achun/posts/pfbid0hLhTKRFP94kVEFAAagUaBADwvgRgtFFcP39wfrBTvwZQYWo4kmD1twiDq6VvQXcEl
884,424322208144778,"🔆歡樂兒童節，小朋友的大日子🍭兒童大大快樂～

孩子是我們的心肝寶貝，祝福每一位小朋友健康快樂～

🙋🏻‍♀小純姊姊即將為小朋友再辦一場草地音樂會&小小阿兵哥體驗‼️邀請大家來同樂喔🎉4/20（六）下午2～5點太平區德興健康公園等你喔！！
---------------------------
🌟快加入小純的line好友，搶先收到最新活動資訊，
小純的Line官方粉絲團
lD搜尋：@achun
或請按連結👇
https://line.me/R/ti/p/%40achun",2019-04-04 11:36:25,https://www.facebook.com/94achun/posts/pfbid02rzMhuEsudu2DBKMLT9MYoBkN3QJHyERm857Pvoowq4AnG9uVmgB8xCMhkCNEDREl
2192,425749544668711,"大甲媽今晚也要起駕囉！
原來，今年白沙屯媽也在今晚起駕！
農曆3⃣️月真的是走廟走透透～
#大甲媽起駕
#白沙屯媽起駕",2019-04-07 10:04:12,https://www.facebook.com/94achun/posts/pfbid02EcTeNZXVLmrABG97xwzRRpKYmvbThiUyPM6x6y85RACaAXccx5qETvmv8yTyrTm2l
2319,425987844644881,"收心囉！收心囉！連假結束了！
這些童趣積木玩具，療癒一下調整心情，
甘巴爹💪晚安💤",2019-04-07 22:29:38,https://www.facebook.com/94achun/posts/pfbid0ZoK4cyB6rrQnLeYaUJxhP3zgAZY7ebUKYr82ES4XBAW3FneHqNzbDzHEhnnAQkQRl
1213,427294621180870,"⚠️因為天候因素，擔心當天會下雨🌧，原定4/13的草地音樂會&小小阿兵哥體驗👇

改到🔆4/20（六）
下午2～5點太平區德興健康公園喔‼️
---------------------------
🌟快加入小純的line好友，搶先收到最新活動資訊，
小純的Line官方粉絲團
lD搜尋：@achun
或請按連結👇
https://line.me/R/ti/p/%40achun",2019-04-10 15:33:39,https://www.facebook.com/94achun/posts/pfbid032RYQ1UEAaFwjxzQRjoMWrkMQkqrZ6BEUPVXpGGPcj2Cssn9ox8Tnu9jnxvcHSV3Xl
468,427804021129930,"👩‍🌾為農民發聲，乎農民好拼經濟‼️

👉昨天農委會陳吉仲主委來立法院備詢，阿純關心農產品價格及拍賣制度，還有農業缺工嚴重的問題，要求農委會要積極面對丶解決。主委表示除了修法之外，將會持續公布銷售地、產地以及批發價格，把價格公開透明化，以降低假消息的危害，也協調北農優先拍賣品質好，如有履歷證明的農產品，穩定價格，助益農民的收入。

👉另外，也反映很嚴重的農業缺工問題，主委說明正規畫開放農事(民)團體得申請外展外勞，解決季節性的缺工問題，還規劃菲律賓、印尼、泰國和越南來台渡假打工計畫及農業實習生來台計劃，希望用各種方式來解決農業缺工協助農民生產🙏

#穩定農產價格
#拍賣公開透明
#解決農業缺工
#開放外展外勞
#東南亞人來台渡假打工",2019-04-11 18:16:31,https://www.facebook.com/94achun/posts/pfbid0abQ4jG2to1Rvi4GYGaRvWaW82nzy2Gf1FSDzGYjGKNBgYNQdnsXmyBVyRZUn7KZql
2597,428080201102312,,2019-04-12 08:17:30,https://www.facebook.com/94achun/posts/pfbid0afL6WZCnDPawN53vWW4weit83qFezQRz8uxBzvZhoXuN9ar9oSRmMbLDH6ZbmynXl
