index,post_id,text,time,post_url
1023,3578582118854687,"不要待在辦公室裡空想政策，現場直擊才能了解真實全貌！

思瑤今天率教育文化委員會同仁們到 #空總台灣當代文化實驗場 C-Lab考察，深入了解這個重要的文化實驗場域的運作，也一起勾勒願景，想像未來。

空總這塊台北核心蛋黃區實在太珍貴了，所以不只土地空間是兵家必爭，進駐團隊、扶植的藝文產業領域也備受各界關注。
文化部長李永得拋出「開放對話，重新定位」的主張後，思瑤也全力進行政策的思考，與各領域文化工作者溝通討論。

遺憾得知台北市政府突擊式的將全區指定為暫定古蹟，遭質疑是為向中央爭取空間分配使用權而祭出的「卡關」手段。
文化資產保存應當是專業優先，而不該作為政治綁架的籌碼。我絕對尊重未來的文資審議，但也期待政治退場，讓專業說話。

#開心與欣賞的藝術家蘇匯宇相見歡
#空總不思議",2020-11-25 20:48:28,https://www.facebook.com/TaipeiNeedYou/posts/pfbid0bE69sUWN1QWEusU8amGhYf4XaZQJLKK3yWsGSFJaGMiyYvgFudk1C8tHKpNXbfRNl
1985,3580023702043862,"台北的交通真的愈來愈糟，惡化驚人。

每早從北投開車到立院，從50分、一小時、到一小時10分⋯⋯
常常跟同委員會、住在台中的 堅持．張廖萬堅、 黃國書委員說，你們從台中坐高鐵到台北，好像比我從北投來還近啊。

#每天開車磨練心性",2020-11-26 08:35:29,https://www.facebook.com/TaipeiNeedYou/posts/pfbid02n9BM5tAcVkbeGv5BassKHCgabgp8qTDKKYiUnqsmgZGrVFwzV2AdJhnc2Vttecm7l
2454,3580974671948765,"黨團接力守議場
從天亮到入夜，從曬太陽到餵蚊子。

明天一定讓蘇院長上台施政報告！",2020-11-26 17:50:51,https://www.facebook.com/TaipeiNeedYou/posts/pfbid02n5geqQ1pnfFmFTcDnBgATqH1x6VowsXnbSvy3AHaram6KcDB1FmgXrA95LfzEvoLl
2291,3582522991793933,"敖早！D-Day！

#比一比誰的黑眼圈最深
#希望今天不要有傷兵
 周春米 立委 范雲  FAN, Yun 陳素月SayYes",2020-11-27 06:24:06,https://www.facebook.com/TaipeiNeedYou/posts/pfbid02XhKVeFUmtDjo8y9wAKXZCGEGry7rHCapF8GSYDWA5fiU6H59mSddcz6UpBh7sFFql
2221,3583182415061324,"立院變屠宰場，豬內臟齊飛，臭味沖天。
立院現形記，藍白合手反台灣，醜態畢露。

#國民黨什麼都杯葛只有民眾黨質詢不杯葛
#破壞議場41萬前債還沒清呢",2020-11-27 12:25:34,https://www.facebook.com/TaipeiNeedYou/posts/pfbid02nUWVqkkipHK1QpXFJchcKUmN77DcUSu25HLNbFkzypEoeJrAUhbWqaEyAsf7o5hrl
628,3583499458362953,"認真問政，很難嗎？

誰在砸豬內臟癱瘓議事，誰在認真問政守護國會議事，相信今天大家都看得清清楚楚！

內閣連續12次無法上台報告備詢，立院被塞車延宕的法案高達720案！

忍無可忍，今天我們在豬內臟滿天飛的無厘頭鬧場下，終於成功讓蘇貞昌院長上台備詢，恢復正常議事運作。（誰可以教教我怎麼去除身上的腥味？）

而這幾週來，思瑤在教育文化委員會可是一點都沒放鬆偷懶，專業質詢之外，擔任召委維持議事品質審查預算，也召集多次問政考察行程，認真負責向大家交出工作成績單。

不作秀，會做事！我想這才是大家期待的 #正能量 #好立委。

👉🏻 後疫情時代 為文化留下Legacy
質詢影片🔗 https://reurl.cc/bRqj16
👉🏻 後疫情要突圍 老故宮說新故事 開發限量商品+電商OMO行銷+國旅異業結合
質詢影片🔗 https://reurl.cc/ygljrM
👉🏻 高教危機到高教轉機-退場&整併 國際教育 回流教育
質詢影片🔗 https://reurl.cc/2gGoGO
👉🏻 藝文數位轉型三箭 提升專責組織 充實產製內容 強化OMO應用
質詢影片🔗 https://reurl.cc/zzRWa6",2020-11-27 18:00:00,https://www.facebook.com/TaipeiNeedYou/posts/pfbid0i5wbRo1L4JndyC1iCLqTGqroT1a9GdfFnX41wsuYmbmv2oZH3opFperUxYNXfsEzl
2415,3585683421477890,"#結紮不放養 #領養不棄養 #挺國片

我跟ZaZa都支持，你呢？

🐶  十二夜2 上映中 🐶",2020-11-28 09:29:25,https://www.facebook.com/TaipeiNeedYou/posts/pfbid0bKfCPozsMd2VBFKUJd5Tb5CRGqqnr5WCF1eEgufjr1Ah981DDzg9jAjgp5byuo9Rl
1960,3587024921343740,"#打錯我的名字Challenge﻿ 

吳斯懷
吳思華

一次是賴清德副總統（候選人）口誤 2020
一次是小英總統（候選人）講錯 2016

被國家正副元首搞錯名字
也是此生最高了

#思斯有兩種 #藥效大不同
#名字可以喊錯人可不能搞錯",2020-11-28 21:45:27,https://www.facebook.com/TaipeiNeedYou/posts/pfbid0HqCv5zdFtarudseLCqH7ExXukicFwSzbPzH1xrmciRPdBMJasAjcWx5T5iX93FZxl
1108,3589668591079373,"關渡自然公園 Guandu Nature Park 20歲了！

每年秋天，關渡精彩活動四連發。 #賞鳥博覽會、 #鬧熱關渡節、 #國際自然藝術季、 #園慶活動，思瑤一次也沒有缺席。

2001年開園， 台北鳥會 WBST無數志工投入關渡自然公園的生態守護、復育、教育工作。思瑤2006年開始服務北投，加入大家的行列，也邁入15年了。

上天給了北投得天獨厚的地理條件，我們是台北之肺，是全台灣第一個環境教育場域，是全台北第一個自然保留區（第二個是北投溪），守護珍貴的土地生態資產，是我們神聖的使命，也是思瑤心之所繫、全力以赴的重要任務。

生活在北投，何其幸福。
邁向下一個20年，Better Together！",2020-11-29 20:20:57,https://www.facebook.com/TaipeiNeedYou/posts/pfbid02LsUETssLrCr3mWigESgGErE9QhpwJYTd1EGA9Z74YYhMXLB1ze4NFReU2fykhhPfl
1728,3591420454237520,"抗爭阿莎力，賠償沒誠意？！

豪氣國民黨，杯葛議事大手筆製作豬道具，至少花了三、四十萬。
購買豬內臟，一桶一桶潑，也是筆不小花費。

敢作敢當，該賠就賠，錢債未了，新債再來。
江啟臣主席、林為洲總召，欠錢不要欠過年！

https://www.ftvnews.com.tw/news/detail/2020B30W0013",2020-11-30 11:03:30,https://www.facebook.com/TaipeiNeedYou/posts/pfbid031tCGEBrwaK1DqiYKjK5YWcNfnCHKtsoNsEH15QPnp9onSdtJo8PLxjPQtGHZmyc1l
2132,3592473424132223,"苦中作樂。
氣溫驟降的寒夜裡守護議場，思瑤採買了澎湃的零食點心，來場同樂會。

#減肥明天再說
#話題繞著明天國民黨該不會丟豬糞吧？
 賴品妤 蘇巧慧  #好東西要跟好姐妹分享",2020-11-30 21:08:24,https://www.facebook.com/TaipeiNeedYou/posts/pfbid035LpASVJvzXsrvHuS3BrMR1UE9Npk3CeWhuorc4DGDQ6aPkt2oVRkch98auEMg2i4l
2149,3593639784015587,"四點起床天是黑的，五點出門天還是暗的，
六點到立院，終於天亮了。

#上週豬內臟這週丟什麼？
#皮蛋瘦肉粥吃了再上
周春米 立委 蘇巧慧 林宜瑾 林楚茵 陳素月SayYes",2020-12-01 06:28:22,https://www.facebook.com/TaipeiNeedYou/posts/pfbid02fW72kWcNuT4QGUJ9zT2npGy3HVjavbEv1VBjxzqSKYvUTPToMJH3iPAYh6EHLtjQl
83,3594871243892441,"#重磅質詢 #文化藝術粉絲照過來
文化的數位轉型與線上經濟，不是只for Covid-19，而是Forever！

一次十分鐘質詢，思瑤準備了快30頁的簡報。
我們把握每一次政策對話的機會，向公部門提出具體的政策解方。

在危機時刻，我們更需要藝術。藝術文化使人堅韌，帶來希望。

這就是聯合國教科文組織發UNESCO在2020發起 #堅韌藝術ResiliArt全球運動 的初衷，提出在疫情衝擊藝術產業的艱難時刻，更應透過數位模式，建立更多元的文化生態系統，支持創作者，落實文化平權。

所以我們看到，世界各國的藝文館舍在疫情時代，迅速發展出線上藝文的創新展演模式，期待為受創的文化創意產業找出路。
台灣作為華人社會多元文化的領導國家，美術館、博物館、文化館舍當然必須跟上這波數位轉型的浪潮，超前部署。

思瑤特別安排了文化部的專案報告，也提出對表演藝術、視覺藝術不同的 #數位升級發展策略。

首先，各館舍的線上藝文推展不能再各行其是多頭馬車！
我主張 #提升組織量能 最為首要，文化部應研議成立「博物館司」，並 #催生數位藝文的統合機關，透過專責組織、專業人力、充足預算及進步法規，全方位發展線上藝文。
如中央研究院 Academia Sinica的「數位文化中心」，就是好的典範。

第二，內容才是硬道理！ #線上藝文的內容產製應全面提升。
線上展演不是只把實體展覽搬上線上而已，而是透過數位工具的應用，發展全新的文化生產模式。
從官網、Facebook粉專、APP、LINE⋯⋯到最夯的OTT、Podcast，在數位匯流的新時代，各類新興線上平台都是兵家必爭之地，不只該積極善用新興平台，更要產製吸引人的線上展演內容。我要求文化部應當擴大支持創作端及藝文機構，挹注資源，整合平台。

第三， #學習電商OMO虛實融合策略，掌握線上商機。
O2O的時代已經過去，Online Merge Offline才是未來趨勢，也就是從招攬過路客生意精進到打造 #鐵粉經濟。
建立並應用藝文的大數據，分析消費者行為模式，線上展演可以加乘壯大藝文產業的數位經濟。
思瑤特別舉例 #國家表演藝術中心 將售票系統打掉重鍊，推出結合售票功能與藝文推廣的Opentix，值得各美術館及藝文館舍借鏡學習。

思瑤團隊投入很多心力研究文化事業的數位轉型，這次質詢只是全新任務的開端，我們捲起袖子和所有文化人一起努力！

｜完整質詢影片🔗 https://reurl.cc/zzRWa6",2020-12-01 18:44:45,https://www.facebook.com/TaipeiNeedYou/posts/pfbid02UYW4pz43nyHKt6Nqr3825y6HHJXHWgFPYW5uDS25xKgsWjPSxxyHEsFLz14ka6Wsl
