index,post_id,text,time,post_url
49,1036118616776041,"化學局的成立，是實驗室的曙光，還是另一個噩夢的開始?-有關大學化學實驗室的化學品管理問題

這幾年，因為對於化學品管理的意識提高，讓各部會組成了聯合稽查小組，到各大學的實驗室進行化學品管理的查核，透過稽查處理了老舊化學品的廢棄問題以及不明鋼瓶的管理問題。
也因為聯合的查核工作，大學的教授們，向我們反應大學實驗室面對政府化學品管理的規定時所產生的問題。
目前跟大學實驗室化學品管理比較有直接關係的是環保署化學局以及勞動部所主管的法規。化學局主管法規有”毒化物”（360幾種）以及”關注化學物質”（未來會分批公告），目前是按照化學品的使用量分級管制。
勞動部的職安法，規定”危害性化學品”（2萬種以上）必須要有清楚的安全標示。職安法也規定”優先管理化學品”（1000多種），必須要有相關化學品的運作紀錄，而”管制性化學品”（約23種），則要求申請許可才能使用。
目前職安法的規定沒有按照使用量分級管理，所以工廠以及學校實驗室，是按照同樣的方式來管理。以優先管理化學品的要求為例，工廠在使用量很大的情況下，被要求要紀錄每次的運作量。但是學校的實驗室，在量相對很小的情況下，也被要求要紀錄每次的運作量，這對於化學品的使用管制無法達到效果，但卻造成了學校實驗室的行政困擾。
為此，我們召開了兩次(1080110、0318)跨部會的協調會(未來預計每三個月召開一次)，討論學校實驗室化學品的管理問題。

📌目前達成共識的方向如下：

✅一、目前各個中央目的事業主管機關，在化學品名稱以及相關的申報項目，並沒有整合以及統一，所以造成學校實驗室在申報不同部會以及不同法令的相關資料時，需要花很多時間在行政工作上，以滿足不同部會的要求。我們要求化學局、勞動部以及其他相關部會，應該要統一相關化學品的名稱、統合以及協調申報時程以及申報頻率，並且整合以及界接相關的申報網頁，以簡化整個申報程序。

✅二、大學實驗室，有很多種類的化學品，但是化學品的使用量通常都很少，是少量多樣的使用樣態。而一般工廠，化學品種類比實驗室少很多，但是使用量卻很大。實驗室及工廠，其實有著不同的化學品使用型態，目前勞動部，並沒有按照化學品的使用量來分級管理。其他包括許多企業的研發單位，或是許多的檢驗機構，也都是少量多樣的使用型態。我們要求勞動部及環保署化學局，研議是否能夠按照使用量以及不同使用樣態、以著不同的特性來分級管理？

✅三、針對目前各大學負責職安以及化安的環安衛中心，我們要求教育部要整合各部會相關法令規定，明確環安衛中心的角色定位及應聘用的相關專業人力，並訂出大專院校環安衛中心的設置指引，提供給各大學作為參考。希望各大學的環安衛中心，都能發揮應有的角色及功能。",2019-04-11 09:33:17,https://www.facebook.com/WYCLY9/posts/pfbid02Nq3p1tS4C8f2jD2N5KStuq6sktBDrbQvMuQhkmaPeK9MDKmzw8r7KAw8584NdLdQl
852,1036120930109143,"為肯定全國社會工作專業人員在社會各個領域服務之貢獻，並提升社會工作專業服務形象，衛生福利部今天舉辦「108年度社會工作專業人員表揚頒獎典禮」。
表揚典禮頒發特殊貢獻獎2名田麗珠主任和曾華源教授、資深敬業獎（服務20年以上）45名、服務績優獎118名，共165名社工獲獎。獲獎者年資從5年多到近40年，工作領域跨越社會福利、兒童保護、家暴防治、醫療、長照、學校、心理衛生等多元領域，展現社工人員的跨領域專業奉獻。
社會工作人員是織起綿密社會安全網的尖兵，串聯各個服務網絡，為家庭及個人提供服務，長期以來在各領域及社會各個角落提供專業服務，例如低溫特報期間社工仍於深夜探訪遊民並提供避寒處所，提供溫暖的服務。
謝謝所有社工夥伴!! 感謝有你們。 謝謝正在社會的每一個角落，幫助民眾及弱勢家庭獲取必要的資源與服務，你們不僅是最貼近社會脈動以及民眾最需要的專業夥伴，也是最辛苦的專業人員!
圖像裡可能有1 人、花和室內
圖像裡可能有11 個人、包括李嬡樂、微笑的人、大家站著、鞋子和室內",2019-04-11 09:37:17,https://www.facebook.com/WYCLY9/posts/pfbid02ueVQwiYGya2XC3K18cuXtBSW3Fuf6QHFgRBPmFsPVX4EibcRmdtXrCaAA75dfzrvl
2325,1036121306775772,社工日快樂！,2019-04-11 09:38:14,https://www.facebook.com/WYCLY9/posts/pfbid02PgjsC6qWbht5aTxZiC9vWVcqsy59qwPyYJdRh48AFdR1JGqEm3B4fZUVH88qWKAnl
1289,1036127206775182,"同心灌溉 守護兒權 兒童節慶祝活動
兒童是咱的寶貝!
立法院剛三讀通過兒少權法修正，歷經一個月緊鑼密鼓不分朝野，大家非常的支持也重視，希望透過兒少法的修法讓兒童保護更徹底。
本次修法重點六歲以下兒童死亡原因回溯分析、檢警及時介入兒虐案件、建置違反兒少法裁罰資料庫、托嬰中心裝設監視錄影設備、六歲以下兒童主動關懷方案入法、明定通報人資訊保密規範。
在家庭裡，父母的傾聽和溝通是很重要的! 用心聆聽孩子說話比責罵或打的方式，更能成為孩子的支柱，陪孩子成長。
另外，兒童保護不是一個單位的責任，是所有人的責任，大家雞婆一點，在社區發現虐童的事件請撥打113，我們多一分關心，就能少一分傷亡，共同打造一個更安全的兒少環境。",2019-04-11 09:48:11,https://www.facebook.com/WYCLY9/posts/pfbid0M6uQ22bnUEhWtcLsyAojJh9Up5Lru7rN9c3FVm38u4BAgPRzTRKkodSiXj4e4F2Zl
1616,1036128620108374,"嘉義縣鹿草西瓜節
嘉義縣鹿草是西瓜的原鄉，全國有許多西瓜育種、嫁接的技術都來自鹿草，為向國人推廣「沙沙又甘甜」的鹿草西瓜，每年舉辦西瓜節都會吸引愛好者前來邊吃邊玩! 今天除了有西瓜苗嫁接 DIY、趣味桌遊姐姐說故事、地方美食及農特產區、免費西瓜切片及西瓜果飲、西瓜大胃王等豐富又熱鬧的活動!
鹿草因為土壤、氣候的關係，還有農民用心的培育，今天我們將最好吃的西瓜帶到市區，歡迎全國民眾都來嘉義，採購最棒的農產品。
4月5日之前，鄉公所前廣場都有西瓜專賣區唷！",2019-04-11 09:50:24,https://www.facebook.com/WYCLY9/posts/pfbid0M4PiDNEy7eD8fosUo87QbWuvmgzbgT7Q5U9Eez8oHo84VBY282NVDhMp2zxYLeQYl
1937,1036129356774967,"四月二日是自閉症關懷日，今天中華民國自閉症總會在華山文化園區北側舉辦《星晴好好心情》的園遊會，今天歌賀士軒之最＂昂＂的一件事就是他表示六年來沒有遲到早退，四月一日要朝向第七年邁進。
看到他們的長處、包容他們的限制、支持他們的選擇，是社會上每一個人都應該要學習的功課。",2019-04-11 09:51:52,https://www.facebook.com/WYCLY9/posts/pfbid02QLR8pnaf3f5bferDKCi3xtwGErSdrwnbxHnabWjinYvRSxGrx5XiQSBMqazCCsUjl
187,1036132836774619,"兒童受虐案件頻傳，各界都期盼完善相關法制來防止類似事件再度發生。「兒童及少年福利與權益保障法」經衛環委員會三天的討論與協商，凝聚修法共識。目前各黨團均已簽署協商結論，我們希望列入今天院會第1案，期盼能在兒童節前三讀通過，建立能讓兒童遠離受虐，平安健康成長的環境。

📌此次兒少法修正六大重點包括：
一、建立兒童死因調查機制，防堵虐兒再發生，降低兒童死亡率。
建立六歲以下兒童死亡原因回溯分析，定期公布分析結果，希望從死亡原因勾稽虐兒因子，防堵虐兒問題。
二、司法及早介入兒少保護案件調查程序，保障兒少人身安全。
為使司法及早介入調查程序防範憾事發生，當兒少之訪視顯有困難或行方不明，涉有犯罪嫌疑者，司法警察機關得報請檢察機關處理；地方主管機關評估兒少之生命、身體或自由有立即危險或有危險之虞者，應移送司法警察機關報請檢察機關處理。
三、強化不適任人員(如：狼師、惡保母)資訊系統建置及勾稽整合各單位資料，避免不適任人員進入體系任職。
分別規範兒少福利機構、課後照顧班及中心之負責人、工作人員之消極資格要件，並增列聘僱工作人員前未主動查證之罰則。
四、要求托嬰中心應裝設監視錄影設備。
托嬰中心應裝設監視錄影設備，但其設置及管理查閱等辦法，由主管機關定之。
五、高風險之六歲以下兒童給予特別保護。
增加6歲以下兒童未辦出生登記、預防接種或有其他不利處境時為應視為高風險應通報範圍。
六、通報人身份保密，鼓勵關懷鄰家。
明定通報人之身分資料保密之規定，以免通報人擔心身分暴露導致怯於通報。

兒虐事件令人不捨，修法的腳步雖然無法及時彌補之前的傷害，但卻能防止事件再度發生，除了修法外，我們也要求行政院要積極推動「強化社會安全網計畫」，及「全方位兒童醫療照護網路」，投入人力與經費用來預防與提供整合服務。高風險家庭更需要社會的支持，民眾多一分雞婆、多一分關心，孩子就少一分傷亡，多一分幸福。",2019-04-11 09:59:25,https://www.facebook.com/WYCLY9/posts/pfbid0pHF4ra5rPnnEFydjoFpe1RNgpY5JAS6QBEa3tBoQMCMc2PJTFTrZ8UNCWi3pxLmcl
398,1036136323440937,"中埔日間照顧中心、長青活力站暨暖暖老人食堂開幕活動

閒置十餘年的嘉義縣中埔舊菸葉檢驗廠大變身，中華聖母基金會巧手將其打造成五星級、溫馨的日間照顧中心。同時引進日本高齡友善傢俱和電動升降盥洗台等設備，首創三合一混合型照顧模式，分別成立老人日間照顧中心、暖暖老人食堂以及長青活力站，最多可照顧多達224人， 從健康到失能老人提供一個整合性的照顧。
嘉義縣老人已經超過19%，全國老化第一名，日照中心功能要讓長者接受照顧、幫助他們外出參與社會活動，菸葉更是老人家在地生活經驗的延續，完整提供失能、失智長輩高品質照顧，同時紓緩家人照顧壓力。
長青活力站及暖暖老人食堂更帶給社區健康長者健康、餐食營養，讓長者可以活力老化；中埔鄉的老人有福了!
也希望這樣整合性的照顧，可以在全國遍地開花，帶給全國老人更完整的照顧。

☎中埔日照與暖暖老人食堂相關服務請洽詢：05-253-1717或05-277-8388。

📌影／菸葉檢驗廠改造 「最美」日照中心誕生了！
https://udn.com/news/story/7326/3721480
📌日治驗菸廠變身日照中心 宛如文青咖啡館長輩讚「很美」
https://news.ltn.com.tw/news/life/breakingnews/2740489
📌菸葉廠變身日照中心 嘉縣最美照護場域誕生
https://tw.news.yahoo.com/菸葉廠變身日照中心-嘉縣最美照護場域誕生-065925207.ht…",2019-04-11 10:05:23,https://www.facebook.com/WYCLY9/posts/pfbid0taa1oG9Ks4VX3psv3dGpc2ktNgMEC3btpFMpkvQmbkYRKXJBSwqzyam7DidwubhXl
552,1036137006774202,"重懲酒駕！道路交通管理處罰條例部分條文修正案三讀通過，有七大重點

📌1.強制加裝酒精鎖，違者最高罰1萬2元❗
酒駕再犯經吊銷駕照後，未來再考照車輛加裝酒精鎖
駕駛未加裝酒精鎖車輛，或他人代為解鎖罰鍰6,000元至12,000千元
📌2. 拒檢、拒測至少罰18萬❗
拒檢、拒測罰鍰提高為18萬元，再犯罰鍰36萬元，第三次犯開始按次累加罰鍰18萬元
📌3. 駕駛酒駕，乘客每人最高可罰3千元❗
未滿18歲、滿70歲、心智障礙或汽車運輸業之乘客，不罰
📌4. 酒駕吊扣駕照期間加長❗
汽機車酒駕(未肇事)初犯吊扣駕照期間延長為1~2年
附載未滿12歲兒童或因而肇事致人受傷吊扣駕照期間延長為2~4年
📌5.酒駕再犯罰鍰累計加重❗
汽車酒駕再犯依所定罰鍰罰最高額12萬元，第三次犯開始按次累加罰鍰9萬元
機車酒駕再犯依所定罰鍰罰最高額9萬元，第三次犯開始按次累加罰鍰9萬元
📌6. 公共運輸駕駛人酒駕，可對業者加判3倍以下罰金❗
增加保障被害人的權益，汽車運輸業職業未善盡管理責任，執行業務中之駕駛人酒駕肇事，法院可加判三倍以下懲罰性賠償金
📌7. 調高酒駕罰緩❗
酒駕（未肇事）初犯，汽車罰鍰加重
汽車罰鍰提高為3萬至12萬元罰緩
機車維持原來的1.5至9萬元罰緩

希望所有飲酒者，酒後勿開車！",2019-04-11 10:06:51,https://www.facebook.com/WYCLY9/posts/pfbid037hmD3Q7DKw3s5Dbv3QXkA53qHto3N2uPWnqDYN5d5qu6hCqn3xBCKwqEXPMq6eoDl
1024,1036137683440801,"台灣社會工作專業人員協會30周年年會

社工專協30而立，過去努力建置了本土化經驗，也出版了許多專業書籍，作了許多社工教育，這30年來深耕在地工作，也歷經社工師法的立法、第二次的大修法，這一路走來，社工專協扮演很重要的角色!
近年社工界面臨的困境，例如:勞動條件、低薪的問題、回捐的問題，我在立法院都曾提出質詢要求禁止回捐，行政部門應該將補助款金額明確化。其次，薪資的問題，依公權力所委託案子，應該計算符合新的勞基法的勞動成本，不應該讓承接政府案件的團體還要募款，我要求衛福部三個月內檢討提出報告。還有社工的人身安全，如果社群有共識，希望啟動修法工作，將會快速完成修法。
目前台灣人口快速變化，社工佔有穩定的力量。作為維護社會安全網的核心力量，社會工作者的高流動率，動搖的是台灣社會福利的未來。社工除了需要熱情，更需要從制度面改善社工的勞動處境，我將持續與社工界一起努力!",2019-04-11 10:08:29,https://www.facebook.com/WYCLY9/posts/pfbid0DEjXUiiGWTHYXgFy5z6iszZpiJQ5e7RnYPcAe2XixLapxC5sgJpGRkzqFVNtmrfCl
