index,post_id,text,time,post_url
855,346328238719174,和潘孟安委員周大律師1月13日掃街拜票後合影,2012-01-19 23:29:30,https://www.facebook.com/photo.php?fbid=346328238719174&set=a.308126302539368&type=3
825,368662906547415,周春米 updated her cover photo.,2012-09-30 23:02:00,https://www.facebook.com/rice.chou.3/posts/1148604006039668:1148604006039668
843,10200326327026720,溫馨姐妹快樂迎新年°Happy new year.,2012-12-31 20:08:00,https://facebook.com/rice.chou.3/posts/10200326327026720
396,655418427824147,"周春米律師 在莫拉克風災的雙園大橋斷橋的時候
我請她一起參加義務律師團
協助受害家屬爭取國賠
她11年來也都在恒春服務處提供諮詢
讓鄉親能夠得到專業的服務

她常常遇到民眾不知道法律規定而受害
像是父債子還、夫債妻還 很多人都不知道
結果還沒出社會 就背負一大筆債務
律師也莫可奈何 因為法律就這樣定

但是我就覺得不對 法律有問題就應該改
所以我在立法院提案修改民法繼承篇
來解決這種不合理的問題
法案已經三讀通過了
咱的民眾也能夠安居樂業",2013-10-17 17:03:15,https://www.facebook.com/photo.php?fbid=655418427824147&set=a.124510380914957&type=3
782,559181997495504,"四年前的今天，應該是到國境之南做法律服務吧！

美好&單純&快樂的時光！",2013-11-30 15:17:00,https://facebook.com/rice.chou.3/posts/559181997495504
869,574653019278814,國際扶輪3510地區青少年領袖獎研習營,2014-01-22 11:03:04,https://www.facebook.com/wenhsin.pingtung/posts/pfbid02ezqRHj4aRYfFPskeEkAS4ALC1xWQThjQ8eSVkss1XqLhtir1NCiDHj6RyTyMWAUul
718,841077172572522,"原本跟妹子看電影是件很美好的事～
But~他是我妹⋯⋯

感謝 Rice Chou贊助電影票。",2014-05-11 15:54:00,https://facebook.com/rice.chou.3/posts/841077172572522
850,841129429233963,又再次感謝 Rice Chou 贊助可洗澡囉～,2014-05-11 18:21:06,https://www.facebook.com/photo.php?fbid=841129429233963&set=a.233845199962392&type=3
689,10204521113733766,"小店今天的招財猫!
真人版，可愛吧！
感恩林國強姑爺不計形象演出，
更謝謝周玲玲社長及社友姐妹捧場。
揪感心。",2014-07-15 15:14:50,https://www.facebook.com/photo.php?fbid=10204521113733766&set=a.1624698863277&type=3
815,820318031319256,正值暑假缺血荒又逢高雄氣爆，感謝大家挽袖捐出熱血，公德無量。,2014-08-05 01:08:24,https://www.facebook.com/permalink.php?story_fbid=pfbid07Db4M5uUzd24AwQqEhB4JukrsqpHngoVEKmXV7hCQNWKXWZpScuoXhsnyAXhnnJul&id=100000232012811
842,10204419717632054,兄弟倆在 Pepper Lunch 的快樂下午餐點,2014-08-16 16:00:00,https://facebook.com/rice.chou.3/posts/10204419717632054
858,837049396312786,慶祝中秋節晚會在P.P.Judy溫馨的家。,2014-09-05 23:17:00,https://facebook.com/rice.chou.3/posts/837049396312786
