index,post_id,text,time,post_url
2512,114975058573368,感謝淑芬的姊妹、淑芬的爸爸媽媽、淑芬的阿公阿嬤及淑芬的弟弟妹妹通通支持淑芬,2010-12-15 17:51:00,https://www.facebook.com/linshufen.fans/posts/114975058573368
2481,129826087078826,呼籲政府，應該全額補助學助學貸款的利息，不要讓學生脫貧的教育，變成製造貧窮的根源,2010-12-15 17:52:47,https://www.facebook.com/linshufen.fans/posts/129826087078826
2307,183605038319369,執政黨修訂都更只有一個方向「加速都市更新辦理」，試問「人民的財產權」誰要保障？難道公權力是用來協助財團強取豪奪嗎?,2010-12-15 17:55:23,https://www.facebook.com/linshufen.fans/posts/183605038319369
2141,168959926472812,食用海豹製品本來就不是台灣原本的飲食習慣，台灣也沒有吃豹油的飲食文化，加上海豹油中的Omega3的攝取也可從植物來源取代，所以根本就沒有非殺海豹不可的理由。,2010-12-15 18:02:09,https://www.facebook.com/linshufen.fans/posts/168959926472812
3958,169029879799391,,2010-12-15 18:24:29,https://www.facebook.com/linshufen.fans/photos/a.169029803132732/169029879799391/
2001,169086603127052,"霍加狓 Okapia

今天寶貝女兒教我的一件事，原來世上有一種動物叫做(霍加狓) Okapia
⋯⋯牠的腳有條紋，牠的舌頭是紫色的，很長
牠的身體是咖啡色，長頸鹿類
是非洲剛果雨林發現的。",2010-12-16 00:18:08,https://www.facebook.com/linshufen.fans/photos/a.169086599793719/169086603127052/
2285,111761745563924,媽媽手冊的印製是政府對婦女或胎兒的照顧，政府表面上說「孩子是傳家寶」，卻連基本的衛教手冊都發不足，根本是「口惠實不至」。,2010-12-17 13:45:33,https://www.facebook.com/linshufen.fans/posts/111761745563924
2108,170312556337790,"立法院國民黨開會的奧步詐術，
 如果沒有併案，主席可以誆稱時間不夠
只審查行政院版本後，送二讀會，
其他委員的版本自然就就無限期擱置
只審他們的版本，其他免談!!",2010-12-21 11:50:00,https://www.facebook.com/linshufen.fans/photos/a.169086599793719/170312556337790/
2172,170315563004156,"加夢棒???
爸爸睡覺的時候，
女兒說我來幫爸爸加夢
先把弟弟想吃巧克力的夢
夾到袋子裡
再用加夢棒吸出來
滴到爸爸的頭腦裡爸爸就會夢到吃巧克力!!",2010-12-21 12:11:31,https://www.facebook.com/linshufen.fans/photos/a.169086599793719/170315563004156/
2809,170341683001544,白賊出沒‧弱勢注意,2010-12-21 15:50:58,https://www.facebook.com/linshufen.fans/photos/a.170341653001547/170341683001544/
2812,170370799665299,可愛的迷你豬穿雨鞋,2010-12-21 19:40:14,https://www.facebook.com/linshufen.fans/photos/a.169086599793719/170370799665299/
1190,170595179642861,"◎21世紀的大惡法！！反新自由主義‧反促參法‧反ＢＯＴ

隨著新自由主義與私有化浪潮，政府自許與民間為協力夥伴，透過「促進民間參與公共建設」法源依據，賦予民間特許權，以BOT、ROT等方式，壟斷國家資源。國家建設階級化，公共服務成為商品，不當的促參將國家─人民權利義務關係，翻轉成國家─廠商─消費者關係，造成國家退位，公共利益淪喪，造成弱勢者買不起。

然而，本次修法，工程會無視於過去案例的問題，不僅大幅開放促參項目，甚至協助自行規劃促參案件縮短流程簡化程序！

明天交通委員會即將審議促參法案，淑芬將竭盡所能守護公共利益！",2010-12-22 14:48:05,https://www.facebook.com/linshufen.fans/photos/a.169086599793719/170595179642861/
1344,174410012592242,"看不見的原住民

政治人物眼中看到的人名字叫選票，政治人物分配人民納稅的預算是依據選票多寡，一個不到1萬人的山地鄉如何跟幾十萬人的都市城鎮爭寵，以得到政治人物的關愛眼神？在有限資源下，政客難道會良心發現地在山地鄉大舉建設？在數人頭政治下所謂的民主制度，就是這麼現實。馬英九喜孜孜引以為傲所簽署的人權公約，第1條開宗明義講民族自決，這又何等諷刺？曾經我沒看到這個問題，因為我沒看到原住民，即便自己的大嫂就是原住民，大哥就是原住民文化工作者。",2010-12-22 16:57:43,https://www.facebook.com/linshufen.fans/posts/pfbid0R6yZuw3y6LLBwAuT9GsERPpnEcckZcN39eB9ATARrCHVB2KyEBoYKu2Rap82bpF3l
2785,170644716304574,美麗的老台灣1954年,2010-12-22 19:40:00,https://www.facebook.com/linshufen.fans/photos/a.169086599793719/170644716304574/
2471,133205680073572,"大家都出去過聖誕夜了嗎？

先祝福各位好朋友有個平安快樂的聖誕節唷！
聖誕節快樂！",2010-12-24 23:39:06,https://www.facebook.com/linshufen.fans/posts/pfbid02AES5cochZP2XJ7gCfDVtL6rsrYxAxv1XnL7fFkbVBw4r9LK5aL9ANYpXS5VE3fjxl
2834,171248052910907,來一張鴨嘴獸寶寶,2010-12-25 01:08:16,https://www.facebook.com/linshufen.fans/photos/a.169086599793719/171248052910907/
1508,181228191906205,"◎關於NCC的傳聞
在年代綜合台開鍘後，今天立院有人說「NCC內部有鬥爭，分三派：蘇蘅一派，劉崇堅等一派，鍾起惠、翁曉玲等一派....」
我自己的觀察，的確NCC有分派：技術、資本派，及傳播法律派...

倒是，政治界對這件事，意見一面倒，叫做媒體資本(不管資本來自何方)、言論自由擁護派，就是少了人民那一派！

畢竟立委講話是需要傳媒關注幫忙傳播.....",2010-12-27 14:10:16,https://www.facebook.com/linshufen.fans/posts/pfbid0KDUYSxMcF9VUXWtTiEeo3ac1dtz1XMRjTcnMQmsqZm5HfTiV4ANZpS9tnQ6ZN1rsl
2745,171907899511589,網上看到的不知是甚麼動物??,2010-12-28 00:37:05,https://www.facebook.com/linshufen.fans/photos/a.169086599793719/171907899511589/
