index,post_id,text,time,post_url
2227,110591643765474,"民進黨不分區立委提名人｜洪申翰

長期任職於環境組織，投入能源轉型、環境治理等政策工作中。也擔任中央與許多地方政府的能源諮詢委員，協助政策規劃。

接下來在國會有新的角色任務，希望能成為促成台灣社會成功轉型的政治工作者。",2019-12-12 11:41:07,https://facebook.com/hungsunhan/posts/110591643765474
2226,110608317097140,"民進黨不分區立委提名人｜洪申翰

長期任職於環境組織，投入能源轉型、環境治理等政策工作中。也擔任中央與許多地方政府的能源諮詢委員，協助政策規劃。

接下來在國會有新的角色任務，希望能成為促成台灣社會成功轉型的政治工作者。",2019-12-12 12:14:03,https://facebook.com/hungsunhan/posts/110608317097140
55,110462593778379,"#粉專剛成立麻煩大家分享出去 💥
【靠「器官移植」苟活的核四，韓國瑜居然想重啟❓】
　
昨日，監察院通過核四糾正案，指出核四一號機封存前，因零件與備品停產，所以擅自在一號機零件壞損時，大量移用二號機設備「器官移植」到一號機使用，一、二號機共缺少602個零件，且經濟部也證實核四一號機及二號機確實皆缺材料。

結果今天，韓國瑜國政顧問團卻繼續大言不慚的說，核四安全受到諸多質疑，但只要透過科學解釋，謠言就可以獲得澄清。
　
➤請問韓國瑜，這份監察院的糾正報告，你們要怎麼澄清？
➤杜紫軍你當經濟部長的時候，為何無法解決？
➤還想靠一張嘴天花亂墜，來解決真實的工程弊病？
　
▶︎ #核四買不到備品，拿人命開玩笑！
　
核四共有兩個機組，因為弊端不斷一直難以完工，在工程與測試過程設備組件發生損換，許多組件國際上的供貨廠商已不出貨，必須 #拔二號機零件給一號機使用，就像「器官移植」一樣，才能苟活。
　
封存前，一號機因測試設備損壞而移用二號機相關設備，讓二號機缺料共311個設備組件待採購；封存後，一號機仍有設備損壞，而再移用二號機相關設備，致使二號機再缺料146個設備組件，目前共457個缺料待採購。另外，一號機設備又再損壞，但二號機已無相關設備可移用者共145個缺料待採購。
　
按監察院調查，若真的重啟且缺料未備齊，恐影響核四廠一號機與共用系統該設備所屬69個系統之試運轉測試程序書共111份，其中涉及安全相關系統需送原能會審查計76份（39個系統）。
　
用白話來說，核四如果運轉，在如此買不到、缺乏必要備品的狀況下，很可能會把 #設備操到該修不修該換不換，更嚴重影響機組安全。
　
監察院這份報告，就是核四工程管理品質低劣的鐵證！
　
▶︎ #核四周邊發現活動斷層新事證❗
　
核四周邊十公里內有活動斷層，臺大學者判斷耐震建廠係數嚴重不足！
　
今年，中央地質調查所召集國內地質專家，審查台電的核四海域地質報告，確認 #十公里內 至少存在連成一條 #40公里以上的活動斷層新事證，同時此條活動斷層也可能再向外延伸至90公里。根據此項被環團與學者揭露出來的結論，臺大地質系陳文山教授判斷，目前核四的0.4G耐震係數與設計遠遠不足，不可能啟封安全運轉。
　
核四弊端不斷早已不是新聞，不管是工程品質或地質風險，都在在顯示核四是一個近乎 #不可能安全的核電廠，只是一個錢坑大黑洞，豢養不死心的核工利益集團。若不認陪殺出，只會讓台灣付出更大的代價。
　
但可怕的是，即便核四千瘡百孔的事實已擺在眼前，擁核陣營與國民黨總統候選人韓國瑜仍舊吵著要 #重啟核四，刻意忽視安全問題炒作核四議題，為自己的政治利益為反而反，我真的必須問一句：
　
「韓國瑜，你怎麼敢如此把台灣帶進核災中，這就是你的苦民所苦嗎？若發生意外，你一樣只會『溜之大吉，酸』嗎？」
　
【參考資料】
　
監院糾正核四「器官移植」，經濟部證實：2機組確實均缺料：
http://bit.ly/38wFf7u
　
公布活動斷層最新事證 學者：核四耐震係數遠遠不足「怎麼重啟？」：
http://bit.ly/35cyoOt",2019-12-12 12:16:53,https://www.facebook.com/hungsunhan/posts/pfbid0FJ6iaXidhZnc3P1KJzLAZku6FbD2Kynid2RRzMne7s1EgMy54t9U32D95jjctRt5l
2302,111024437055528,"【海選洪申翰照片！】
　
因為洪申翰平常都不愛拍照，小編向他要照片時，他會從自己臉書下載別人標注他的照片，小編感到很困擾，在此徵求洪申翰的照片，感謝臉友大力相助！
　
無助小編",2019-12-12 20:25:50,https://www.facebook.com/hungsunhan/posts/pfbid026cy4XckmGTMhCBxwSRpZkFyipFfpunzo8AckkmHwJzkVcBGYLPaQ8REZF135EUv8l
1053,111847440306561,"【韓營宣布重啟核四　洪申翰批把台灣帶進核災】

昨日，監察院糾正核四廠「器官移植」缺料，不過國民黨總統候選人韓國瑜昨日卻表示「#當選後重啟核四」，其陣營更指出，科學數據可以表明核四廠安全。

民進黨不分區立委提名人洪申翰指出，監察院報告已經表示核四工程管理品質低劣，質問韓國瑜怎敢把台灣帶進核災。

洪申翰表示，韓國瑜國政顧問團大言不慚說「核四安全受到諸多質疑，但只要透過科學解釋，謠言就可以獲得澄清」，他質疑，監察院的糾正報告，#韓陣營要怎麼澄清？並點名一起舉行記者會的杜紫軍，為何在 #當經濟部長時無法解決？

洪申翰表示，核四因為弊端不斷一直難以完工，在工程與測試過程設備組件發生損換，許多組件國際上的供貨廠商已不出貨，必須拔二號機零件給一號機使用，就像「器官移植」一樣，才能苟活，目前二號機共457個缺料待採購，而一號機設備又再損壞，但二號機已無相關設備可移用者共145個缺料待採購。

用白話來說，核四如果運轉，在如此買不到、缺乏必要備品的狀況下，很可能會把 設備操到該修不修該換不換，更嚴重影響機組安全。

「韓國瑜，你怎麼敢如此把台灣帶進核災中，這就是你的苦民所苦嗎？若發生意外，你一樣只會『溜之大吉，酸』嗎？」

報導全文：https://www.storm.mg/article/2055579

STORM.MG
韓營宣布重啟核四　洪申翰批把台灣帶進核災-風傳媒",2019-12-13 12:11:24,https://facebook.com/hungsunhan/posts/111847440306561
1199,112096600281645,"這是在我接受民進黨提名為不分區候選人後，#第一篇專訪📣，談到對於未來的工作設定與想像，尤其是對於「#轉型」的想法與觀察。

專訪節錄：

洪申翰說，轉型的過程遇到問題很正常，但重點在於怎麼樣提高解決問題的能力，提出更多解決問題的方案和路徑，「從這個角度去思考，我覺得國會議員也許是一個可以嘗試的角色。」

對於未來的政治期許，洪申翰說：「我不會把自己設限在環保立委而已，#轉型是我一直很關注的議題。」他認為，自己過去從事能源轉型的判斷和經驗，也許可以用在其他轉型的經歷上。

身為35歲的青年參政，洪申翰對政治提出了一個迥異於「老人政治」的年輕人思維。他說，青年關心的是未來，而非只著眼於眼前，是一種「#從未來的情境去想像，#回推到現在的思考，你願意真實地、明確地從現在開始做些什麼，來改變未來。」

例如，如果氣候問題只剩下10～15年的時間可以積極行動，錯過就很難救回來，「那是否該回推，我們現在該做什麼，以避免那個未來真實發生？」

⏥ 專訪全文｜
環保不分區／洪申翰：不設限環保立委　更關注轉型：
http://bit.ly/2PEdIsl

UMEDIA.WORLD
環保不分區／洪申翰：不設限環保立委　更關注轉型 - umedia 優傳媒",2019-12-13 18:05:52,https://facebook.com/hungsunhan/posts/112096600281645
469,113454733479165,"【🔥中火爭議｜關鍵在未來的減煤路徑，不要每天只想找架吵🔥】
　
台中市府今日再度因台中火力發電廠用煤量超出核准使用量，而依《台中生煤自治條例》開罰台電600萬元。對此我認為，除持續加深力道減煤是優先之事外，台灣人民應一同關注減煤的 #中長程路徑，並辨別將「談空汙減煤」與「重啟核四」相綁的政客行徑。
　
💥勿以政治鬥爭，模糊減量的「中長期路徑」！
　
中火現在的減煤爭議，經歷台中生煤自治條例在不同地方執政黨的各時期操作，變成難以切割責任的複雜產物。但最關鍵的，並非現在以政治邏輯被挑起的爭鬥，而是明年之後，如何持續再往下減量的中長期路徑，這才是我最關心的事，也才是最該被聚焦的事。
　
不管從空汙、氣候或是綠能發展來看，持續加深力道的減煤都是非常優先的事。但這 #轉型需要累積有利條件，包括減煤最大化調度的機制化、價格工具的靈活使用、各種輔助服務工具的順利上路、需電量的抑制，以及燃氣、綠能設置如何從治理層面降低社會衝突，都是關鍵的變因，未來沒弄好就都會變成路障。
　
這些問題要解決，絕對需要中央、地方甚至民間都全力投入，甚至互相協力不架拐子，來多創造有利條件，否則再怎麼承諾的效力都有限。
　
💥解決空汙民生問題，還是想讓 #核四復辟？　
　
但在這之間最優先需辨認出來的，絕對是那些表面談空汙談燃煤，實質上是想讓核電復辟來重挫政敵的政客。
　
中國國民黨總統候選人韓國瑜，近日又提「重啟核四」，不僅忽略 #核四零件停產短缺 及 #周邊斷層問題，更試圖在打壓再生能源的情況下，將台灣電力供應鎖在燃煤與核能上，而這些從來不是界定問題跟提出解決方案行為，只是意圖將台灣所有的能源問題，都沒邏輯地導引到七、八年內根本難以運轉、弊端重重的核四。
　
如果按照國民黨的意圖，請問是要到七、八年後，核四危險運轉後，再開始減煤嗎？不要開玩笑了。台灣的能源政策與方向，需要真正能解決問題的對策，尤其是中長期的減煤路徑，這才是台灣需要的能源方案！",2019-12-14 18:57:36,https://www.facebook.com/hungsunhan/posts/pfbid02JV6madLgveR4kNReqZgmtkFmxyUMDes2baCenSXdRMHLYcYQ5zmoRyQuoMedaTc3l
1172,114208053403833,"【✊一起來「新竹縣環境公民論壇」挑戰、支持周江杰！】
　
要在選戰最激戰的時候，在地方辦如此環境與政策的討論會，真的是非常不容易的事，這也顯示了 周江杰 一支旗一直騎 這些年一直在現實政治環境與理念中，尋求平衡與空間的努力。
　
很希望二月可以跟江杰一起進到國會，並肩作戰，一起找到路來走！
　
另外，12月18日這場活動，我也有受邀一起參與，跟在地鄉親學習，更希望能做出我的一份貢獻。
　
【📣新竹縣環境公民論壇】
　
⏥ 時間：12月18日 11:50～17:00
⏥ 地點：新竹線新埔鎮義民廟的西側廂房（義民路三段360號）
⏥ 個人報名表單：https://reurl.cc/K6vlZj
⏥ 團體報名表單：https://reurl.cc/lLMyx9
　
〖活動流程〗
11:50～12:10 活動報到
12:10～12:40 活動開場與資料導讀（節省時間關係邊吃邊聽）
12:40～13:40 分組討論｜新竹重大環境議題（以鄉鎮為原則分組）
13:40～15:00 各組分享暨全體討論彙整
15:00～15:20 休息
15:20～16:00 形成新竹縣立委承諾議題清單
16:00～17:00 候選人回應
17:00～  圓滿結束
　
1月11日，把周江杰送進國會！",2019-12-15 21:47:28,https://www.facebook.com/hungsunhan/posts/pfbid02SK5yu7mpA64tfmGGvKzcuHv6hgESxQKdE88FcynpCHJKJnRmtYsdmRuWjbQ45Gu3l
2068,115631539928151,"3.14 圓周率！
總統票投③、政黨票投⑭！
　　
今早，我與民進黨副秘書長 林飛帆、青年部主任 吳濬彥Wu Jun Yen 及不分區立委 周春米 立委，一同前往進行「不分區立委選舉政黨號次抽籤」，並由副秘書長抽出：14號號次！
　　
1月11日，台灣人民一起「票投14 ，實在做事」！
　
轉型Ｘ環境Ｘ未來
民進黨不分區立委提名人｜洪申翰",2019-12-18 18:01:50,https://www.facebook.com/hungsunhan/posts/pfbid02QFHNxnq3jecY9DdRXqRPosZpW3nMNbZvQuKZ67A3DoyKaWBw5aD3z8qg4uDTmi4Yl
171,115775333247105,"【用肺發電？韓國瑜空污廣告不讓你知道的真相】
　
今晚，國民黨總統候選人韓國瑜公佈一支10秒的空污廣告，「台灣，你還好嗎？還要再用肺發電四年嗎？」，廣告在電視上強打，指控蔡英文政府的能源政策這幾年都在「用肺發電」。
　　
緊接今晚第一場總統政見發表會，韓國瑜又用「肺都要爆了！」來攻擊現在的能源政策。
　
不要被韓國瑜跟國民黨這些騙子給騙了。
　
讓我來告訴你真相：
　
#三年多內降接近過半空汙排放量！
　
要談空污，就拿數據出來談。為了捕捉排放變化的整體趨勢，把台電所有火力電廠主要的空污排放物（包括硫氧化物、氮氧化物跟粒狀物）加總起來，在2015年國民黨執政時，台電空污排放物加總約10.3萬公噸，但經過三、四年的努力，2018年台電空污排放量開始降至7.8萬多公噸。這樣的加總雖然不是最專業的統計呈現，但還是可以清楚地看出大幅下降的趨勢。
　
2019年加總的空污排放物預估將可以降到約5.6萬公噸，預估跟國民黨執政的2015年比，減了45%，減少到2015年的55%，而明年，應該還可以降更多。
　
為什麼會有這樣的改善？
　
這兩三年來，因改變不同發電方式的調度順序，以前是燃煤發電優先，但現已儘量少用最舊污染排放最多的燃煤機組，儘量優先使用較少排污的天然氣及超超臨界燃煤機組來供電，還有盡力提升太陽光電與風力發電等等最乾淨的電，所以讓今年火力機組排污大幅降低。
　
接下來綠能會更多，火力發電污染會再更少！
　
台電所有火力電廠的空污在這三年多來，都快減半了，為什麼韓國瑜不告訴你？
　
#2015主政的全是韓國瑜國政顧問團的最核心
　
火力電廠空污量是現在快兩倍的2015年，當時國民黨執政的團隊，行政院副院長是張善政、經濟部長是杜紫軍、環保署長是魏國彥，這些人 #全都是現在韓國瑜國政顧問團 的最要角，正準備東山再起。
　
若現在的空污與能源政策被指控是「用肺發電」，那上面這些前政務官主政時的能源政策，火力發電空污排放 #是現在快兩倍，不用切腹自殺嗎？
　
不管是空污問題或能源政策，執政者都有做得更好的空間，社會大眾也有權要求更好更乾淨的空氣，執政者更該時時檢討。但是，對不起，國民黨這票人，長期把台灣電力結構綁死在核、煤發電，他們就是製造問題的人，他們長期耽擱綠能發展，甚至到現在還說要少用綠能，違背國際趨勢。
　　
這些人，一點都沒有資格指控「用肺發電」！
　
⏥ 韓國瑜電視廣告：https://reurl.cc/yyaENy",2019-12-18 23:58:05,https://www.facebook.com/hungsunhan/posts/pfbid02u1FQY8tviwdFQSzWbsdUHeQ5Lk3NbAu9Gm4hB3CSckdiUysbwrJdrZXsci2fz3NKl
