index,post_id,text,time,post_url
4194,341655172590427,"發現新榮路和光彩街交叉口有道路塌陷，

形成一個頗深的大洞，請用路人小心，

將會聯絡相關單位盡快處理。

~王美惠市議員關心您~",2012-08-15 23:34:03,https://www.facebook.com/ahueimoto/photos/a.341655165923761/341655172590427/
2979,342259602529984,"今天早上六點半接到民眾來電，說是出了一場車禍，

馬上穿上衣服便出門，處理完回服務處的路上，

在「垂楊路和文化路交叉口」又遇到一起車禍，

就留下來協助，

同時間也發現早上的垂楊路容易產生光線死角較危險，

希望大家出門上班、上學、運動......的路上，

務必要多加注意，好好保重自己的身體。

~嘉義市議員王美惠 關心您~",2012-08-17 16:37:17,https://www.facebook.com/ahueimoto/photos/a.341655165923761/342259602529984/
3721,342548069167804,"三天前(2012.0815)的破洞已經有施工單位前來處理，

希望大家經過「光彩街和新榮路交叉口」要小心，

施工負責人說今天便能處理好，

之後就可以給大家一條安全的馬路了。

~嘉義市議員王美惠 關心您~",2012-08-18 12:03:00,https://www.facebook.com/ahueimoto/photos/a.341655165923761/342548069167804/
3473,344067995682478,"日前光彩街和新榮路交叉口已整修完畢，

隨即而來是天秤和布拉萬雙颱，

請各嘉義市居民提前檢查自家排水孔是否堵塞並清理，

以避免淹水，外出時請小心安全，隨時注意天氣預報。
(左圖為垂楊路人行道淹水照片，請用路人小心)。

~嘉義市議員王美惠 關心您~",2012-08-22 18:00:41,https://www.facebook.com/ahueimoto/photos/a.341655165923761/344067995682478/
4291,369959866407561,"嘉義市明日，8月24日(五)，停止上班上課，

請嘉義市市民務必小心安全，避免外出，嚴防豪雨。

~嘉義市議員王美惠 關心您~",2012-08-23 22:16:13,https://www.facebook.com/ahueimoto/posts/369959866407561
4590,346950682060876,立法委員 王美惠 updated her cover photo.,2012-08-30 15:49:45,https://www.facebook.com/ahueimoto/posts/602550221310833:602550221310833
3625,347350932020851,"嘉義市下午開始大雨不斷，

造成文化路、西榮街、國華街部份路段淹水，

雖然現在水位已退，依然請民眾多加注意。

[稍早已有和承辦單位人員(右上圖)一同會勘，
要求他們要盡快改善的排水問題。]

~嘉義市議員王美惠關心您~",2012-08-31 16:14:01,https://www.facebook.com/ahueimoto/photos/a.341655165923761/347350932020851/
4742,218990901562572,,2012-08-31 16:15:46,https://www.facebook.com/ahueimoto/posts/218990901562572
4492,387487927983064,"憤慨不平，油電雙漲，人民生活難過，

中油居然還有五億蓋訓練所！！實在讓人無法苟同！！",2012-09-04 15:04:08,https://www.facebook.com/ahueimoto/posts/387487927983064
3613,349674645121813,"今天北榮街和文化路口進行開挖工程，

發現北榮街水溝底破裂，會即期施工，

之後市府土木科和下水道科會在開挖民權路和文化路口，

來商討淹水原因，並盡快排除，

在此也提醒行經的民眾要小心安全。

~嘉義市議員王美會關心您~",2012-09-06 15:49:12,https://www.facebook.com/ahueimoto/photos/a.341655165923761/349674645121813/
