index,post_id,text,time,post_url
3117,107518167479883,立法委員  羅美玲 updated her profile picture.,2020-02-04 11:11:46,https://www.facebook.com/lowmeiling0501/posts/107518167479883:622039266168124
2723,107653314133035,"各位親愛的朋友們
新住民立法委員羅美玲服務粉專即日起正式上線！！！
誠摯邀請大家共同分享委員生活中的大小事
也歡迎各位多多指教
讓美玲委員的服務團隊能更確實看見各位朋友的需要、提供更完善的服務❤️❤️❤️　（＃西編）",2020-02-04 14:19:49,https://www.facebook.com/lowmeiling0501/posts/pfbid0vqWgM2S18xCKJgMjaYxurYYnpYB2ttuvq86xKesobTceNNqS6WtqgevNu6DQyGTyl
1395,107673330797700,"【口罩購買－公平原則下，被遺忘的一群人】
2月6日起，政府實施口罩實名制販售，民眾憑健保卡可至健保特約藥局購買口罩，每人限購2片，但是有一群沒有健保卡的族群被遺忘了!!!
來台定居或因婚嫁來台未達6個月之配偶，依現行健保法規定，並在臺灣地區居留滿六個月起，才能參加全民健康保險，換言之，這些尚未加入健保的新住民都無法納入目前政府所實施的這項政策，這對防疫來說是一個很大的漏洞！
美玲第一時間聯繫移民署並了解未持健保卡之新住民人數，並要求盡快提出配套措施，另也聯絡疾管署重視相關問題，經由2月4日移民署回應將針對新住民防疫權益向疾管署提案，進行相關配套措施之檢討。
希望政府防疫相關部門，確實做好把關的工作，不要讓防疫出現缺口！",2020-02-04 14:49:47,https://www.facebook.com/lowmeiling0501/posts/pfbid02AvQPiyrDLnzvm1ESicfXWR2gTduz1RnaYvyGCQqtk6UZi3s4Jefb4otdfnm4LM4rl
2459,108151764083190,"陳時中部長這段日子以來可以說是心力交瘁，陳部長與站在第一線的防疫人員很辛苦，你們的努力國人都看到了，謝謝你們!
#多一點鼓勵少一點口水
#大家共體時艱共渡難關
https://m.facebook.com/story.php?story_fbid=2726000584136438&id=100001795695002",2020-02-04 23:11:29,https://www.facebook.com/lowmeiling0501/posts/pfbid0Fhgx8n29uMwJCKsfynCWt4DZDz7iTzyNtsH6NNbCr4nPLpaeg1dND38KtBP1FF5yl
1937,108957764002590,"關於在臺居住未滿六個月、尚未取得健保卡的新住民
無法購買口罩之問題
昨天與移民署及疾管署溝通聯繫
相關單位緊急召開會議
昨日晚間健保署確認
外籍人士與未取得健保卡的新住民皆可憑身分證件 (居留證、入出境許可證、護照)至健保特約藥局購買口罩
藥局會採人工方式登記
外籍人士仍須依個人身分證件號碼尾數配合購買分流機制

感謝相關單位在我們的服務團隊積極溝通之下
迅速提出應對方案
確實聽見人民的聲音
解決人民的需要
再次向所有第一線的防疫人員致上最高敬意！（＃西編）
＃臺灣加油",2020-02-05 17:03:58,https://www.facebook.com/lowmeiling0501/posts/pfbid02pTwjTyWW6w9eAhiUFVvrSGBC58Hxtd353hYiWoQqwhLyJJt5PKLN7krZX6PFkuunl
3034,111193870445646,"呵呵嘿嘿呵呵的部長好可愛～(衛服編編也好可愛😝
第一線所有防疫人員辛苦了！
大家務必記得勤洗手哦！(#西編)",2020-02-07 11:33:24,https://www.facebook.com/lowmeiling0501/posts/pfbid0VQjoWxrLbYypU86tWh6fefhBJkU9AMLcfcL9nBNepopcHM9nJuQ3KFNvb9PZCT83l
977,111205743777792,"【韓市長，加油好嗎？】

高雄市政府昨日(6日)下午召開武漢肺炎疫情應變指揮中心會議，針對在臺未滿六個月之新住民無法以健保卡購買口罩一事提出質疑。

但在2月4日下午，中央防疫會議已決議可憑身分證件（居留證、出入境證明及護照）購買，高市府此舉顯現並未同步關注中央所發布之政策動向。在這個人心惶惶的時間點，呼籲地方政府執行防疫措施時應即時更新防疫資訊。

我們服務團隊於2月4日上午連繫移民署、疾管署及食藥署等相關單位，要求就在臺尚未滿六個月之新住民購買口罩擬定應對措施。當天傍晚中央防疫會議即作出「尚未領有健保卡的新住民可憑居留證等相關證件到健保特約藥局購買口罩」的對策。

根據移民署所提供的資料顯示，目前持有居留證，但居住未滿六個月（含中港澳）之新住民人數為8153人。

韓市長，加油好嗎？（＃西編）

新聞連結：https://pse.is/PZ3ZA",2020-02-07 11:51:00,https://www.facebook.com/lowmeiling0501/posts/pfbid036xBqsJL34zsumyp3898up4PMquwyVxQ5CKevQ9by7o7XiN9Ay1foy6ezDZkbSKk2l
2450,111492637082436,"❗️要傳缺貨謠言之前，請先傳好三十萬❗️

🧻 衛生紙是用紙漿做的，原料從南美進口，不是中國

😷 口罩是用不織布做的，是塑膠製品(PP)，台塑在台灣就有工廠在做

💰 擴產口罩不可能影響衛生紙。衛生棉、尿布也都不會缺料，現在去搶去囤，反而虧錢

👮‍ 根據刑法251，意圖抬高民生必需品的交易價格，最高關三年、罰三十萬",2020-02-07 17:18:35,https://www.facebook.com/lowmeiling0501/posts/pfbid02J2LwfSi79q21AVvUVXcDjNXKnRJdT2h6jBac9YdYBReXyoDGi8sBRVLSiABHznpPl
2728,112895436942156,"今天是元宵節，大家都有吃元宵了嗎？

立法委員羅美玲與服務團隊祝福各位朋友，元宵節快樂，天天都平安幸福唷！

#小編以為吃元宵長一歲
#沒想到是冬至吃完已經長一歲了
#不管有沒有長一歲
#祝福大家永遠18歲
#南編",2020-02-08 19:57:15,https://www.facebook.com/lowmeiling0501/posts/pfbid0WshoLe2zsNzM6ELUwuEBaf5xBwSHf7ai5CiWfx7JHFrUTvZusvSRiNyAgFqzHB5ql
1736,115318913366475,"【我們全力支持中央流行疫情指揮官的決定】

新住民也是台灣的一份子，我們有義務為這塊土地的防疫盡最大的努力！
我們來自不同的國家，在母國都有親屬、家人
理當會擔憂親人的健康安危
但在這個防疫關鍵期將家人帶來臺灣
這對於臺灣的防疫工作會是極大的挑戰
臺灣的醫療體系未必能負擔如此龐大的人數

我們還是要以臺灣2300萬人的健康為首要考量
期待全體新住民都能體諒中央的決議
也期許所有人能共體時艱、度過難關

新聞連結：https://www.cna.com.tw/news/firstnews/202002125004.aspx",2020-02-12 15:07:22,https://www.facebook.com/lowmeiling0501/posts/pfbid059TW8cybU37DjKM5u8T8YAh444rir26oS7tSRst4f4tNDAtXpwJtjuVsFVagA2R5l
