index,post_id,text,time,post_url
3565,10155100925966065,"5+2不是口號，5+2是國家產業的創新與再發展。經過兩年的努力，國家正在正確的軌道上加速往目標前進，各項成果也陸續呈現。

今天開始，我將展開5+2產業創新系列行程。一起來看看轉型前進的台灣。

#五加二產業創新
#綠能科技
#亞洲矽谷
#國防產業
#智慧機械
#生技醫藥
#循環經濟
#新農業",2018-04-27 09:12:28,https://www.facebook.com/tsaiingwen/posts/pfbid0L1LvfJz3ziqPyd84ULBobAeDWuH3xmjf44UzxLEs4u3yGwKEADSYCyJZ1tfKf3gBl
3585,10155101300556065,"＃五加二產業創新系列行程，第一站在台灣的亞洲航空，看到世界級的飛機維修能量。

國機國造，國機國修。不只要自己的飛機自己修，還要打國際盃，邁向國際市場，修別人的飛機。我們要以台灣為基地，成為窄體客機和直升機的亞太維修中心。

亞洲航空這兩年來增聘了200名員工。國防產業，正在創造就業。",2018-04-27 13:08:43,https://www.facebook.com/tsaiingwen/posts/pfbid027nZznmrZSwcUy7EeG2CBFUXFPesemor2hB4jpvrMz4pCZgs2YbVUNLLB8gyzsqMXl
3379,10155101645971065,"漢翔和晟田是台灣航太產業的主力廠商。因為政府國機國造的政策，他們都在擴充研發和生產的能量。

兩年來漢翔陸續招募七百多個年輕工程師，未來還會增加更多。晟田積極導入智慧製造，提昇零組件品質，並把眼光放向國際。透過參與軍機研製，他們現在也更有能力爭取民用航太市場的訂單。

產業正在轉型，轉型創造就業。這就是5+2產業創新帶來的改變。

＃五加二產業創新系列行程",2018-04-27 19:35:43,https://www.facebook.com/tsaiingwen/posts/pfbid02L6uuiRaPuz8Zm8fy4JGF9Ddd8cxLfdThj1o4YpXX46K8MBLY5w2YKnU2WFSBnmiZl
3177,10155101755851065,"兩韓領導人會面是區域中的大事，我們的國安團隊一直保持密切關注。身為區域中的一員，我們也非常期待區域內的每一個國家，都能克盡責任，維持區域的和平穩定，同時也希望兩韓領導人的會面，是未來走向區域穩定的重要一步。

媒體朋友問我，會不會期待跟對岸領導人會面。

執政以來，我們的立場很一致，任何有助於兩岸的和平穩定，我們都願意來做。只要是沒有設政治前提，而且是對等的原則之下，我相信沒有任何一個台灣總統會拒絕，我們也樂見跟對岸的領導人見面。",2018-04-27 21:13:25,https://www.facebook.com/tsaiingwen/posts/pfbid0vHqnmVCTkZCfckXG97xDGgBaoqri5TEz9zV4wGLUiQKgKD1EJh1ZYG85BKQc6uFZl
3536,10155101873241065,"她是凱婷，亞航的員工。以前她在台北工作，她的先生則在台南工作。但是因為「國機國造」政策的推動，亞航提供了優質、在地的工作機會，讓凱婷可以在台南就業，跟先生團聚。不過最值得恭喜的，是凱婷快要當媽媽囉。如果不是5+2產業創新，這個故事可能不會發生。

#優質就業安心成家
#五加二產業創新系列行程
#國機國造",2018-04-27 22:39:55,https://www.facebook.com/tsaiingwen/posts/pfbid0ejSQeqpidjx14gysQe8e53JBrskiYwZfjxk15gfxYp1uX78QD5xBkJjXgKsZnFJcl
3652,10155102834121065,"早安！高雄！

今天一早，我在鳳山跟陸軍官校的學生們一起吃早餐。這裡不僅有收我們的台灣學生，還有來自非洲友邦的國際學生，不同國家的年輕人在這裡可以一起上學受訓，應該是很棒的體驗！

今天是假日，吃完早餐大家就可以休假了，但我要去參加海委會在高雄的成立典禮啦！",2018-04-28 09:46:19,https://www.facebook.com/tsaiingwen/posts/pfbid0x2KGPBCDh5XNeSRHSqkVdJJknTudiaXmneRaPuG6Qw3fMQeF7BuGEoEZBocjFzywl
3246,10155103080191065,"海洋是台灣最重要的出路

今天我和 賴清德院長、陳菊(花媽)秘書長，都一起來見證海洋委員會的成立，代表我們對海洋事務的最高重視。

作為一個海洋國家，過去，我們的海洋事務卻被分散在22個機關裡面。籌設專責機構的工作從2004年就開始，歷經2次政黨輪替、3位總統，今天終於跨出重要的一步。

我們也持續在南部推動 #五加二產業創新，創造更多優質工作機會，年輕人就能夠在地生活，成家立業，也讓台灣的區域發展更均衡。",2018-04-28 13:45:53,https://www.facebook.com/tsaiingwen/posts/pfbid02PzDMsmEYykzCHkyTmAFpwSS8kxYucdKnqgBgBPo53LjGFv86sMz9VknNz4pyp8Vkl
3156,10155103320151065,"「有快樂的雞，才能生出健康的蛋」，這是石安牧場的理念。

我們今天來到養雞場卻看不到雞本人，只聽到雞的聲音。藉由嚴格的衛生防疫的管理以及對動物福利的重視，石安牧場產出最棒的雞蛋。不只雞蛋品質很好，牧場還把雞的糞便和污水收集起來，投入沼氣發電和製成肥料。

石安牧場是新農業、循環經濟、綠色能源三合一的典範。我們正在透過這種三合一的策略，推動台灣的畜牧業升級轉型。

#五加二產業創新系列行程
#綠能科技
#循環經濟
#新農業
#連💩都不放過",2018-04-28 17:51:51,https://www.facebook.com/tsaiingwen/posts/pfbid0wAjX9vuSNYM9hajSfyA4cQFCez6nm84256ojP55xADg1NTjZNYc6HuMaoHv9k37Bl
3699,10155106890421065,"一場大火讓我們失去了五位消防弟兄，和兩位移工朋友的寶貴生命。握著五位消防英雄家人的手，家屬告訴我，他們不希望讓弟兄們白白犧牲。他們的心情我能體會，答應他們的承諾我一定會做到。
現在，還有兩位弟兄在跟傷勢搏鬥，請國人一起為他們祈福加油。",2018-04-30 14:10:52,https://www.facebook.com/tsaiingwen/posts/pfbid0gQxqVpoTfmDwfhEUpMtEfrcfWKHRF7EoScJow9szAh2JkZzK1yxieCL9SK11mRgXl
1664,10155108603216065,"我們今天上午和多明尼加正式終止雙方的外交關係。大家都心知肚明，這是北京當局對台灣再次的打壓。

我們要團結，政黨的利益不應該大於國家利益，朝野務必要放下成見，一致對外。
 
無論是軍機、軍艦的繞行，或是外交上的打壓，都是對兩岸關係不友善、破壞性的做法。只會讓台灣人民因此感到失望，徒增兩岸關係的變數。
 
這些作為，已經實質破壞了兩岸關係的現狀。不尊重台灣的民主體制，片面改變台海穩定的現狀，不是中國要作為一個區域負責任的大國，應該有的做法和態度。

我們確實面對嚴峻的外交情勢，但是我們不會以犧牲主權、犧牲人民尊嚴的方式，去委曲求全。
 
我們會持續堅定捍衛國家，守護台灣，保護自由民主的生活方式。我們不會容許這些基本價值受到威脅，這是政府不變的使命。
 
2016年我當選總統，台灣人民用選票告訴國際社會的答案，就是尊嚴、自由和民主。外面的壓力再大，我們都不會屈服，台灣會繼續走向世界，我們的決心不變。",2018-05-01 11:57:28,https://www.facebook.com/tsaiingwen/posts/pfbid0QqMnAx8CLcoVB8oJ5u68Y1jaceRfTHHZJYeP4LPb8xfm9FX8J3T6m9KgPPxNdTXHl
