index,post_id,text,time,post_url
6081,267051746665031,今天基隆競選總部成立，我擔任主持的工作，民眾熱情參與，感謝大家,2011-10-29 21:17:10,https://www.facebook.com/keelungING/photos/a.267051743331698/267051746665031/
6250,298158153554390,各位好友，happy new year,2011-12-31 19:09:08,https://www.facebook.com/keelungING/posts/pfbid02RcMMYktyiWcyWwShykUEAvowsvAoJfe5YM7c51Po4qDyocK6TgwouhGczJbgnwdpl
6150,607096102660592,蔡適應 updated his cover photo.,2013-12-18 13:38:08,https://www.facebook.com/keelungING/posts/747544329872551:747544329872551
6301,607487649288104,黃色小鴨搶先報-基隆海洋廣場,2013-12-19 15:01:17,https://www.facebook.com/keelungING/posts/pfbid01Lk4cZNsZ29GsS8vkEkV1HAhpaHGRgt68zLA1GgJu8ZzgKFYvAcyxCC5jaJzfFFAl
4,617172504986285,"近日（2014/01/10）紐約時報旅遊版出刊介紹2014全球52個必玩景點。台灣名列第11名。其中特別介紹基隆八斗子漁港及海洋科技博物館。這也算是基隆的驕傲吧！

--------------------------------------------------

52 Places to Go in 2014

 Witness a city in transformation, glimpse exotic animals, explore the past and enjoy that beach before the crowds.

11. Taiwan

The traveler who wants to do it all should consider Taiwan. This island, roughly the size of the Netherlands, has an easy-to-navigate public transport network that links a cosmopolitan capital with a bounty of natural and man-made wonders. Taipei, whose robust art scene recently earned its selection as the World Design Capital for 2016, will soon have more places to lay your head: In the coming months the Mandarin Oriental and a boutique hotel from the homegrown bookstore chain Eslite will join the recent arrivals Le Meridien and W. All of these should be a convenient base from which to do some sightseeing on 17 bike trails along the shores of Taipei’s many rivers and inlets or to take a foray into the city’s vibrant street food scene with a nightcap at the reservations-only bespoke bar Alchemy, which opened in 2012 to much acclaim. Four hours south by high-speed rail and bus, 70-square-mile Kenting National Park is home to wetlands, white sands, fishing villages and, starting this year, a ferry point for the deep sea fishing and diving paradise of Orchid Island. Up north in Keelung, a new National Museum of Marine Science and Technology opens this month, part of a revitalization project at Badouzi Harbor, which is linked to nearby headlands by color-coded walking routes. And it all becomes cheaper to get to later this year, with the launch of budget carriers from China Airways and TransAsia Air. — ROBYN ECKHARDT

http://www.nytimes.com/interactive/2014/01/10/travel/2014-places-to-go.html?hpw&rref=travel&_r=0",2014-01-11 16:26:25,https://www.facebook.com/keelungING/posts/pfbid034gopMVPAEnL1aowdBB6Fo23mjNNoc2Q5MydU5Hc6pgR9osKVc7AG2aLprYLzt5sDl
6329,624020257634843,基隆大武崙玄明宮寒冬送暖,2014-01-27 12:34:01,https://www.facebook.com/keelungING/posts/pfbid024YWUjJvT7ig4draxGes31aDyvAAGySAUgXWsEocBWn1um6kKZy7zjN1UEDf4y5zwl
234,648159705220898,"我們心中最沉重的呼籲
 
首先，我們要對昨晚至今天清晨，在行政院前發生的不幸事件，包括充滿理想的學生，與執行勤務的警察同仁，因衝突而受傷，表示最大的不捨與慰問之意。
相對於前幾天，學生在立院的抗議，以及部份學生在國民黨基隆市黨部前的靜坐等非暴力活動。基隆警方，包括受到警政署要求支援到立法院的基隆警察同仁，皆能保護學生，我們給予高度肯定。
然而，馬英九不願面對民意的反撲，執意通過服貿協定，且整個協商內容，不願逐條討論，並在立法院委員會內，透過黨籍立委張慶忠自行攜帶隱藏式麥克風，30秒宣佈審查通過。這整個違反程序正義的行為，連基隆市議會都從不曾發生過，如今卻在立法院堂而皇之進行，這是民主之恥，台灣之恥。
 
解鈴還需繫鈴人，我們在此呼籲：
1，學生發起的《反黑箱服貿活動》兩大訴求。我們黨團給予最大支持。
2，立法院與行政院發生的衝突，就讓馬英九好好面對與處理。而對手無寸鐵的學生與民眾，行政院不該讓基層員警成為執政者的御用工具。 這不是治安事件， 政治問題就交由政治協商解決。請基隆市警察局，將支援立法院的執勤同仁儘速調回，讓基隆市警察好好作好地方治安維護工作。

警察同仁，回家吧!地方治安才是你們該做的任務，基隆市民需要你們。
 
民進黨基隆市議會黨團
總    召 蔡適應
副總召 陳東財
幹事長 施世明
議    員 詹春陽
             陳志成
             洪森永
            游祥耀
            蘇仁和(議會財政小組召集人)
            張錦煌(民進黨基隆市黨部主任委員)",2014-03-24 12:44:53,https://www.facebook.com/keelungING/posts/pfbid02A4iK7Xof6PtkLvH989vgqSV6AwFWdog17nCZn39P5rCncBTWXLSzU6HJX7bbXVGBl
127,650904004946468,"長期以來，我便持續推動北基路權再開放，除了原有國光客運，近幾年來陸續增加『首都客運基隆到南港路線』、『基隆客運台鐵捷運化接駁公車路線』外。現在基隆客運四月底起增加從『新北市金山、基隆大武崙直通台北市台灣大學與公館 1068路線』。有需求者，可踴躍搭乘。

------------------------
金山←→台大客運 4月底前上路 【聯合報╱記者牟玉珮／基隆報導】

基隆客運昨天表示，新申請的「1068 」金山到台大線預計4月底前就可上路，方便金山、萬里及大武崙民眾往來台北南區，若台北人想到北海岸泡溫泉，也可一車到底，不用轉車了。
基隆客運表示，目前基隆巿民若要到台北南區的台灣大學或公館一帶，只有在基隆火車站前搭乘福和客運「1550」台北到基隆線（經北二高）或是「1551」基隆到新店路線（經中山高），更不要說新北巿金山、萬里區的民眾。

為了提供民眾更便捷的搭乘服務，基隆客運去年10月初起籌備金山、萬里經基隆走北二高到台北南區的新路線，規畫起點為新北巿金山南勢站，經過金山巿區到萬里頂寮、野柳、萬里區公所，到基隆巿大武崙地區，走北二高下台北巿辛亥路到台大、台電大樓、復興南路口、青年活動中心。

基隆客運副總經理黃治淮說，此案經送公路總局審查通過，近日取得交通部核發營運許可證後，就可以上路，最遠從南勢到台大全票估算100元、半票57元，最短從大武崙到台大為全票45元、半票26元，依里程收費，但確實票價仍待核准。

1068路線斥資9000萬元購置的15輛氣墊式新車早已就位，金山頭班車在清晨6點發車，末班車到晚上9點，台大站則分別為上午7點到晚上10點半，全程行駛時間約7、80分鐘。

黃治淮說，新車早已交車，本周起要送監理站驗車，同時完成營運前準備，預計4月底前通車。若要瞭解搭車資訊，屆時可洽基隆客運0800-588-010查詢，或上官網http://www.kl-bus.com.tw。",2014-03-31 11:38:22,https://www.facebook.com/keelungING/posts/pfbid02NGHWJcjU18zAMYRHc8E9mtNK1eoER6UJhUpA9oXEGGeA9bsZJdvGrtzKpwQNj8cDl
4430,738452012858333,"基隆大洋冷凍失火，造成4000餘戶斷電乙事，這凸顯了幾個問題。
1.該公司登記在台北，工廠設在基隆，但似乎規避檢查，因此造成工廠登記與消防檢查不實！
2.該大樓為超大違建建築，違規做為工廠使用，失火後造成救災困難！
3.囤放大量氨氣，並設立氨氣槽，卻未申請管線配置及囤積管理！
",2014-10-14 09:05:04,https://www.facebook.com/keelungING/posts/738452012858333
5558,744116105625257,"11月1日（星期六）上午10時，【市長候選人林右昌，市議員候選人蔡適應聯合競選總部】成立，邀請參加。
現場邀請三立電視臺演藝人員到場同歡。",2014-10-27 10:12:31,https://www.facebook.com/keelungING/photos/a.607487662621436/744116105625257/
