index,post_id,text,time,post_url
1895,1514169898621058,"玉兔女神🐰加油💪
#世大運半馬現場直播",2017-08-27 07:09:59,https://www.facebook.com/chenoupo/posts/1514169898621058
865,1514242591947122,"❗️速速速速報世大運勇奪佳績❗️

來自宜蘭的游雅君在稍早的世大運半馬團體組項目勇奪 銅牌佳績🥉

游雅君以1小時21分57秒的成績通過終點，總成績排得第12名，是中華隊第二個抵達終點的選手🇹🇼

真的覺得早起當小粉絲是一件超熱血的事🤘🏻
看到雅君通過終點的時候，大家都非常感動！尤其雅君停下腳步後的第一件事是向東南西北四個方向鞠躬，來感謝大家的加油打氣，讓我也起了雞皮疙瘩😭

希望未來能繼續在各大賽事，不論國內外，都能再看見雅君發光發熱👼🏻

#玉兔女神游雅君
#台灣之光
#宜蘭之光
#雅君辛苦妳了💦
游雅君 Ya-Jyun You",2017-08-27 09:21:04,https://www.facebook.com/chenoupo/posts/pfbid02G3nLENiKcXN9rdPczkJbKFbN43bVG5AWkFxuRSyycAfCb6ZRCmBtPr4QHvnDnrQel
1000,1515170428521005,"✨祝大家七夕情人節快樂👩‍❤️‍👨

🍜柴米油鹽醬醋茶，看起來最稀鬆平常的畫面，卻是一種最幸福的展現❣️
感情有時候就像料理一般，相互合作、相輔相成才有令人最感動的味道😋

歐珀和慧諭祝大家七夕情人節快樂，別忘了在今天這個浪漫的時刻，給身邊一直陪伴你或妳的人一個感謝唷✨

一個小小的貼心或驚喜，給身邊的人滿滿的大~~感~~動~~😍

㊙️27年來謝謝妳一直在我身邊🙊

#我得回去想想今天該做甚麼了
#大家有沒有甚麼想法
#一人一想法救救我啊啊
#2017七夕情人節快樂",2017-08-28 11:54:31,https://www.facebook.com/chenoupo/posts/pfbid02qnwJucxWmN996j5SYUWvQMrmDWVr7pfbygJr86kthaXkod7g3GEQPKhdvWPdCeEEl
1857,1515332125171502,陳歐珀 updated his cover photo.,2017-08-28 17:29:03,https://www.facebook.com/chenoupo/posts/462895959098198:462895959098198
1809,1515332301838151,陳歐珀 updated his profile picture.,2017-08-28 17:29:19,https://www.facebook.com/chenoupo/posts/1515332301838151:1137854437079594
1343,1515891405115574,"七夕情人節  立院挑燈夜戰至天明

昨晚立法院針對前瞻基礎建設計劃展開逐條表決戰，一路表決至今早5點，待會9點準時繼續開會。所有立委就在立法院議場中一起度過了情人節。

在國家前進的路上，必然會受到一些阻力與犧牲。為了台灣的未來歐珀會繼續努力！💪💪

#前瞻基礎建設計劃
#逐條表決
#為了台灣再辛苦也值得
#立法院",2017-08-29 08:42:24,https://www.facebook.com/chenoupo/posts/pfbid02hmUyxcdxDW5E37mK9QTZoPLx3wFWjxS5KVDrjJadHGMSSrhHxHzxKfZGtaGoQy2kl
1854,1436578429713539,陳歐珀 updated his cover photo.,2017-08-29 10:34:43,https://www.facebook.com/chenoupo/posts/1146370109571342:1146370109571342
1269,1516478348390213,"前瞻立法院不斷電表決大戰 day2

前瞻基礎建設計畫在立法院因受到國民黨提出萬案阻撓，在迫不得已之下展開立法院24小時不斷電開會。已超過30個小時。

期望能在本次臨時會結束前，將前瞻預算案及國體法修正草案完成。就算表決機一再當機我們還是會持續前進，以不負全民期待。

#立法院24小時不斷電
#這裡是國會不是小七
#再累也要撐下去
#表決機壞了又修",2017-08-30 02:00:04,https://www.facebook.com/chenoupo/posts/pfbid02bjaGtW79ZNmxgNyJ7ZpYewPzShEZThX4UzsivHRQQvURtCn7MTmqKQvfKgNeDUZpl
933,1516991731672208,"世大運圓滿落幕👍🏻全運會接棒🙋🏻‍♂

㊗️本次世大運比賽，台灣隊共摘下26金、34銀、30銅，總共奪得90面獎牌，排名高居第三👏🏻

謝謝每一位回家比賽的選手，讓我們看見臺灣的無限可能👼🏻

世大運圓滿結束後，每位宜蘭選手們精彩的表現我們都看在眼裡😻

現在是時候回鄉比賽了💪🏻
106年全國運動會in宜蘭 即將登場‼️
經過世大運的洗禮，我相信每位選手一定能在宜蘭有更棒的表現😇

歐珀好期待全運會的到來，你們也是嗎😝

#走再遠也要記得常回家
#全運會在宜蘭
#古弟接棒囉
#希望國民體育法能盡快審完",2017-08-30 16:54:04,https://www.facebook.com/chenoupo/posts/pfbid02eF3QnTQx9VV4b3ticz48YZzRWpjhwAN2irea9VwbvcRLo5J1BNtu1cFVJ25nLtwWl
768,1517646661606715,"❗️投資未來 建設台灣❗️❗️前瞻計畫 審議完成❗️

前瞻基礎建設計畫經過三天三夜的表決大戰，今天凌晨一點終於三讀審議通過🎉在幸福台灣的道路上，我們繼續往前邁進，就算受到國民黨的阻撓，丟擲預算書，我們依然堅持做對的事🙆🏻‍♂

🔺在前瞻計畫之後接續審查國民體育法，將會針對單項運動協會改革，加入體育專業人士參與運作，協會財務透明化，訂定事務仲裁機制👌🏻

🔆改變體育界的體制，我們的體育才有未來👍🏻

世大運精彩落幕🎊緊接著全運會在宜蘭🤘🏻
讓我們共同努力！團結台灣，一起加油🤜🏻🤛🏻

#前瞻計畫審議完成
#幸福台灣
#下一步是國體法修正案
#身體也許會疲倦但心裡還是熱情期待滿滿",2017-08-31 10:18:35,https://www.facebook.com/chenoupo/posts/pfbid02YK94LFkeiFSjKJZYDfHQDaW7MfRDLMgrW567q7owYPf9RznkYMVUeXbGLEGFs9j1l
