index,post_id,text,time,post_url
1022,808142072564840,陳瑩（Ying  Chen） updated her profile picture.,2015-01-05 00:21:49,https://www.facebook.com/11YIG/posts/808142072564840:1128266844709511
1057,808142905898090,陳瑩（Ying  Chen） updated her cover photo.,2015-01-05 00:24:45,https://www.facebook.com/11YIG/posts/5042591312512282:5042591312512282
1147,808389765873404,用心.認真.重文化..紀錄...美好回顧,2015-01-05 11:29:10,https://www.facebook.com/11YIG/photos/a.808389732540074/808389765873404/
993,812619125450468,"琴音有弦    才能讓樂音飛揚    陳瑩有您 才能展翅飛翔
陳瑩沒有忘記與您一起的點點滴滴，",2015-01-12 13:48:11,https://www.facebook.com/11YIG/photos/a.812044048841309/812619125450468/
1155,814161465296234,原住民親子日 -反核 巧克力 DIY,2015-01-16 03:42:58,https://www.facebook.com/11YIG/photos/a.812044048841309/814161465296234/
1246,814163951962652,,2015-01-16 04:09:32,https://www.facebook.com/11YIG/photos/a.810410469004667/814163951962652/
972,816906231688424,"你在找工作嗎？
陳瑩為原住民朋友爭取到二十個名額
，我們需要客運駕駛，待遇優，福利優！
原住民朋友優先喔！",2015-01-21 00:44:01,https://www.facebook.com/11YIG/photos/a.812097502169297/816906231688424/
1245,817754634936917,,2015-01-22 18:56:17,https://www.facebook.com/11YIG/posts/817754634936917
445,817852271593820,"今日再度於李前總統官阺與總統阿公東南西北的聊著。
李前總統說，""我們真的虧欠原住民太多， 台灣過去的土地都是原住民的， 但是都被騙光光，所以後來才有大地主小佃農的問題，原住民好像專門都在被人家騙，所以你們原住民一定要強起來，特別是年輕的一輩.....
修憲的工作，除了各黨要去協商之外，更要有原住民的代表，未來你們一定要走在前面!
在太陽花學運之後，民主政治有很大的改變，哪天找出各族原住民年輕人的菁英，把大家聚集起來，我願意給大家演講分享經驗，......""
談完後，他牽著我送我到門口，對我說，接下來就要交給你們年輕人了！
天黑了，外頭冷，心頭暖，但肩頭重！",2015-01-22 23:39:02,https://www.facebook.com/11YIG/photos/a.812097502169297/817852271593820/
240,819679204744460,"泰雅族抗議，族人林偉孝疑虐死北監

【聯合晚報╱記者劉峻谷╱即時報導】
2015.01.23 11:39 am
 
因強盜案在台北監獄服刑的泰雅族人林偉孝，去年十二月一日送醫不治，但留下「房長說晚上我的屁股借他用」求救信，被家屬質疑死因不單純。今天上午十時卅分，苗栗縣泰安縣約六十多位鄉民齊集法務部門口抗議，要求法務部及檢方給林偉孝死亡的真相。

泰安鄉民代表盧光明指出，泰雅族人不是弱小民族，是善良的民族，族人死於非命到公道才被逼上街頭，如果法務部沒有給真相，將抗爭到底。泰安鄉總頭目伍佳福率族人舉行祈福儀式，祈求泰泰族祖靈庇祐林偉孝並找到死亡真相。

去年十二月廿六日，林偉孝母親劉蘭妹在立法院記者會哽咽地說，十二月一日接獲獄方通知噩耗，二日即北上查看監視器畫面，看見兒子蹲在走道，手腳被緊銬鐵欄杆上，腰際拴著鐵鍊，甚至遭其他受刑人施暴時，也不見管理人制止。北監當時解釋，因為林偉孝有咬舌自殘動作，將他帶到走道戒護比較安全，所上戒具都符合依規定。林偉孝是否在監被虐死?目前正由桃園地檢署偵辦中。",2015-01-26 23:12:04,https://www.facebook.com/11YIG/photos/a.812097502169297/819679204744460/
825,820138904698490,"一定要看完哈～
真的.........好害羞喔！

https://www.youtube.com/watch?x-yt-cl=84838260&v=n60R2C5LsEY&x-yt-ts=1422327029",2015-01-28 00:23:31,https://www.facebook.com/11YIG/posts/820138904698490
684,820533834658997,"語言的傳承，是延續一個族群的基本要素！隨著社會的變遷，搶救消失中的族語是刻不容緩的重要任務！
感謝有族語老師，雖然終點費少，交通遠補貼也不多，不少人倒貼著做這份工作，但為了族群文化的延續，大家遝是咬著牙做下去。
我們應給予這些族語老師更多的支持和掌聲，而政府給的待遇不該只是以量計價，對於這些台灣的珍寶，我們更應給予更多的保障，更好的待遇！",2015-01-28 22:07:46,https://www.facebook.com/11YIG/posts/pfbid0hAs8WpvfC3rANuXgpTKrd9Vat6fBKybTChpjz4Ut98DJcM5JgVxyU4Zg4oEJ22VMl
