index,post_id,text,time,post_url
2421,2213637178884050,陳秀寶 updated her cover photo.,2018-11-26 13:58:33,https://www.facebook.com/showpowerchen/posts/640242367682310:640242367682310
2504,2213638762217225,,2018-11-26 14:03:19,https://www.facebook.com/showpowerchen/posts/pfbid0RLBxMz6VkRXcTkYBohXcpjdMACu4qtYWcXEVEDe5wXTjKDQTGsfp5fcsxL5w59vwl
2394,2213702735544161,陳秀寶 updated her profile picture.,2018-11-26 16:46:11,https://www.facebook.com/showpowerchen/posts/2213702735544161:657682172739774
1456,2214188192162282,"選舉落幕了，感謝近９千５百的鄉親真心相挺，讓秀寶得以連任議員。感謝我親愛的家人及服務團隊做為我最堅強的後盾！感謝每一位鄉親鼓勵的身影！

此次選舉秀寶第７名當選，說明在選民心中我努力還不夠。未來秀寶將繼續秉持家父服務鄉親的精神繼續在議會為鄉親監督預算及爭取建設為福鹿秀的鄉親打拼。

#選舉過程中如有打擾之處請見諒
#選舉一時朋友是永遠的
#繼續努力
#台灣加油",2018-11-27 10:59:03,https://www.facebook.com/showpowerchen/posts/pfbid0sHDNnx6dcN6tTyx3EEeeaceGZ2nk7n76oYZSrLJTqCKcMeXjAiMpTYhB7gyNzCHvl
1789,2214808132100288,"選舉活動圓滿完成
今天是黃曆上的好日子
恭送神尊回各宮廟

秀寶與雅晴及服務團隊
感謝神明的庇佑 讓我們可以順利當選!

#叩謝神恩
#新祖宮天上聖母
#驪元宮驪山老母
#驪元宮九天玄女
#奉天宮蘇府王爺
#聖神廟廣澤尊王
#仁安宮朱府王爺
#清龍岩清水祖師",2018-11-28 11:17:48,https://www.facebook.com/showpowerchen/posts/pfbid021zrfBJX9xYUnjKZaFMxjEHxEGQN4YEQSmwMArt2CcYKSBL6aFtPA5kvYEhCGhEZAl
2486,2216164478631320,是該修理修理了😆,2018-11-30 11:54:28,https://www.facebook.com/showpowerchen/posts/pfbid02Dobyvo4xzstmt3hwRqe1D6n3iRy5VYyPtn62UrPrpsCX7tr39nKNqNui72W2F49sl
1862,2227169770864124,"非洲豬瘟疫情在中國蔓延
剛農委會召開記者會宣布加重罰則

第一次罰鍰將由5萬元提高至20萬元
第二次之後再違規者即開罰100萬元

彰化縣也是傳統養豬大縣
希望全民一起抗疫
不要讓全台一年一千多億的產值
因為疫情而消失

拜託大家",2018-12-17 15:08:01,https://www.facebook.com/showpowerchen/posts/pfbid0tbDyE1Pmki1c72DLbx9sT1jjt7g5j9bf1BpJ1VHo5EbDrB98PBpgBvVrXPkZXNpQl
860,2229756983938736,"連續七年，每年冬天白米伯施性祺在服務處發送親手種的白米和生活物資給社會邊緣户，白米伯深怕民眾沒拿到，連吃個午餐都是拿著碗站在門口觀望😆
秀寶深感佩服白米伯發自內心的愛心，更希望這個社會能更美好

https://m.facebook.com/story.php?story_fbid=2199748450291942&id=1625987004334759

http://news.ltn.com.tw/news/life/breakingnews/2649389?utm_medium=M&utm_campaign=SHARE&utm_source=FACEBOOK",2018-12-21 18:28:07,https://www.facebook.com/showpowerchen/posts/pfbid02eE4QLdcynmanJpkQhCkg4xvgmcng7VWxQPHPUiTar6TUzhXHdN83YLCLJQPPZn5Yl
2442,2231735000407601,"溫馨的平安夜～
祝福大家平安❤喜樂
耶誕節快樂",2018-12-24 21:33:18,https://www.facebook.com/showpowerchen/posts/pfbid032pFdr3BBSZe2xLcHYxVVox1y5XaZqXVfFfBhD7mrYE7WWXy6dN9E6zZ87xJ23k6gl
2193,2232111133703321,"第19屆議員宣誓就職典禮
感謝大家的支持    讓我有機會再進入議會為地方服務
#更努力更用心
#為地方與您同心
#謝謝我的家人陪我參加就職典禮",2018-12-25 11:24:26,https://www.facebook.com/showpowerchen/posts/pfbid0YhkGcCF4Uavvbnr3gniu8mjgMUNiasTeTyZ74FnU7fSL9tYohxL1RZ7PvVBH6mk6l
