index,post_id,text,time,post_url
1070,2187365111506716,大家好！新手上路，請多多支持。,2018-11-21 22:14:01,https://www.facebook.com/wumama.amy/posts/pfbid08CP8dJ3VpWM1mXFM459JScHZPghv5yAFv71zy9NEccR3tD8cj3wkb94wKbnJErCpl
1036,2188269261416301,護理立委 陳靜敏 updated her profile picture.,2018-11-23 07:56:36,https://www.facebook.com/wumama.amy/posts/2188269261416301:636563787914217
1086,2188295118080382,,2018-11-23 08:57:20,https://www.facebook.com/wumama.amy/posts/pfbid0upDTqL1PRmxyMa8N826vpFuZGsnfUEENqU4odx3V6ia9QyihKLtFNPAQ9idSQNVpl
1085,2188295698080324,,2018-11-23 08:59:22,https://www.facebook.com/wumama.amy/posts/pfbid034PtHofSCaYhRgWDN1TpNupFAgq7zTHdXJNhxjgyffzHt8u2zWCjMebFzZpKDKHCdl
1084,2188296028080291,,2018-11-23 09:00:13,https://www.facebook.com/wumama.amy/posts/pfbid02FtPuy181guNm8hwreE7kcFzJr41riETgNMwhSkW5TwYLwQA2ZXjvzqpypXcRo5JGl
1083,2188296128080281,,2018-11-23 09:00:33,https://www.facebook.com/wumama.amy/posts/pfbid0gMahYfAMSf3o59ySeRvv5L2VSwWHAvMgVrygu5iRxQDVt85Y19dAwy4zXmwUjnktl
1082,2188296241413603,,2018-11-23 09:00:52,https://www.facebook.com/wumama.amy/posts/pfbid0kpX4BBdzcKEUULUN8X6dPHQePcrdCBCaCaS3e7p9ArLSmdb4aHnqGF9jtEYFksjCl
377,2188298638080030,"大家好，這是11/15 靜敏委員於立法院的初試啼聲，往後會持續為護理發聲，我們一起加油！❤️（小編）

『第9屆　第6會期 會議別：社會福利及衛生環境委員會』

一、審查中華民國108年度中央政府總預算關於衛生福利部主管預算(公務預算及基金)案。 

二、審查衛生福利部函送財團法人醫院評鑑暨醫療品質策進會、財團法人器官捐贈移植登錄中心、財團法人鄒濟勳醫學研究發展基金會、財團法人醫藥品查驗中心、財團法人藥害救濟基金會、醫療財團法人病理發展基金會、財團法人賑災基金會、財團法人惠眾醫療救濟基金會及財團法人婦女權益促進發展基金會108年度預算書及相關資料案。 

三、審查行政院函送財團法人國家衛生研究院108年度工作計畫及收支預算案。 
(以上3案僅進行綜合詢答)

http://media.ly.gov.tw/page.jsp?id=305768&fbclid=IwAR1kXesb6kf5KJK1GKc23CBzFvA2ALZcxy5CXbHMHMLkcPPN2WQ463FLU1M",2018-11-23 09:08:04,https://www.facebook.com/wumama.amy/posts/pfbid0rwfrVVgBWBLUoYNKo5dxc13ABU8uK1C1t2xFbr8BxuXvZL8eBFgfj2yHSmkfS21ul
1044,2188300631413164,護理立委 陳靜敏 updated her cover photo.,2018-11-23 09:13:41,https://www.facebook.com/wumama.amy/posts/429815085914254:429815085914254
1026,2188303741412853,感謝大家的支持～我們粉絲頁突破200人大關囉～希望大家繼續多多分享支持按👍～（小編）❤️,2018-11-23 09:20:45,https://www.facebook.com/wumama.amy/posts/pfbid02TT49mawzojJPi5FTy6KHpq3an3tJU2DDpALW5DLBRpoV71RDTJ7DcWKsGmdgnayfl
601,2188305138079380,"明天就是選舉日了，激情很快就會褪去，投票的結果卻是我們大家要共同承擔的。我們台灣社會最引以為傲的民主、自由、開放，在這次選舉過程中卻被有心人士與龐大外力操控，人身攻擊與羞辱、假新聞的充斥、網路的霸凌，都會影響我們做出正確的選擇。在忙碌汲汲營營的人生中，我們當然可以不理會候選人政見、管他公投在講什麼，但套句我真心相信的名言，“ Those who take no interest in policies are destined to be governed by those who do.  That is the price they pay for their apathy. ” 
相信自己，做出最好的選擇。",2018-11-23 09:25:37,https://www.facebook.com/wumama.amy/posts/pfbid028wQjyvWYAV8s1ogCndcPzfDounxe6buo3QQYH6XwjGU39S7xRCTxzzrnVJmyb5v1l
605,2188310694745491,"明天就是選舉日了，激情很快就會褪去，投票的結果卻是我們大家要共同承擔的。我們台灣社會最引以為傲的民主、自由、開放，在這次選舉過程中卻被有心人士與龐大外力操控，人身攻擊與羞辱、假新聞的充斥、網路的霸凌，都會影響我們做出正確的選擇。在忙碌汲汲營營的人生中，我們當然可以不理會候選人政見、管他公投在講什麼，但套句我真心相信的名言，“ Those who take no interest in policies are destined to be governed by those who do.  That is the price they pay for their apathy. ”
相信自己，做出最好的選擇",2018-11-23 09:40:49,https://www.facebook.com/wumama.amy/posts/pfbid022nQK2dvPATwA1fLhe4QLxb2Q4iGsYkkVMfAX3XRuGAEaVVRYnEyVV5nWYWu4LwvMl
672,2188589324717628,"「訊息分享」👈👈👈

麻煩各位親愛的朋友們幫忙轉發親朋好友。🙏🙏🙏

請大家幫忙支持成大蔡景仁醫師的癲癇協會，獲得台新銀行公益慈善基金會25萬補助，我們這位醫師年近70，留德博士，終身投入癲癇疾病研究和病友團體，因需要6000票，目前僅有2800票，麻煩各位親朋好友們多多協助，至11月30日止。進到網站要先點下方FB帳號登錄，再投票即可。

目前離6000票還有一段距離，要拜託您。🙏

點選以下網頁進行投票⬇️
https://www.poweroflove.com.tw/mobile/vote_detail.aspx?pid=9C2479",2018-11-23 21:32:14,https://www.facebook.com/wumama.amy/posts/pfbid02V46rV2LswLjcTsabc2numJeYeYT5WRWAEyMJqk4VGnJFcXDnFpFFd2jK53GYpYPnl
896,2188591951384032,"改革需要時間，在躍進前的黑暗期，也許大家對現況有些不滿丶也許大家對當家的也有些微言，也許大家想要換人做看看。
但是，請讓真正深耕、懂台灣、愛台灣的人來做，我們經不起外來闇黑勢力的滲透、顛覆。

黑暗的韓流會過去、溫暖的太陽會昇起，我挺陳其邁。天祐台灣！",2018-11-23 21:38:19,https://www.facebook.com/wumama.amy/posts/pfbid02tyqPDZQAZtXZSL3La8fm5VPvcnXxisKgiEKwUQdyGh7krQ9TQiBqubfFxcAPVjWLl
1042,2188646991378528,我是彰化媳婦，這四年來我們看到彰化的翻轉丶改頭換面。我支持1號魏明谷,2018-11-23 23:37:42,https://www.facebook.com/wumama.amy/posts/pfbid02KikKMdm9rBmuDsaf5Wvoe88uzwSBwFVoPe5jBmTYuzzHS7hs4prSdxKGsd4Lv9cjl
1049,2189048738005020,別抱怨了！民主的價值比排隊買雞排丶豆漿或換贈品值得期待吧？！,2018-11-24 16:58:32,https://www.facebook.com/wumama.amy/posts/pfbid02z2JLNJack1Gi7BD69ZuDbYBGghyvu3S2LF2Z5taRiuCNUiAHitW74qMC3nrSGFpcl
1063,2189330844643476,"痛心的結果
深刻的檢討
更加的努力",2018-11-25 02:51:04,https://www.facebook.com/wumama.amy/posts/pfbid028Gy8fpUyDhYf11ZBjoXyvP6ZR3aH6NBULmverPvbLCpjgzJRhnWgcTkgg2C1psqKl
1019,2189718561271371,"謝謝大家熱情的支持，我們粉絲頁突破300人大關囉！持續朝400前進！

台灣加油💪（小編）❤️",2018-11-25 18:26:11,https://www.facebook.com/wumama.amy/posts/pfbid0QSkrHMHrZZbyyqQjvrbVZqZtBAz8i9w94FG4EC8NwhuTBSkU94qMXTRWvbGU9r5Al
841,2190998791143348,"這是11/26的完整版質詢影片哦，感謝大家的觀看與支持~😊(小編)

「第9屆 第6會期 會議別:社會福利及衛生環境委員會」

一、邀請衛生福利部就「國家肝病防治計畫之檢討及改善」進行專題報告，並備質詢。

二、邀請衛生福利部、勞動部、內政部及教育部就「強化社會安全網之檢討及改善」進行專題報告，並備質詢。

(以上2案綜合詢答)",2018-11-27 21:40:00,https://www.facebook.com/wumama.amy/posts/pfbid0yqNx82NDVxmqsS7McCRmj2ea9MZvkJTSbr45K8dV8gsXe7SN94GWYTviGVB1wdwEl
