index,post_id,text,time,post_url
2828,233647793884136,黃世杰 updated their cover photo.,2018-08-14 21:48:05,https://www.facebook.com/SCHuangLawyer/posts/456046069779459:456046069779459
2654,297513007497614,"今天大年初一，世杰來到楊梅奉天宮向各位鄉親問好！

#happylunarnewyear
#楊梅奉天宮
#黃世杰 #黃世杰律師
#立法委員 #參選人",2019-02-05 19:25:12,https://www.facebook.com/SCHuangLawyer/posts/pfbid0eMNrTS63RRKXDm9i3yNcvCYEMoTowfRN8vpFpUVZSPSLcm6AdNXDiANYR9qT5VRsl
2641,297515727497342,"大年初一，世杰回到家鄉的新屋天后宮，向各位鄉親請益問好！

#happylunarnewyear
#新屋天后宮
#黃世杰 #黃世杰律師
#立法委員 #參選人",2019-02-05 19:35:30,https://www.facebook.com/SCHuangLawyer/posts/pfbid02VEUJdTNG4MCenNqeMCLmxFzsYBpBE923qGpzRS1A6NqBQ5eAxAf67QNt7PiZZvHel
2584,297810487467866,"來到新屋永安保生宮

客莊必吃的客家麻糬「粢粑」
化表著地方的熱情與文化

#happylunarnewyear
#新屋 #永安 #保生宮
#黃世杰 #黃世杰律師
#立法委員參選人",2019-02-06 12:11:10,https://www.facebook.com/SCHuangLawyer/posts/pfbid0kzfrzSnviJz9PxkpVL3owCKH5JSyX4c98ERKD8cEPo8cvaKJFrD8Pars3DUxWDDol
2610,298178587431056,"2019 金豬報喜 祝福各位好友 諸事大吉大利過好年 

#happylunarnewyear
#新屋 #楊梅 #大園 #觀音
#黃世杰 #黃世杰律師
#立法委員參選人",2019-02-07 09:20:19,https://www.facebook.com/SCHuangLawyer/posts/pfbid0RskXzZDN3gVNiZTKHXgvAhi1HvAc5i8aT7h7ASdhZYjKr19ZbfJnwmSkcBySjfrpl
2630,299757017273213,"開工囉！
年後第一個上班日，上下班要注意安全喔！
祝大家開工大吉

#黃世杰
#黃世杰律師
#立法委員參選人
#2020立法委員
#大園 #觀音 #新屋 #楊梅",2019-02-11 08:04:40,https://www.facebook.com/SCHuangLawyer/posts/pfbid02UgoR3v8ifwry7oWdgKqCvE2dHTCS4WFuYqMc8ZRdAoqiDk2CMEKVf2EFeKgGozd2l
2431,300663857182529,"今日一大清早來到楊梅頭重溪三元宮，向三官大帝祈求風調雨順、國泰民安，接著與眾多虔誠的在地鄉親迎請神明一同前往北港進香。

#黃世杰
#黃世杰律師
#立法委員參選人
#2020立法委員
#大園 #觀音 #新屋 #楊梅
#楊梅頭重溪三元宮",2019-02-13 17:45:31,https://www.facebook.com/SCHuangLawyer/posts/pfbid0M2ReTFNpjBUuc4vzoDVmC6TzqmUZVS3jdXSaYfTmyJP6SwZSfGATHxCZT2xVMQGCl
2409,300724613843120,"正月初九，正是玉皇大帝的生日！在這重要的日子來到楊梅三湖三元宮，與桃園市市長鄭文燦一同拜天公，並且致贈各位虔誠的鄉親新年福袋~

#黃世杰
#黃世杰律師
#立法委員參選人
#2020立法委員
#大園 #觀音 #新屋 #楊梅
#楊梅三湖三元宮",2019-02-14 08:22:00,https://www.facebook.com/SCHuangLawyer/posts/pfbid037qqtVvgLM43du73dPRXBugqdB5bokz7dG1MizxPF52tq9Yuhcg2SHmdTok1KBAfYl
2596,301036970478551,"正月初九楊梅拜天公來到啟明宮

福袋很吉利，地方的鄉親一樣熱情！

#黃世杰
#黃世杰律師
#立法委員參選人
#2020立法委員
#大園 #觀音 #新屋 #楊梅
#楊梅啟明宮",2019-02-14 16:07:01,https://www.facebook.com/SCHuangLawyer/posts/pfbid0DSRD8hYrKwL9FJrqVURedBPX1e7DpG2JRvQSDL8nCUnrsMNRqgkKt1EQivYTjYpyl
2402,300728290509419,"正月初九玉皇大帝生日這天，與桃園市市長鄭文燦來到楊梅昊天宮，除了拜天公也發送象徵好運的新年福袋給楊梅鄉親~

祝福大家新年萬事如意！

#黃世杰
#黃世杰律師
#立法委員參選人
#2020立法委員
#大園 #觀音 #新屋 #楊梅
#楊梅昊天宮",2019-02-14 16:33:00,https://www.facebook.com/SCHuangLawyer/posts/pfbid02LrvWgPpGXTNby8KbhmoAYWyPSWEeoXcMgCoTftJ5CoLkJSHkEyBXcqdLDqjLneo4l
2603,301054487143466,"桃園海線行腳紀錄
與鄭文燦市長ㄧ同來到大園福忠宮參拜

#黃世杰
#黃世杰律師
#立法委員參選人
#2020立法委員
#大園 #觀音 #新屋 #楊梅
#大園福忠宮
#鄭文燦",2019-02-14 18:01:00,https://www.facebook.com/SCHuangLawyer/posts/pfbid033RkDpfpqKgCHAA7nQmZCX1wMQre8QJVhSZ8ZmCnhXQnfpGhhWrd5dVWFbrY4N9Yjl
1620,301082480474000,"桃園海線行腳紀錄-大園埔心福隆宮
昨日初九玉皇大帝誕辰與鄭市長來到埔心福隆宮參拜

今天農曆正月初十在傳統文化中是所謂的「地日」，也就是石頭神的生日，有石頭節、石磨日的說法，當天民間不會動任何石製的工具避免收成不好。

不過在現代，陽曆二月十四日被賦予的情人節還是較廣為人知，各位身為男性的鄉親，如果為了今年的平安，今天請勿像個石頭一樣沒有任何反應喔！

#黃世杰
#黃世杰律師
#立法委員參選人
#2020立法委員
#大園 #觀音 #新屋 #楊梅
#大園埔心福隆宮
#鄭文燦",2019-02-14 18:26:31,https://www.facebook.com/SCHuangLawyer/posts/pfbid0Bbq3WtvpEnuFWP18qmi7gak8pGybNXfivKmMZpX5w36r1sfi9jvEoSkMbZnQpq8il
2546,301056617143253,"桃園海線行腳紀錄

正月初九天公生日，造訪大園富文宮向神明參拜並與眾鄉親問好

#黃世杰
#黃世杰律師
#立法委員參選人
#2020立法委員
#大園 #觀音 #新屋 #楊梅
#大園富文宮
#鄭文燦",2019-02-15 08:43:00,https://www.facebook.com/SCHuangLawyer/posts/pfbid0LrpGCebksPFKRyF1MY2yV3QbBKAGAJYzEZPJAsBoddNaZuEyfZiE2hhJgroFduedl
2594,301741737074741,"各位鄉親！我們的桃園又進化了

首次申請護照可以到各區戶政事務所辦理喔！

讓我們一起讓桃園越來越好

#黃世杰
#黃世杰律師
#立法委員參選人
#大園 #觀音 #新屋 #楊梅",2019-02-16 09:29:06,https://www.facebook.com/SCHuangLawyer/posts/pfbid0ArFjDGRqf1HDWJUuNJCzTohJihe22rCwgE4BNcdMqGTBGhNV22an49HPcr2CZCrUl
2529,302004440381804,"楊梅錫福宮
北港進香回鑾  恭迎媽祖遶境祈安植福
楊梅人一年一度的盛會  熱鬧非凡

#黃世杰
#黃世杰律師
#立法委員參選人
#2020立法委員
#大園 #觀音 #新屋 #楊梅
#楊梅錫福宮
#媽祖遶境",2019-02-17 00:02:49,https://www.facebook.com/SCHuangLawyer/posts/pfbid0ubYReERRWFxFwfxiFBc5pEhUJYimB1C9YM8mNvwBrDYiGz8BpsNvrvtcxNyTmc8Pl
