index,post_id,text,time,post_url
891,203810549950467,"《新立委‧新專頁》
秀芳新官方專頁，了解秀芳走過的路、努力過的事以及對未來的方向與政策等，讓您更熟悉秀芳；希望您將對彰化改變的期盼與對秀芳的支持在此與秀芳交流。

※歡迎大家分享與邀請，讓更多人熟悉了解秀芳
黃秀芳官方專頁：https://www.facebook.com/smilefangfang
...........................
◎與秀芳line在一起
黃秀芳 LINE@好友連結，歡迎加入：https://line.me/ti/p/%40lnl4619l
請大家拿起手機line搜尋ID：『@smilefang』",2015-10-23 18:09:56,https://www.facebook.com/smilefangfang/photos/a.203810653283790/203810549950467/
1028,204186656579523,"昨日花壇聯合競選總部成立.兩位穿著黑衣的年輕人站在門口.不知情會以為是甚麼凶神惡煞.其實這兩位是在花壇創業的青年.為人客氣；他們用秀芳安居樂業的理念做圍巾.專程一早來成立會場等秀芳.親自來加油打氣.秀芳很驚喜感動。
        這是年輕人對秀芳的支持與期許；這圍巾代表著對於未來的期望.士農工商能在各自的領域無憂無慮的發揮所長.而民意代表為人民發聲.把關政府政策.成為各領域的靠山.民眾安心工作.安心吃.安心住.安心的做任何事.秀芳了解安居樂業是個最簡單的理念.也是最大的責任。",2015-10-25 08:42:09,https://www.facebook.com/smilefangfang/photos/a.203810653283790/204186656579523/
1026,204851336513055,"秀芳與服務團隊一直很努力的拜訪尋求更多認同與支持，是希望能代表您發聲以及創造安居樂業的生活環境，大家一起與蔡英文、秀芳繼續努力，堅定的走完最後一哩路。找回您我的自信，點亮台灣的希望。

蔡英文 Tsai Ing-wen「改變台灣，就從這次選舉開始。吵吵鬧鬧、爭權奪利、負面選舉、激化對立，這些都不是人民想要的，也不是台灣真正需要的。人民關心的，是國家未來該怎麼走？台灣如何因應全球化的挑戰？孩子能不能在公平正義的社會中成長？人民在乎的是，誰能重新帶給他們一個安居樂業、充滿希望的台灣」",2015-10-26 11:23:43,https://www.facebook.com/smilefangfang/posts/204851336513055
1449,205017793163076,"「走遍了天涯海角也是故鄉的月卡圓.........」
全國競總副主委余天10月24日專程來花壇為黃秀芳站臺，唱著回鄉的我與膾炙人口的榕樹下，向花壇鄉親朋友推薦余天自己的小妹秀芳，讓秀芳能進入國會為鄉親服務，總統投英文、立委選秀芳、政黨蓋民進黨，讓秀芳、余天都能進到國會一起和蔡英文為臺灣服務。",2015-10-27 11:53:01,https://www.facebook.com/smilefangfang/posts/pfbid02M35bHF1JsFMBQeFahPh7wuN8shJKwKGT7rKPn2SMDpfKghe8qzpFkseeaxeQ9FtAl
882,206316329699889,"花媽來了，花媽來了。
高雄市長陳菊10/31(六)下午三點二十分，陪同立委候選人黃秀芳一同造訪彰化市扇形車庫，將高雄駁二藝術特區的經驗帶到彰化，期許黃秀芳進入立法院之後，共同催生彰化扇形車庫文藝特區。
敬邀各位先進朋友共同參與
…………………………………………………………………..
邀請朋友一起成為黃秀芳好友，
黃秀芳官方
https://www.facebook.com/smilefangfang
LINE@生活網
https://line.me/ti/p/%40lnl4619l
Line ID:  『@smilefang』（須包含@喔）",2015-10-30 18:22:05,https://www.facebook.com/smilefangfang/photos/a.203810653283790/206316329699889/
436,206003273064528,"※劉若威、何安妮、洪芷嫻愛琴海音樂饗宴活動
※花壇舊營區西施柚產業文化活動

◎劉若威、何安妮、洪芷嫻，三位國中一年級小女孩，將在11月1日下午2點在彰化市介壽生活文藝館音樂演出，全程演出免費，現場設愛心箱，小女孩表示愛心箱所得全數捐贈彰化家扶中心，非常感動，邀請各位好朋友11/1早上9點參加競選總部成立大會後，下午2點至介壽生活文藝館現場欣賞小女孩帶來的音樂演出以及肯定他們的愛心，感恩!

劉若威、何安妮、洪芷嫻愛琴海音樂饗宴活動
※2015年11月1日(日) 下午2點整
※彰化市介壽生活文藝館

◎彰化花壇是全國最早栽種西施柚的地方，面積也最大，為了推銷在地的西施柚產業，花壇鄉­公所每年都會舉辦西施柚產業文化活動促銷西施柚，活動將於31日本周六起一連兩天­，在花壇國中旁的舊營區舉辦西施柚節活動，繼續打響花壇西施柚的名氣。

花壇舊營區西施柚產業文化活動
※2015年10月31日(六)~11月1日(日) 
※花壇國中旁的舊營區",2015-10-30 21:00:00,https://www.facebook.com/smilefangfang/posts/pfbid02qLwmoPL9pBLMvUG8mjf596NcTHgwPFXNTwRC5pBXbtTSPqxnBs1PRNV8zqEnGwiHl
270,206666032998252,"陳菊市長10/31下午以蔡英文競選總部主任委員身分，到彰化市為秀芳加油打氣，秀芳特別安排陳菊市長參觀扇形車庫，魏明谷縣長、周清玊縣長、賴岸璋議員、林世賢議員、邱建富市長等多也到場陪同。參觀過程中，陳菊市長專程聴取台鐵彰化工務段人員對扇形車庫的簡介，陳菊市長得知這座扇形車庫是除日本外，全亞洲唯一仍可運作的扇形車庫，深為感動。

    陳菊市長說，高雄市是海港城市，開發過程中遇到許多困難，不過經高雄市政府的努力逐一克服後，讓高雄市發展改頭換面，其中，駁二文創園區的開發每年吸引超過四百萬觀光人潮，對高雄市的發展有非常大的幫助，相信彰化市的扇車庫如能有效開發，對彰化縣的觀光一定有正面助益，馬政府執政向來重北輕南，不重視中部，如果能支持蔡英文當選總統秀芳當選立委，兩人搭配下行政院核撥經費有效開發扇形車庫，將可大幅提升彰化縣的觀光資源，並為彰化縣的發展過程做見證，一舉數得。

秀芳與魏縣長、邱市長感謝陳菊市長的肯定外，分別表示，扇形車庫是彰化縣寶貝觀光資源，但馬政府不知有效運用，相信蔡英文順利當選總統黃秀芳當選立法委員，兩人相互搭配，有效改善扇形車庫環境及設施，不僅可大提升彰化縣的觀光資源，躍升至國際，可提升彰化縣國際知名度",2015-10-31 20:14:29,https://www.facebook.com/smilefangfang/posts/pfbid02x7mpK9UPKRSqdQdRbzsemeQkoTzY2WxBnwkBm9GpVWHr3siCLUv7PdGwuPQCYe8dl
54,206971586301030,"蔡英文黃秀芳競選總部成立大會，蔡英文主席與秀芳共同栽種一棵「希望之樹」，期許未來將共同為台灣人創造更美好的生活環境外，也共同揭開寫有「點亮台灣、國會過半、彰化換新、安居樂業」的布條，誓言民進黨的蔡英文當選總統、立法院席次過半，一定會負起完全執政的責任，為台灣開創不一樣的未來。

蔡英文主席說，去年九合一大選時，曾一再強調，彰化縣的選舉結果將全台的縮影，選舉結果證實無誤，明年初的選舉關係著整個台灣的未來，彰化縣的選舉結果同樣將成為全台的指標，雖然民進黨目前的選情算是穩定，但希望支持者不要輕忽，更要嚴防對手為了贏得選舉使出「奧步」，選舉沒有一定穩的事情，一定要等選舉投開票結果才知道是穩的，她拜託民眾幫忙催票、固票，讓民進黨再度拿回中央執政權，民進黨最低潮的時候，國會只有27席，27席發揮最大的效益，最大關鍵就是只要肯與人民站在一起，人民就不會放棄跟他們站一起的政黨，一定要有讓國民黨再下台一次，以便能有好好反省一番，民進黨如果能再次執政，一定不會辜負選民的負託，其中，中台灣將成為經濟發展的領頭羊地位。

民進黨已經有一個完整的規劃，從市場的開拓到農業經營的管理，以及農業種植等等，相信只要台灣能夠按部就班，按照民進黨的政策規劃執行，台灣的農業一定有很多的市場，也可以有很多賺錢的機會。

蔡英文主席推薦黃秀芳從周清玉當省議員、立法委員一直到縣長，從助選開始做起，從不放棄，一次又一次選縣議員，每次高票當選，選民對她非常肯定，是經營地方成功的表現，如此優質、認真、專業的縣議員，選民要集中之量把秀芳送進立法院做更多事。

蔡英文主席表示，台灣國會和以前不一樣，台灣越來越民主化，國會扮演越來越吃重角色，立法委員專業程度要再一次提高，國會議員應用更多時間處理國家大事和問政，我們需要的國會議員需要認真、打拚又專業，民進黨新世代立法委員都有認真、專業、用心，這些特質秀芳都有，大家要讓秀芳有更大發展，到國會替彰化爭取法案、預算讓彰化更好。",2015-11-01 18:31:39,https://www.facebook.com/smilefangfang/posts/pfbid02xay2dcQGUubDQqs8SeV8bCofmiKtASYCwjcvzpPi1Y9GdbknLszhP5EGri1uyDnil
1338,207948789536643,"【網路直播訊息】 

針對馬習會

蔡英文主席將於13：30發表談話
 
敬請收看網路直播！

直播網址：http://www.youtube.com/user/dppsng/live

->我是秀芳。認真聽，用心做<-
粉絲專頁：https://www.facebook.com/smilefangfang/
Line ID：@smilefang",2015-11-04 13:31:55,https://www.facebook.com/smilefangfang/photos/a.203810653283790/207948789536643/
430,207951162869739,"【國民黨沒有誠信，你還要相信他們嗎？】 

2011年，馬英九說 

「如果我連任成功，我絕對不會在我未來的四年當中，跟大陸的領導人見面！」 

現在，就在卸任之前，這句話即將破滅 

從朱立倫的「做好、做好」到馬英九的「絕不跟大陸領導人見面」 

一個沒有誠信的政黨，將帶領國家走向滅亡的道路 

沒有經過國人的同意，總統決定打破諾言，這又算什麼？ 

請各位睜大眼睛，並且用自己的權力與選票，選擇好你的未來！ 

相關新聞： 
馬習會　《紐時》：習近平滿足馬英九心願 
http://goo.gl/Ap8ZVe 

2011年馬英九承諾影片連結 
https://www.youtube.com/watch?v=GAG_9-ebNJA&feature=youtu.be&t=32

->我是秀芳。用心聽，認真做<- 
粉絲專頁：https://www.facebook.com/smilefangfang/ 
Line ID：@smilefang",2015-11-04 17:00:00,https://www.facebook.com/smilefangfang/posts/207951162869739
