index,post_id,text,time,post_url
911,276865505690031,"感恩的心．感謝有您 - 高金素梅從政十年感言
10年前，高金素梅剛當選立委的時候，很多人都質疑我這個演員到底要把原住民帶去哪裡？ 
10年來，我走遍30個山地鄉，700多個部落，我傾聽同胞們的需求，說出族人的心聲；在立法院，我爭取部落的權益，捍衛原住民族的尊嚴，傳承並發揚民族的文化。
我相信，我所做的一切都是最好的說明。
對這段歷程，我充滿感恩的心。
10年來，我服務族人，族人們也滋養了我，讓我清楚的知道「我是誰」。
感恩的心，感謝有您。我珍惜這10年來的點點滴滴。您的每一張選票，就是對我的支持，您的支持就是我在立法院最大的力量。",2011-11-22 15:37:55,https://www.facebook.com/giwas888/photos/a.276865502356698/276865505690031/
871,276886889021226,"苗縣泰安到南庄道路  二期工程動土【聯合報╱記者祁容玉／即時報導】2011.11.17 09:15 pm
 
苗栗縣連接泰安與南庄兩大原鄉的清安至八卦力道路，今天第二期工程在雪霸國家公園汶水遊客中心動土，預計民國102年通車後，南庄與泰安間車程從1小時縮短為20分鐘，兩鄉20多年來的願望終於成形， 縣府為編列3億元經費，總長4點4公里、寬8公尺，第一期工程6月間在南庄動工，今天第二期工程啟動，儀式由苗栗縣原住民文化藝術團獻上歌舞，泰安鄉各部落頭目以傳統泰雅儀式向祖靈祝禱，再由縣長劉政鴻、立委徐耀昌、高金素梅及多名地方人士上香祭拜後持鏟動土，祈求工程順利。",2011-11-22 17:30:41,https://www.facebook.com/giwas888/photos/a.276865502356698/276886889021226/
2026,125438670900876,讓部落孩子無憂上學去-『愛心巴士篇』,2011-11-23 17:39:03,https://www.facebook.com/giwas888/posts/125438670900876
1398,250124638375321,"林班歌,是70年代初,資本主義快速發展而進入部落之時,瓦解了原住民族原有的部落組織及生活方式,原住民族為了求生存,年輕人被迫離開家鄉,在外地討生活,如此的思念家鄉的種種,卻又不能回到家鄉的悲歌。那是原住民的流浪之歌,《情人的眼淚》。",2011-11-23 23:10:34,https://www.facebook.com/giwas888/posts/250124638375321
1465,277839362259312,"新竹縣五峰鄉長葉賢民、賽夏族協會趙理事長及長輩今天來到立法院與文建會、原民會召開「賽夏族文物館」使照及建照協調會。是啊！文建會有兩億元的夢想家，卻沒有1,000萬來延續賽夏族文化。同胞們，我們要繼續努力。",2011-11-24 10:52:24,https://www.facebook.com/giwas888/photos/a.276865502356698/277839362259312/
1214,195972657154513,"花蓮縣萬榮鄉萬榮村6鄰，一個幾乎被遺棄的太魯閣族部落，萬榮村總共有8個鄰，唯獨6鄰，被摒棄在外，隔著萬里溪，沒有與村內其他的7個鄰相連。

10年來，我一直很自豪全省30個山地鄉、288個村、700多個部落，全都走遍了。但沒想到，我必須承認，這是我第一次真正走進萬榮村6鄰，以前似乎只到過部落入口處，從沒有真正走入這裡......
",2011-11-28 15:34:50,https://www.facebook.com/giwas888/posts/195972657154513
1903,280121918697723,希望工程到秀林，高金素梅牽線，大陸民企捐贈文蘭愛心圖書館,2011-11-28 17:21:11,https://www.facebook.com/giwas888/photos/a.276865502356698/280121918697723/
1245,165162740249333,這次的愛心活動是由大陸的太和至寶藝術品公司，將拍賣十位書畫家的作品，所得款項300萬人民幣(約合1400多萬台幣)，捐贈給秀林鄉，在文蘭村蓋一座圖書館，以解決長期以來位於秀林鄉南區的文蘭村、銅門村等鄉民，受限地理環境及交通不便因素，無法至位於北區的鄉立圖書館借閱圖書，而減少閱讀機會、涉取知識機會不平等的問題...,2011-11-28 17:24:20,https://www.facebook.com/giwas888/posts/165162740249333
1456,184204491671476,"秀林鄉南北狹長,鄉立的圖書館在鄉內的北區, 南區的文蘭村、銅門村等閱讀很不方便。以前是透過搬運一箱箱的書，在各村各校之間輪流閱讀，現在有了這部書香列車，車直接開進村子裡、學校裡，孩子接觸知識的機會增加了...",2011-11-28 18:23:19,https://www.facebook.com/giwas888/posts/184204491671476
1468,280829901960258,秀林鄉的佳民國小，每周都有固定的課程教授女同學編織課程，傳承民族的文化。在以前，泰雅族的女孩子如果不會織布，就不能紋臉，也不能出嫁。現在當然已經不是這樣了，但看到這些孩子們，總讓我對原住民的未來充滿希望。,2011-11-30 00:31:06,https://www.facebook.com/giwas888/photos/a.276865502356698/280829901960258/
