index,post_id,text,time,post_url
4977,365325323678705,林昶佐 Freddy Lim updated their cover photo.,2015-05-06 23:08:06,https://www.facebook.com/limfreddy/posts/1256592641839225:1256592641839225
3509,365325747011996,"【支持 林昶佐 中正萬華關鍵戰將】／台北市第5選區(中正萬華)

時代力量線上入黨：http://www.newpowerparty.tw/vip_licenses/new
時代力量線上捐款：http://www.newpowerparty.tw/donate
入黨及捐款說明：http://www.newpowerparty.tw/newses/23",2015-05-06 23:10:37,https://www.facebook.com/limfreddy/photos/a.365325910345313/365325747011996/
4714,365326733678564,"林昶佐。昶，ㄔㄤˇ。英文名 Freddy。我從小住在忠孝新生旁，中正區與大安區的交界處。以前這裡叫城中區。
我選中正萬華的立委。",2015-05-06 23:17:14,https://www.facebook.com/limfreddy/posts/pfbid02RKCtSwQMxhYUSAyJ8Dyw9REYv58RSvBQK7rPXQjoKDffv2xZZANdTwWdfhZCK5LCl
5225,365329857011585,我們的十大基本主張。,2015-05-06 23:39:40,https://www.facebook.com/limfreddy/posts/365329857011585
3935,365497266994844,"我是林昶佐（閃靈Freddy），已投入中正萬華的立法委員選戰，經費相當有限，非常期待而且需要各位的支援，贊助我們以下的競選物資：空房、閒置車輛、廣告外牆、海報張貼處、辦公傢俱...等。

☞ 捐助選戰物資支持林昶佐(Freddy)：https://goo.gl/BPtgxc",2015-05-07 20:24:00,https://www.facebook.com/limfreddy/posts/365497266994844
2417,365510610326843,"【胡咧低老師，你嘛來幫國昌老師加油喔！？】
那天我跟國昌一起去淡水站幫馮光遠助講，在旁邊等的時候，一位阿姨走過來。
阿姨：國昌老師加油！感謝你為台灣站出來，我們都支持你！
國昌：謝謝～謝謝～
阿姨：啊你是胡咧低老師嘛！我最喜歡看紅人榜了，你也來支持國昌老師，幫他加油喔！
我：事情是這樣的....我要參選中正萬華的立委...

☞ 我叫做林昶佐，參選中正萬華立委，是的我支持國昌，也會幫國昌加油，但是我也需要大家的支持欸喂！
☞ 捐款支持：http://goo.gl/7TW2MD
☞ 捐助選戰物資：https://goo.gl/BPtgxc",2015-05-07 21:06:20,https://www.facebook.com/limfreddy/photos/a.365325910345313/365510610326843/
5231,365664290311475,明天一早，后里見,2015-05-08 15:15:42,https://www.facebook.com/limfreddy/posts/365664290311475
5002,365854806959090,今天早上，到后里陪洪慈庸在市場發時代力量的蘋果！希望大家平平安安，母親節快樂！,2015-05-09 10:23:40,https://www.facebook.com/limfreddy/posts/365854806959090
5245,365880036956567,,2015-05-09 13:57:32,https://www.facebook.com/limfreddy/posts/365880036956567
3259,365941833617054,"今天跟時代力量其他五位戰友一起從后里鎮安宮出發、在內埔市場周圍聯合掃街造勢。「后里的查某囝」慈庸真是很罩、超親切。我也不錯親切啦，一直在旁邊扮演阿伯阿姨的吉祥物「超級紅人榜福來爹」的角色～
☞ 我是參選中正萬華立法委員的林昶佐，ㄔㄤˇ，
☞ 感謝大家支持時代力量的候選人！
☞ 請捐助選戰物資：https://goo.gl/BPtgxc
☞ 請捐款支持：http://goo.gl/7TW2MD",2015-05-09 21:53:47,https://www.facebook.com/limfreddy/posts/pfbid02RFGrfeEUY93rb342tc6jhp7SNP5RNdDn4kRXuw687Ld1sEVbJBkevvAvP9UNGogUl
5218,366538600224044,抗爭，不是只有單一型態！,2015-05-12 14:40:00,https://www.facebook.com/limfreddy/posts/366538600224044
3566,366571183554119,"台南意麵，在濟南路—忠孝東路二段134巷口，從小吃到大。今天一進去，老闆們開始小聲稱呼我是那個閃靈的～
我心裡大吼：對！我就是那個死囝仔，從你們開張那天吃到現在的那個！
☞ 我是參選中正萬華立法委員的林昶佐，ㄔㄤˇ，
☞ 請捐助選戰物資：https://goo.gl/BPtgxc
☞ 請捐款支持：http://goo.gl/7TW2MD",2015-05-12 20:00:01,https://www.facebook.com/limfreddy/posts/pfbid0363STQeRzWP9BPvEWsg27FG1e5fy7UUmanvUsJpWi22xwHviQ7bcxejToGfFg5Cnpl
4388,366965626848008,"人民授權國家體制得以合法擁有武器，人民自己卻沒有擁有武器的權利，那還不限縮國家使用暴力的權限，不是等於找死嗎？

/昨晚參加司改會舉辦的《三二四二三事》324行政院國家暴力事件一週年的座談會。",2015-05-14 11:03:51,https://www.facebook.com/limfreddy/photos/a.366574960220408/366965626848008/
2801,367031533508084,"在剝皮寮巷口吃切仔麵，老闆娘一直稱讚：「閃靈我一定支持你！你有魄力、有正義感、有理想、敢說真話！我一定幫你努力拉票！」
☞ 大感謝！
☞ 不過選票上面不會印閃靈喔，老闆娘我是林昶佐ㄔㄤˇ

☞ 歡迎捐助選戰物資：https://goo.gl/BPtgxc
☞ 請捐款支持：http://goo.gl/7TW2MD
☞ 或直接去銀行捐款支持，帳戶資訊如下：
     105年立法委員擬參選人林昶佐政治獻金專戶
     兆豐國際商業銀行 帳號：017-09-250950",2015-05-14 17:55:16,https://www.facebook.com/limfreddy/posts/pfbid035eHcFgRmgyzBr1k9rYwrZtk7NMeQDznbdBsf221rGVQWNonZYDvEcmqHMqoRj6z8l
830,367034873507750,"【時代戰將集結、萬華掃街！】2016國會大選，時代力量發動首次台北掃街造勢，參選中正萬華的林昶佐(閃靈Freddy)帶隊，洪慈庸、馮光遠、胡博硯、柯劭臻、邱顯智等參選人以及剛入黨的黃國昌，時代戰將在民主聖地龍山寺集結，五月十六日下午一點出發！愛來喔！

【龍山寺門口參拜】
時間：2015/05/16 [禮拜六] 13:00-13:20
地點：艋舺龍山寺
集合點：龍山寺（台北市萬華區廣州街211號）

【市場掃街造勢】
時間：2015/05/16 [禮拜六] 13:20-14:00
地點：東西三水市場＋康定路＋廣州街店家

【短講】
時間：2015/05/16 [禮拜六] 14:00-15:00
地點：艋舺龍山寺

☞ 立刻加入志工團「林昶佐關鍵戰隊」！: https://goo.gl/476HzM
☞ 歡迎捐助選戰物資：https://goo.gl/BPtgxc
☞ 請捐款支持：http://goo.gl/7TW2MD

☞ 或直接去銀行捐款支持，帳戶資訊如下：
105年立法委員擬參選人林昶佐政治獻金專戶
兆豐國際商業銀行 帳號：017-09-250950",2015-05-14 18:17:36,https://www.facebook.com/limfreddy/photos/a.365325910345313/367034873507750/
1889,367149630162941,"昨晚在台大國發所演講組黨與參選的心路歷程，以及對時局的看法，最後學會會長、副會長上台頒發當選證書(誤!)給我，實在是足甘心欸啦～
☞ 很想把大家的問題都回答完，但已經超時半小時，離去前還變成專輯簽名跟合照的狀況，真的只能感謝再感謝啦！有緣再來！

立刻支持林昶佐 ------------------->
☞ 立刻加入志工團「林昶佐關鍵戰隊」！: https://goo.gl/476HzM
☞ 歡迎捐助選戰物資：https://goo.gl/BPtgxc
☞ 請捐款支持：http://goo.gl/7TW2MD

☞ 或直接去銀行捐款支持，帳戶資訊如下：
105年立法委員擬參選人林昶佐政治獻金專戶
兆豐國際商業銀行 帳號：017-09-250950",2015-05-15 10:30:00,https://www.facebook.com/limfreddy/photos/a.365325910345313/367149630162941/
1293,367147736829797,"【戰將的面紙，即將在萬華登場！】明天拜六一點，時代力量將在龍山寺集結，戰將聯合大掃街，熱騰騰的戰將面紙也將登場！由參選中正萬華的林昶佐(閃靈Freddy)帶隊，洪慈庸、馮光遠、胡博硯、柯劭臻、邱顯智等參選人以及剛入黨的黃國昌，戰將大集結！
【龍山寺門口參拜】
時間：2015/05/16 [禮拜六] 13:00-13:20
地點：艋舺龍山寺
集合點：龍山寺（台北市萬華區廣州街211號）
【市場掃街造勢】
時間：2015/05/16 [禮拜六] 13:20-14:00
地點：東西三水市場＋康定路＋廣州街店家
【短講】
時間：2015/05/16 [禮拜六] 14:00-15:00
地點：艋舺龍山寺
☞ 立刻加入志工團「林昶佐關鍵戰隊」！: https://goo.gl/476HzM
☞ 歡迎捐助選戰物資：https://goo.gl/BPtgxc
☞ 請捐款支持：http://goo.gl/7TW2MD",2015-05-15 11:55:01,https://www.facebook.com/limfreddy/posts/pfbid02gjXYEavnP1rr9aby6RENj2tJX8zRSNK6Ltkah8zNZDWE4MBBJ7s72o8sxopKCWntl
5191,367296223481615,明天下午一點，來聽我的參選故事！,2015-05-15 16:41:27,https://www.facebook.com/limfreddy/posts/367296223481615
4054,367309466813624,"因為馬英九總統，關心台灣的年輕人集結了；因為馬英九總統，關心台灣的年輕人開始閱讀屬於台灣人的四百年歷史了；因為馬英九總統，我們年輕世代看台灣是個移民社會，社會裡沒有省籍仇恨，只剩下族群之間的同理與關懷。

台灣需要的不是什麼九二共識，是活出台灣的自我！",2015-05-15 20:00:01,https://www.facebook.com/limfreddy/posts/367309466813624
