index,post_id,text,time,post_url
442,260977337574451,"【教育希望 育才希望】
記得十五歲那一年，半工半讀，在學習的道路上，總在大環境下必須做出了些選擇。

國家的根本乃是教育，學子的翻身途徑之一，也是教育；花蓮有著許多優秀的人才，
卻也是教育資源最匱乏的縣市之一，許多清寒優秀的學子，因家經濟等因素，無法達成出國留學的願望。

花蓮一直在打造幸福城市的願景，經過兩年多的籌備，今天，開創第一個地方政府的公費留學，
讓優秀學子，不再著眼於他人，也能透過自身努力，爭取同樣的機會。

『十年樹木 百年樹人』，希望在往後，甚至更遠的未來，能讓更多人，也享有同樣機會。",2016-04-14 11:30:58,https://www.facebook.com/Fu.KunChi/posts/260977337574451
534,262098894128962,"【敬天 愛民 享昌隆】
夏天怏來了！擺脫冬天的陰霾，空氣中可以嗅到，這是年輕人期昐揮灑青春快樂的季節。但，這卻是我擔心的開始！颱風、土石流、農業災損...

所以，每年這個時節，帶著虔誠的心，前往花蓮每一座宮廟，三跪十二叩首最虔敬的方式，
向四方神明祈求，保佑花蓮各樣產業，能在接下來的日子風調雨順，興旺並且昌隆。

五十一間廟宇，保佑花蓮十三鄉鎮穩步向前，也感謝各宮廟主委與地方士紳的陪同參與。

願花蓮的鄉親，順遂，平安。",2016-04-16 15:14:01,https://www.facebook.com/Fu.KunChi/posts/262098894128962
474,263818343957017,"【夜市人生】 

東大門夜市人氣強強滾，各種美食都有。吃素的我，得空之餘，陪同好友，也會忍不住到這來打牙祭。 

台灣最水的風景是人，去年縣府整併東大門夜市之後，這裡充滿著元氣與朝氣，花蓮的土地更加黏人了。 

找著想吃的素炸杏鮑菇，吃著道地美味的臭豆腐，各式的在地美食，感受太平洋邊上悠閒舒適的夜市風情。

除了""常見""的台灣小吃，更有風味獨特的原住民美食、大江南北特色菜餚！好吃，不是蓋的，聽説浩角翔起，前些日子也聞到香味，跑到花蓮來，魅力無窮吧！

花蓮東大門夜市資訊網",2016-04-19 19:42:22,https://www.facebook.com/Fu.KunChi/posts/pfbid0sSc7iP1FSvX2yd2ea3jaWf7u89XYhD6HfpbyTJQxTGDcGfiUn4M2MqKPgMaWNRFAl
337,264307413908110,"【建設花蓮 康莊大道】

花蓮人口相較於西部雖少，但花蓮市人口也稠密，每到上下班尖峰時間，或是連續假期，道路總是擠滿了車潮，這也一直是鄉親所困擾的，也是我一直想要改善的現狀。

終於4/18當天，經過營建署、縣府各局處與花蓮各界的努力與幫助下，鄉親們引頸期盼的2-18計畫道路，終告竣工並且通車，也包含了十六股大道；除有效舒緩車潮流量外，也期盼改善花蓮在地居民的生活便利性。

而目前也正積極整備東、西區停車空間與轉運站，為因應108年即將到來的蘇花改全線通車，提前做好分流準備，我深具信心。

期盼花蓮在未來的建設，能夠朝向民生永續的方向，並且改善過去的交通網絡，在看得見的將來，一同攜手同心建設花蓮，邁向更好。",2016-04-20 19:24:02,https://www.facebook.com/Fu.KunChi/posts/264307413908110
240,267580796914105,"【城市的發展不能等】
期間歷經了三年的溝通與說明
-
為因應蘇花改北段明年通車後，將帶來的大量人潮及車潮，崐萁26日專程北上參加內政部都市計畫委員會第873次的會議。

席間，針對變更花蓮都市計畫(第三次通盤檢討)，多數委員表決同意""全數通過""縣府規劃花蓮東線福德段、西線四維段興建大型停車場、花蓮火車站前闢建客運轉運中心、海濱大道拓寬為卅米及中華國小廢校舊址變更為商業區等提案，將為花蓮奠定國際觀光的基礎。

崐萁特別向全體委員深切表達：「城市的發展不能等!」。縣府在重要關鍵時刻，規劃好大型停車場、客運轉運中心，將海濱大道拓寬為卅米，建置完善交通網絡，將為地方財政注入活水，改善鄉親生活品質。

期間歷經三年的溝通說明，感謝內政部政務次長對於崐萁與縣府同仁們的支持與鼓勵，我們將一同為花蓮鄉親創造不一樣而且嶄新的花蓮。",2016-04-27 08:30:00,https://www.facebook.com/Fu.KunChi/photos/a.263817783957073/267580796914105/
118,268412826830902,"【努力向前  為花蓮打造百年基業】 
崐萁與立委徐榛蔚兩度陪同行政院長張善政，視察東大門夜市、陽光電城、日出香榭大道、花蓮縣果菜批發市場等處，體察花蓮民心望治的心聲。 
-
在簡報中，日出大道銜接東大門串連金三角商圈，以觀光休憩廊道呈現，將花蓮打造成國際浪漫之都，讓人恣意漫步、駐足露天咖啡吧、茶飲店及特色文創商店，感受浪漫、優雅的風韻。
 
張院長隨即步行東大門夜市，對眾多人潮、商家生意熱鬧氣氛，頻頻點頭肯定，駐足街頭藝人表演精采的爵士鼓，感受夜市旺盛的生機。

張院長專訪說道：「傅縣長把夜市集中在一起，規模這麼大，有很大的經濟效益，看到每一家的商家生意這麼好，這個政策是做對的，繼續做下去，以後成為台灣觀光旅遊的重要特色。日後，中央也會儘量協助地方建設。」

誠摰感謝張院長重視地方發展需求，肯定縣府推動「花蓮縣果菜批發市場跨域結合發展計畫」，並同意補助壹億元擴建市場，將為花蓮農業加值。

全國唯一擁有房屋及土地所有權狀跟價格，網路報名登記至4月30日：http://goo.gl/Yj81Yy

花蓮東大門夜市資訊網",2016-04-28 18:38:39,https://www.facebook.com/Fu.KunChi/posts/pfbid03qStGL3MUnWmp7JKeQfH2c2Z5GCvRvkA1rWh9yJH5kXtVdAyz4LizqC9mh3B3xyEl
83,270799883258863,"【聽見花蓮在地人的聲音 一條安全回家的路】

在新政府的準官員張景森、賀陳旦接連發言之後，
這些日子以來，崐萁接獲眾多鄉親激動的、不安的陳情心聲。

「一條安全回家的路，要中斷了…。」鄉親心情沈痛，齊聲吶喊：「我們不是二等公民，還我蘇花改、還我花東快、還我鐵路雙軌，還給花東人民一個公道。」 

花蓮青年男子說：「阿扁執政的時候，民進黨經建會副主委張景森就扼殺了蘇花高，現在又來個賀陳旦，花蓮台東人民仔細看清楚… 」。

前衛生局長黃熾楷也義憤投書：「準交長如想以個人拚命來停頓蘇花改，我們花蓮人也拿命來跟你拚！」。

其中，社區一位髮白慈容的母親曾向我問道：「縣長啊！安全回家的路，去那兒？我的兒孫啊，何時才能安全返家啊？」

鄉親憂心如焚的心聲，排山倒海而來，尤其，想到那些不幸在蘇花公路遭落石重創或往生的鄉親，更加令我難以入眠。

崐萁認為：政治是一時的，任何政治人物都要苦民所苦，必須以民意的心為心。國家政策應有延續性，社會才能穩定。

我們所關心的是：花東鄉親寶貴的生命，應受到政府最大保障，
決不能重蹈國人及陸客創意團在蘇花公路不幸喪失寶貴生命的覆轍。 

我們所在乎的是：建構安全舒適的全國交通網，讓全國鄉親行的安全，政府責無旁貸、更是義務，沒有說不的權利。",2016-05-02 18:43:37,https://www.facebook.com/Fu.KunChi/posts/270799883258863
162,271683139837204,"【大聲唱出我們的「國歌」】

每個月的第一天，我都會率同局處首長，一起參加升旗典禮。六年多來，從未間斷。

這面國旗，這首國歌，歷盡艱辛，甚至只能寂寞的存在，要在世界看到他們的身影都是困難的。如果我們再不珍視，還有誰會記得中華民國曾經是亞洲第一合民主共和國呢？

或許有人笑我八股，然而，儀式的莊重就在於透過儀式，反覆呼喚我們對國家的崇敬。

五月，台灣將迎來第三次政權輪替，無可諱言，在台灣民主化的過程中，這面國旗和這首國歌，曾經是政黨鬥爭與拉鋸的題材或工具。不論接不接受、相不相信，他們都是台灣存在的重要守護。

衷心盼望，新政府與我們一樣，珍惜這面出了台灣就難看到的國旗、這首出了台灣就聽不到的國歌。民國三十八年政府遷台奮鬥至今已六十七年，中華民國在台灣已經成為無法忽視的存在，和分歧社會下的最大公約數，即使政黨立場各異，我們還是「命運共同體」，只有攜手合作才能維護我們的國家，我們的命運。祈願新總統，五二０就職時，大聲唱出我們的「國歌」。",2016-05-04 14:58:36,https://www.facebook.com/Fu.KunChi/posts/271683139837204
137,276549706017214,"【中華民國──台灣安定的最大公約數】
五二０進入倒數，同時也是揭幕，當各界都關切準總統蔡英文的就職演說時，憂慮和不安卻佔滿我的思緒。

過去八年，兩岸關係和平穩定發展，對多數人而言，這樣的和平穩定彷彿「理所當然」，然而，自大選結束迄今，在花蓮民宿住房掉了三成，遊覽車更是下滑七成，基層百姓實在有苦難言！

蔡準總統與民進黨鐵了心不談「九二共識」，這四個字到底有什麼禁忌？我實在難以理解，前副總統呂秀蓮在她的回憶錄中披露，二千年綠營勝選時，邱義仁說，「民進黨對『世界只有一個中國，但北京及台灣對於一個中國各自表述』的立場保持開放態度。」這段話不正是「九二共識，一中各表」嗎？為什麼當年持開放態度，而今卻不敢啟齒說出中華民國？

沒有人能強迫蔡英文總統說她不願意說的話，但是，做為一國元首，能不能體恤民眾之苦？對主政的大人而言，或許只是名詞之辯，但對小民百姓而言，卻是對生活的真實影響。期盼能放下意識形態的堅持，真心愛台灣，以小民蒼生為念。

五二０請蔡英文總統大聲說出，全世界只有一個中國，就是中華民國！",2016-05-15 19:10:15,https://www.facebook.com/Fu.KunChi/posts/276549706017214
8,279033559102162,"【遲來的真相】
總統蔡英文今天就職唱出「吾黨所宗」的國歌，發表演說尊重九二兩岸會談事實、遵守中華民國憲法及兩岸人民關係條例等宣誓，這與國民黨過去所主張是一致的，蔡英文總統完全呼應了我們對於大聲唱國歌、維持兩岸和平、堅持中華民國的誠摰呼籲與訴求。
 
一、   蔡總統兩度公開唱出完整的國歌，已充分強調這是我們中華民國的國歌，不是黨歌。  
 
二、   蔡總統說：「依照中華民國憲法有責任捍衛中華民國的主權和領土」；意涵「憲法一中」，不會分裂國家、不會搞台獨。 
 
三、尊重「1992年兩岸兩會秉持相互諒解、求同存異的政治思維，進行溝通協商，達成若干的共同認知與諒解」；即是國民黨主張的「九二共識」精神。  
 
四、蔡總統說：遵守「兩岸人民關係條例及其他相關法律，處理兩岸事務」；其意涵就是「一國兩區」。
 
今天的就職典禮，從唱國歌、憲法一中、九二共識到兩岸人民關係條例，蔡英文總統所表達的，跟國民黨過去的主張是一致的，但是過去國民黨在推行這些政策卻被抹黑罵成是「賣台」，我們迫切希望台灣不要再搞內耗，不要用無謂言詞再彼此的傷害，過去的傷口已撕裂如此地慘烈，台灣在這十六年的所謂的統獨爭議，今天已經真相大白。
 
我們希望，好好團結台灣，做好兩岸穩定關係發展，至於南向、西向政策，我們都非常支持，只要蔡總統能把台灣帶出一條活路，讓這塊土地上每一位純樸善良的百姓，都能夠安身立命，學生能夠正常的學習、教育，社會有許多繁榮發展的機會，謝謝蔡英文總統，完全呼應了我們對於國歌、對於兩岸、對於中華民國的誠摰呼籲與訴求，願我們的國家有光明燦爛的前程，天佑花蓮，天佑台灣。  
 
 
-
說明：
註一：中華民國憲法增修條文(憲法一中) 
為因應國家統一前之需要，增修本憲法條文。
        
註二：臺灣地區與大陸地區人民關係條例 (一國兩區)
第 1 條           
國家統一前，為確保臺灣地區安全與民眾福祉，規範臺灣地區與大陸地區
人民之往來，並處理衍生之法律事件，特制定本條例。
 
第 2 條           
本條例用詞，定義如下：
臺灣地區人民：指在臺灣地區設有戶籍之人民。
大陸地區人民：指在大陸地區設有戶籍之人民。",2016-05-20 23:08:51,https://www.facebook.com/Fu.KunChi/posts/279033559102162
